id,dateStart,dateEnd,stageStart,stageEnd,stage,seat,rewards-type-1,rewards-id-1,rewards-value-1,upperLimit,desc,replaceItem,preposeNum,mustNum,resumeNum,showOdd1,realOdd,dibaoGroup,dibaoOdd,isWholeServer,
1,1,7,1,7,1,1,2,6676,1,,s==24|Hộp Chọn Tướng Tinh Tinh,13,70,120,,100,100,1,,1,
2,1,7,1,7,1,2,2,3014,50,,s==18|Mảnh Thần Ma 5 Sao,14,70,90,,200,200,1,,1,
3,1,7,1,7,1,3,2,1030,4,,s==13|Hồn Thần Binh,14,,,,200,200,1,2500,,
4,1,7,1,7,1,4,2,1081,4,,s==24|Phượng Quân Mĩ Nhân Quan,,,,,200,200,1,2500,,
5,1,7,1,7,1,5,2,1044,8,,s==16|Linh Hồn Bảo Vật,,,,,200,200,1,2500,,
6,1,7,1,7,1,6,2,1014,2,,s==21|Đoạt Bảo Lệnh Cao Cấp,,,,,200,200,1,2500,,
7,1,7,1,7,1,7,2,1082,3,,s==15|Lụa Gấm Mĩ Nhân,,,,,1000,1000,,,,
8,1,7,1,7,1,8,2,1043,6,,s==22|Thạch Tiến Cấp Bảo Vật,,,,,1000,1000,,,,
9,1,7,1,7,1,9,2,1029,3,,s==26|Thần Binh Tinh Luyện Thạch,,,,,1000,1000,,,,
10,1,7,1,7,1,10,2,1003,1,,s==20|Lệnh Tầm Bảo Cao Cấp,,,,,300,300,,,,
11,1,7,1,7,1,11,2,1027,10,,s==25|Thần Binh Cường Hóa Thạch,,,,,900,900,,,,
12,1,7,1,7,1,12,2,1077,20,,s==16|Tinh Túy Tự Chọn,,,,,800,800,,,,
13,1,7,1,7,1,13,2,3008,5,,s==24|Mảnh Vỡ Ngẫu Nhiên 5 Sao,,,,,500,500,,,,
14,1,7,1,7,1,14,2,3002,10,,s==21|Mảnh Ngẫu Nhiên 4 Sao,,,,,800,800,,,,
15,1,7,1,7,1,15,2,1006,100,,s==14|Tướng Ấn Thạch,,,,,800,800,,,,
16,1,7,1,7,1,16,2,1001,100,,s==13|Đột Phá Thạch,,,,,800,800,,,,
17,1,7,1,7,1,17,2,2200,1,,s==21|Túi May Mắn Đồng Tiền,,,,,600,600,,,,
18,1,7,1,7,1,18,2,2201,1,,s==23|Túi May Mắn Kinh Nghiệm,,,,,500,500,,,,
