id,day,taskDesc,targetType,targetId,targetVal,
1010,1,s==4|登录游戏,101,0,1,
1020,1,s==8|活跃度达到100,377,0,100,
1030,1,s==6|充值任意金额,510,0,1,
1040,2,s==4|登录游戏,101,0,1,
1050,2,s==8|活跃度达到100,377,0,100,
1060,2,s==6|充值任意金额,510,0,1,
1070,3,s==4|登录游戏,101,0,1,
1080,3,s==8|活跃度达到100,377,0,100,
1090,3,s==6|充值任意金额,510,0,1,
1100,4,s==4|登录游戏,101,0,1,
1110,4,s==8|活跃度达到100,377,0,100,
1120,4,s==6|充值任意金额,510,0,1,
1130,5,s==4|登录游戏,101,0,1,
1140,5,s==8|活跃度达到100,377,0,100,
1150,5,s==6|充值任意金额,510,0,1,
1160,6,s==4|登录游戏,101,0,1,
1170,6,s==8|活跃度达到100,377,0,100,
1180,6,s==6|充值任意金额,510,0,1,
1190,7,s==4|登录游戏,101,0,1,
1200,7,s==8|活跃度达到100,377,0,100,
1210,7,s==6|充值任意金额,510,0,1,
