id,activityId,activityType,priority,itemType,itemId,itemNum,extraItem,quota,exchangeType,exchangeId,exchangeNum,exchangeType1,exchangeId1,exchangeNum1,RewardPreview,shopType,openTime,endTime,repeatPurchase,
1,1250,4,11,2,1004,1,1,1,1,44,100,,,,1,,,,,
2,1250,4,10,2,1003,1,1,4,1,44,10,,,,1,,,,,
3,1250,4,9,2,1014,1,1,1,1,44,50,,,,0,,,,,
4,1250,4,8,2,24503,50,1,1,1,44,250,,,,1,,,,,
5,1250,4,7,2,3008,50,1,1,1,44,200,,,,1,,,,,
6,1250,4,6,2,1003,1,2,10,1,44,30,,,,0,,,,,
7,1250,4,5,2,1001,10,2,25,1,44,1,,,,0,,,,,
8,1250,4,4,2,1027,10,2,10,1,44,15,,,,0,,,,,
9,1250,4,3,2,1007,1,2,25,1,44,5,,,,0,,,,,
10,1250,4,2,1,8,50000,2,99,1,44,1,,,,0,,,,,
11,1250,4,1,1,10,10000,2,99,1,44,1,,,,0,,,,,
12,1270,4,11,2,1004,1,1,1,1,45,100,,,,1,,,,,
13,1270,4,10,2,1003,1,1,4,1,45,10,,,,1,,,,,
14,1270,4,9,2,1014,1,1,1,1,45,50,,,,1,,,,,
15,1270,4,8,2,25506,50,1,1,1,45,250,,,,1,,,,,
16,1270,4,7,2,3008,50,1,1,1,45,200,,,,0,,,,,
17,1270,4,6,2,1003,1,2,10,1,45,30,,,,0,,,,,
18,1270,4,5,2,1001,10,2,25,1,45,1,,,,0,,,,,
19,1270,4,4,2,1027,10,2,10,1,45,15,,,,0,,,,,
20,1270,4,3,2,1007,1,2,25,1,45,5,,,,0,,,,,
21,1270,4,2,1,8,50000,2,99,1,45,1,,,,0,,,,,
22,1270,4,1,1,10,10000,2,99,1,45,1,,,,0,,,,,
23,1290,4,11,2,1004,1,1,1,1,43,100,,,,1,,,,,
24,1290,4,10,2,1003,1,1,4,1,43,10,,,,1,,,,,
25,1290,4,9,2,1014,1,1,1,1,43,50,,,,1,,,,,
