 activityId,activityType,sameTypeActivity,tips,isClose,needLevel,systemid,backGroundId,BonusDesc,earlyTime,evenTime,sort,sameOpenTime,extendParams,integralType,integralId,expeditionId,limitTime,areanLimit,
1110,1,1,s==4|征战之路,0,0,1822,,,,,3,,,,,,,,
1130,1,2,s==4|献帝密诏,0,0,1823,,,,,2,,,,,,,,
1131,1,3,s==4|七日演武,0,0,1821,,,,,1,,,,,,,,
1150,2,,s==4|千里单骑,0,30,1390,3600000,s==11|活动期间增加10%奖励,,,4,,,,,,,,
1170,2,,s==4|奇遇夺宝,0,0,1391,3600001,s==11|活动期间功绩降低10%,,,1,,,,,,,,
1190,2,,s==5|速战精英 ,0,0,1392,3600002,s==10|活动期间增加扫荡次数,,,2,,,,,,,,
1210,2,,s==4|招财进宝,0,0,1393,3600003,s==11|活动期间增加购买次数 ,,,3,,,,,,,,
1211,2,,s==4|虎牢之战,0,55,1394,3600004,s==11|活动期间虎牢有属性加成,,,5,,,,,,,,
1215,3,,s==6|七日登录活动,0,0,1820,,,,,1,,,,,,,,
1250,4,,s==4|沙场点兵,0,0,1380,3500000,,,,3,,,,,,,,
1270,4,,s==4|谈笑鸿儒,0,0,1381,3500001,,,,4,,,,,,,,
1290,4,,s==4|限时兑换,0,0,1382,3500002,,,,1,,,,,,,,
1291,4,,s==4|运筹帷幄,0,0,1383,3500003,,,,2,,,,,,,,
1310,5,,s==7|月基金-128,0,0,2201,,,,,1,,,,,,,,
1330,5,,s==7|月基金-328,0,0,2202,,,,,2,,,,,,,,
1331,5,,s==7|月基金-648,0,0,2203,,,,,3,,,,,,,,
1350,6,,s==4|周末福利,0,0,1379,,,,,1,,,,,,,,
1370,7,,s==4|周末锦鲤,0,0,1378,,,,,1,,,,,,,,
1500,8,,s==7|第1期英雄崛起,0,0,2111,,,,,1,,,,,,,,
1501,8,,s==7|第2期英雄崛起,0,0,2111,,,,,2,,,,,,,,
1502,8,,s==7|第3期英雄崛起,0,0,2111,,,,,3,,,,,,,,
1503,8,,s==7|第4期英雄崛起,0,0,2111,,,,,4,,,,,,,,
1504,8,,s==7|第5期英雄崛起,0,0,2111,,,,,5,,,,,,,,
1505,8,,s==7|第6期英雄崛起,0,0,2111,,,,,6,,,,,,,,
1600,9,,s==4|限时抢购,0,,1401,,,,,1,,,,,,,,
1700,10,,s==4|卧龙出世,0,20,2450,,,,,1,,,,,,,,
1900,12,,s==4|定制礼包,0,15,1377,,,,,1,,,,,,,,
2000,13,,s==4|铜雀游园,0,15,2840,3,s==2|邹氏,,,1,,,,,,,,
2002,13,,s==5|铜雀游园2,1,15,2840,,,,,2,,,,,,,,
2500,14,4,s==4|水天清话,0,15,2850,,,,,1,,,,,,,,
2501,15,,s==5|共度元宵 ,1,15,2850,,,,,1,,,,,,,,
3000,50,,s==5|全民竞技赛,1,15,2860,,,,,1,2001,,,,,,,
3001,16,,s==5|开服冲榜1,0,15,3001,,,,,1,,,,,,,,
3003,16,,s==5|开服冲榜2,0,15,3001,,,,,2,,,,,,,,
3004,16,,s==5|开服冲榜3,0,15,3001,,,,,3,,,,,,s==13|-1|2021-08-26,,
3005,16,,s==5|开服冲榜4,0,15,3001,,,,,4,,,,,,s==13|-1|2021-08-26,,
3006,17,5,s==4|妙宠新萌,0,15,3020,,,,,1,,,,,,,,
3007,18,,s==6|魔·华佗活动,1,15,3004,,,,,2,,,2,1169,7,,,
3008,19,,s==6|吕布皮肤活动,0,0,3026,,,,,1,,s==5|13001,1,63,8,,,
3009,20,,s==6|预留皮肤活动,1,0,3027,,,,,1,,,,,,,,
