id,aideId,name,level,aideSkillId,properties-showway-1,properties-type-1,properties-way-1,properties-value-1,properties-showway-2,properties-type-2,properties-way-2,properties-value-2,properties-showway-3,properties-type-3,properties-way-3,properties-value-3,properties-showway-4,properties-type-4,properties-way-4,properties-value-4,needItems-type-1,needItems-id-1,needItems-value-1,needItems-type-2,needItems-id-2,needItems-value-2,needItems-type-3,needItems-id-3,needItems-value-3,
9150011,915001,s==7|武卫将军(魏),1,,1,2,1,100,1,1,1,100,0,1,0,11000,1,20,0,200,2,915001,2,2,1017,95,2,1018,19,
9150012,915001,s==7|武卫将军(魏),2,,1,2,1,200,1,1,1,200,0,1,0,22000,1,20,0,400,2,915001,3,2,1017,105,2,1018,21,
9150013,915001,s==7|武卫将军(魏),3,70010240,1,2,1,300,1,1,1,300,0,1,0,33000,1,20,0,600,2,915001,5,2,1017,115,2,1018,23,
9150014,915001,s==7|武卫将军(魏),4,70010250,1,2,1,400,1,1,1,400,0,1,0,44000,1,20,0,800,2,915001,7,2,1017,125,2,1018,25,
9150015,915001,s==7|武卫将军(魏),5,70010260,1,2,1,500,1,1,1,500,0,1,0,55000,1,20,0,1000,,,,,,,,,,
9150021,915002,s==7|荡寇将军(魏),1,,1,2,1,100,1,10,0,100,0,2,0,1000,1,20,0,200,2,915002,2,2,1017,95,2,1018,19,
9150022,915002,s==7|荡寇将军(魏),2,,1,2,1,200,1,10,0,200,0,2,0,2000,1,20,0,400,2,915002,3,2,1017,105,2,1018,21,
9150023,915002,s==7|荡寇将军(魏),3,70010210,1,2,1,300,1,10,0,300,0,2,0,3000,1,20,0,600,2,915002,5,2,1017,115,2,1018,23,
9150024,915002,s==7|荡寇将军(魏),4,70010220,1,2,1,400,1,10,0,400,0,2,0,4000,1,20,0,800,2,915002,7,2,1017,125,2,1018,25,
9150025,915002,s==7|荡寇将军(魏),5,70010230,1,2,1,500,1,10,0,500,0,2,0,5000,1,20,0,1000,,,,,,,,,,
9140011,914001,s==7|鹰扬校尉(魏),1,,1,2,1,40,1,1,1,80,0,1,0,8800,1,20,0,120,2,914001,2,2,1017,30,2,1018,6,
9140012,914001,s==7|鹰扬校尉(魏),2,,1,2,1,80,1,1,1,160,0,1,0,17600,1,20,0,240,2,914001,3,2,1017,40,2,1018,8,
9140013,914001,s==7|鹰扬校尉(魏),3,,1,2,1,120,1,1,1,240,0,1,0,26400,1,20,0,360,2,914001,5,2,1017,50,2,1018,10,
9140014,914001,s==7|鹰扬校尉(魏),4,,1,2,1,160,1,1,1,320,0,1,0,35200,1,20,0,480,2,914001,7,2,1017,60,2,1018,12,
9140015,914001,s==7|鹰扬校尉(魏),5,,1,2,1,200,1,1,1,400,0,1,0,44000,1,20,0,600,,,,,,,,,,
9140021,914002,s==7|长水校尉(魏),1,,1,2,1,60,1,10,0,60,0,2,0,600,1,20,0,120,2,914002,2,2,1017,30,2,1018,6,
9140022,914002,s==7|长水校尉(魏),2,,1,2,1,120,1,10,0,120,0,2,0,1200,1,20,0,240,2,914002,3,2,1017,40,2,1018,8,
9140023,914002,s==7|长水校尉(魏),3,,1,2,1,180,1,10,0,180,0,2,0,1800,1,20,0,360,2,914002,5,2,1017,50,2,1018,10,
9140024,914002,s==7|长水校尉(魏),4,,1,2,1,240,1,10,0,240,0,2,0,2400,1,20,0,480,2,914002,7,2,1017,60,2,1018,12,
9140025,914002,s==7|长水校尉(魏),5,,1,2,1,300,1,10,0,300,0,2,0,3000,1,20,0,600,,,,,,,,,,
9130011,913001,s==7|破贼都尉(魏),1,,1,2,1,40,0,2,0,400,1,20,0,80,,,,,2,913001,2,2,1017,5,2,1018,1,
9130012,913001,s==7|破贼都尉(魏),2,,1,2,1,80,0,2,0,800,1,20,0,160,,,,,2,913001,3,2,1017,15,2,1018,3,
9130013,913001,s==7|破贼都尉(魏),3,,1,2,1,120,0,2,0,1200,1,20,0,240,,,,,2,913001,5,2,1017,25,2,1018,5,
9130014,913001,s==7|破贼都尉(魏),4,,1,2,1,160,0,2,0,1600,1,20,0,320,,,,,2,913001,7,2,1017,35,2,1018,7,
9130015,913001,s==7|破贼都尉(魏),5,,1,2,1,200,0,2,0,2000,1,20,0,400,,,,,,,,,,,,,,
9130021,913002,s==7|讨逆都尉(魏),1,,1,2,1,40,0,2,0,400,1,20,0,80,,,,,2,913002,2,2,1017,5,2,1018,1,
9130022,913002,s==7|讨逆都尉(魏),2,,1,2,1,80,0,2,0,800,1,20,0,160,,,,,2,913002,3,2,1017,15,2,1018,3,
9130023,913002,s==7|讨逆都尉(魏),3,,1,2,1,120,0,2,0,1200,1,20,0,240,,,,,2,913002,5,2,1017,25,2,1018,5,
9130024,913002,s==7|讨逆都尉(魏),4,,1,2,1,160,0,2,0,1600,1,20,0,320,,,,,2,913002,7,2,1017,35,2,1018,7,
9130025,913002,s==7|讨逆都尉(魏),5,,1,2,1,200,0,2,0,2000,1,20,0,400,,,,,,,,,,,,,,
9250011,925001,s==7|武卫将军(蜀),1,,1,2,1,100,1,1,1,100,0,1,0,11000,1,20,0,200,2,925001,2,2,1017,95,2,1018,19,
9250012,925001,s==7|武卫将军(蜀),2,,1,2,1,200,1,1,1,200,0,1,0,22000,1,20,0,400,2,925001,3,2,1017,105,2,1018,21,
9250013,925001,s==7|武卫将军(蜀),3,70010300,1,2,1,300,1,1,1,300,0,1,0,33000,1,20,0,600,2,925001,5,2,1017,115,2,1018,23,
9250014,925001,s==7|武卫将军(蜀),4,70010310,1,2,1,400,1,1,1,400,0,1,0,44000,1,20,0,800,2,925001,7,2,1017,125,2,1018,25,
