id,RewardsNeed,taskname,targetType,targetId,targetNum,rewards-type-1,rewards-id-1,rewards-value-1,day,
1,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,1,
2,1,,,,,2,1006,200,1,
3,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1030,2,1,
4,1,,,,,1,8,750000,1,
5,1,,,,,2,3002,30,1,
6,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,3008,5,1,
7,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,2,
8,1,,,,,2,1005,8,2,
9,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1004,1,2,
10,1,,,,,2,1001,150,2,
11,1,,,,,2,3002,30,2,
12,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,1007,5,2,
13,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,3,
14,1,,,,,2,1006,200,3,
15,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1037,1,3,
16,1,,,,,2,1019,5,3,
17,1,,,,,1,8,750000,3,
18,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,1029,5,3,
19,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,4,
20,1,,,,,2,1005,8,4,
21,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1004,1,4,
22,1,,,,,2,1001,150,4,
23,1,,,,,2,1007,5,4,
24,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,3002,30,4,
25,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,5,
26,1,,,,,2,1006,200,5,
27,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1044,4,5,
28,1,,,,,1,8,750000,5,
29,1,,,,,2,3008,3,5,
30,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,3002,30,5,
31,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,6,
32,1,,,,,2,1005,8,6,
33,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1004,1,6,
34,1,,,,,2,1001,150,6,
35,1,,,,,2,1007,5,6,
36,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,3002,30,6,
37,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,7,
38,1,,,,,2,1019,5,7,
39,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1014,1,7,
40,1,,,,,2,1077,20,7,
41,1,,,,,2,1006,200,7,
42,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,1029,5,7,
