id,taskDesc,targetType,targetId,targetVal,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1001,s==6|日常登录1次,101,0,1,2,1027,20,1,8,50000,1,10,30000,
1002,s==15|领取1次橙色及以上品质奇遇任务,212,5,1,2,1006,200,1,8,50000,1,10,30000,
1003,s==11|挑战/扫荡5次日常副本,111,0,5,2,1006,150,1,8,50000,1,10,30000,
1004,s==11|神秘商店中购买3件道具,402,2,3,2,1007,1,1,8,50000,1,10,30000,
1005,s==6|累计点金5次,509,0,5,2,1027,20,1,8,50000,1,10,30000,
1006,s==13|挑战或扫荡通天塔任意层3次,106,0,3,2,1001,100,1,8,50000,1,10,30000,
1007,s==8|进行3次校场比武,104,0,3,2,1007,1,1,8,50000,1,10,30000,
1008,s==8|参加3波血战长坂,109,0,3,2,1027,20,1,8,50000,1,10,30000,
1009,s==8|千里单骑胜利3次,112,0,3,2,1001,100,1,8,50000,1,10,30000,
1010,s==7|赠送2次友情点,205,0,2,2,1007,1,1,8,50000,1,10,30000,
1011,s==7|聚贤阁招募1次,211,0,1,2,1003,1,1,8,50000,1,10,30000,
1012,s==7|与美人幽会2次,518,0,2,2,1006,150,1,8,50000,1,10,30000,
1013,s==6|高级寻访3次,403,3,3,2,1003,1,1,8,50000,1,10,30000,
1014,s==8|参与1次将印合成,209,0,1,2,1001,100,1,8,50000,1,10,30000,
1015,s==7|参加2次武神殿,215,0,2,2,1001,200,1,8,50000,1,10,30000,
1016,s==6|完成1次漕运,609,0,1,2,1006,200,1,8,50000,1,10,30000,
