id,unlock,level,activeNum,unlockItem-type-1,unlockItem-id-1,unlockItem-value-1,unlockItem-type-2,unlockItem-id-2,unlockItem-value-2,unlockItem-type-3,unlockItem-id-3,unlockItem-value-3,
1,1,110,,,,,,,,,,,
2,1,110,,,,,,,,,,,
3,1,110,,,,,,,,,,,
4,1,110,,,,,,,,,,,
5,1,110,,,,,,,,,,,
6,1,110,,,,,,,,,,,
7,1,110,4,,,,,,,,,,
8,1,110,5,,,,,,,,,,
9,1,110,6,,,,,,,,,,
10,1,110,7,,,,,,,,,,
11,1,110,8,,,,,,,,,,
12,1,110,9,,,,,,,,,,
13,1,110,10,,,,,,,,,,
14,1,110,11,,,,,,,,,,
15,1,110,12,,,,,,,,,,
16,1,110,13,,,,,,,,,,
17,1,110,14,,,,,,,,,,
18,1,110,15,,,,,,,,,,
