id,character,
13001,4,
13002,5,
13003,6,
13004,5,
13005,5,
13006,6,
13007,5,
13008,5,
13009,6,
13010,6,
13011,6,
13012,5,
13013,5,
13014,5,
13015,6,
13016,5,
13017,6,
13018,5,
13019,4,
13021,4,
13020,5,
13022,5,
13023,6,
13024,6,
13025,5,
13026,6,
13027,5,
13028,6,
13029,4,
13030,4,
13031,5,
13032,6,
13033,5,
13034,4,
13035,6,
13036,5,
13037,5,
13038,4,
13039,6,
13040,6,
13041,4,
13042,6,
13043,6,
13044,6,
13045,6,
13046,4,
13047,4,
13048,6,
13049,6,
13050,4,
13051,4,
13055,4,
13052,4,
13053,4,
13054,4,
13056,6,
13057,4,
13058,5,
13059,4,
13060,4,
13061,4,
13062,6,
13063,4,
13069,5,
13071,6,
13072,6,
13073,6,
