id,isHide,skinQuilty,
13001,1,4,
13002,1,5,
13003,1,6,
13710,1,5,
13712,1,5,
13713,1,6,
13711,1,5,
13714,1,5,
13715,1,6,
13716,1,6,
13717,1,6,
13718,1,5,
13719,1,5,
13720,1,5,
13721,1,6,
13726,1,5,
13727,1,6,
13728,1,5,
13729,1,4,
13731,1,4,
13730,1,5,
13732,1,5,
13733,1,6,
13734,1,6,
13735,1,5,
13736,1,6,
13737,1,5,
13738,1,6,
13739,1,4,
13740,1,4,
13741,1,5,
13742,1,6,
13743,1,5,
13744,1,4,
13745,1,6,
13746,1,5,
13747,1,5,
13748,1,4,
13749,1,6,
13750,1,6,
13753,1,4,
13754,1,6,
13755,1,6,
13756,1,6,
13757,1,6,
13758,1,4,
13759,1,4,
13760,1,6,
13761,1,6,
13762,1,4,
13763,1,4,
13767,1,4,
13764,1,4,
13765,1,4,
13766,1,4,
13768,1,6,
13769,1,4,
13770,1,5,
13777,1,6,
13778,1,4,
13784,1,5,
13786,1,6,
13787,1,6,
13788,1,6,
