id,open,unlockType,showAble,name,skinIconId,describe,tasks%1,tasks%2,tasks%3,tasks%4,items-type-1,items-id-1,items-value-1,time,activityItems-type-1,activityItems-id-1,activityItems-value-1,openTime,
201,1,0,1,s==12|Ỷ Thiên Kiếm,900007,,5001,5002,5003,5004,,,,0,,,,1,
301,0,1,0,s==14|Xích Tiêu Kiếm,900008,,,,,,2,1090,6000,7,2,1122,120,38,
401,1,1,1,s==14|Long Tước Cung,900009,,,,,,2,1090,6000,7,2,1157,120,15,
501,0,1,0,s==21|Thoái Ma Liệt Hỏa Đao,900010,,,,,,2,1090,6000,0,,,120,38,
601,1,1,0,s==23|Bắc Minh Cửu Long Huyền,900011,,,,,,2,1090,6000,7,2,1251,120,43,
701,1,1,0,s==24|Dao Chi Thanh Loan Phiến,900012,,,,,,2,1090,6000,7,2,1252,120,95,
801,1,1,0,s==26|Tru Thiên Đông Hoàng Chung,900013,,,,,,2,1090,6000,7,2,6855,120,155,
901,1,1,0,s==19|Kim Minh Lạc Hà Thư,900014,,,,,,2,1090,6000,7,2,6856,120,211,
1001,1,1,0,s==19|Cửu Ly Luyện Yêu Hồ,900020,,,,,,2,1090,6000,7,2,6857,120,267,
1101,1,1,0,s==20|Đế Tôn Khổng Đổng Ấn,900022,,,,,,2,1090,6000,7,2,6858,120,322,
1201,1,1,0,s==22|Chu Tước Côn Lôn Phiến,900026,,,,,,2,1090,6000,7,2,6962,120,378,
1401,1,1,0,s==21|Vũ Dần Bá Thiên Quyền,900024,,,,,,2,1090,6000,,,,,9999,
1501,1,1,0,s==23|Thiên Âm Phù Nguyệt Cầm,900028,,,,,,2,1090,6000,,,,,9999,
1601,1,1,0,s==7|Xác Đạn,900030,,,,,,2,1090,6000,,,,,9999,
1701,1,1,0,s==13|Bàn Long Châu,900031,,,,,,2,1090,6000,,,,,9999,
1801,1,1,0,s==16|Thương Long Kính,900034,,,,,,2,1090,6000,,,,,9999,
