level,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,propertys-type-1,propertys-way-1,propertys-value-1,addPropertys-type-1,addPropertys-way-1,addPropertys-value-1,levelLimit,
0,2,1030,1,2,1029,5,1,1,100,1,0,8750,,
1,2,1030,1,2,1029,5,2,1,100,2,0,1000,,
2,2,1030,1,2,1029,5,4,0,8,,,,,
3,2,1030,1,2,1029,5,5,1,100,,,,,
4,2,1030,1,2,1029,5,6,1,200,,,,,
5,2,1030,1,2,1029,5,16,1,100,,,,,
6,2,1030,2,2,1029,5,17,1,100,,,,,
7,2,1030,2,2,1029,5,7,1,100,,,,,
8,2,1030,2,2,1029,5,8,1,100,,,,,
9,2,1030,2,2,1029,5,9,1,100,,,,,
10,2,1030,2,2,1029,10,1,1,100,1,0,8750,,
11,2,1030,3,2,1029,10,2,1,100,2,0,1000,,
12,2,1030,3,2,1029,10,4,0,8,,,,,
13,2,1030,3,2,1029,10,5,1,100,,,,,
14,2,1030,3,2,1029,10,6,1,200,,,,,
15,2,1030,3,2,1029,10,16,1,100,,,,,
16,2,1030,4,2,1029,10,17,1,100,,,,,
17,2,1030,4,2,1029,10,7,1,100,,,,,
18,2,1030,4,2,1029,10,8,1,100,,,,,
19,2,1030,4,2,1029,10,9,1,100,,,,,
20,2,1030,4,2,1029,15,1,1,100,1,0,8750,,
21,2,1030,5,2,1029,15,2,1,100,2,0,1000,,
22,2,1030,5,2,1029,15,4,0,8,,,,,
23,2,1030,5,2,1029,15,5,1,100,,,,,
24,2,1030,5,2,1029,15,6,1,200,,,,,
25,2,1030,5,2,1029,15,16,1,100,,,,,
26,2,1030,6,2,1029,15,17,1,100,,,,,
27,2,1030,6,2,1029,15,7,1,100,,,,,
28,2,1030,6,2,1029,15,8,1,100,,,,,
29,2,1030,6,2,1029,15,9,1,100,,,,,
30,2,1030,6,2,1029,15,1,1,100,1,0,8750,,
31,2,1030,7,2,1029,20,2,1,100,2,0,1000,,
32,2,1030,7,2,1029,20,4,0,8,,,,,
33,2,1030,7,2,1029,20,5,1,100,,,,,
34,2,1030,7,2,1029,20,6,1,200,,,,,
35,2,1030,7,2,1029,20,16,1,100,,,,,
36,2,1030,8,2,1029,20,17,1,100,,,,,
37,2,1030,8,2,1029,20,7,1,100,,,,,
38,2,1030,8,2,1029,20,8,1,100,,,,,
39,2,1030,8,2,1029,20,9,1,100,,,,,
40,2,1030,8,2,1029,20,1,1,100,1,0,8750,,
41,2,1030,9,2,1029,20,2,1,100,2,0,1000,,
42,2,1030,9,2,1029,25,4,0,8,,,,,
43,2,1030,9,2,1029,25,5,1,100,,,,,
44,2,1030,9,2,1029,25,6,1,200,,,,,
45,2,1030,9,2,1029,25,16,1,100,,,,,
46,2,1030,10,2,1029,25,17,1,100,,,,,
47,2,1030,10,2,1029,25,7,1,100,,,,,
48,2,1030,10,2,1029,25,8,1,100,,,,,
49,2,1030,10,2,1029,25,9,1,100,,,,,
50,2,1030,10,2,1029,25,1,1,100,1,0,8750,,
51,2,1030,11,2,1029,25,2,1,100,2,0,1000,,
52,2,1030,11,2,1029,25,4,0,8,,,,,
53,2,1030,11,2,1029,30,5,1,100,,,,,
54,2,1030,11,2,1029,30,6,1,200,,,,,
55,2,1030,11,2,1029,30,16,1,100,,,,,
56,2,1030,12,2,1029,30,17,1,100,,,,,
57,2,1030,12,2,1029,30,7,1,100,,,,,
58,2,1030,12,2,1029,30,8,1,100,,,,,
59,2,1030,12,2,1029,30,9,1,100,,,,,
60,2,1030,12,2,1029,30,1,1,100,1,0,8750,,
61,2,1030,13,2,1029,30,2,1,100,2,0,1000,,
62,2,1030,13,2,1029,30,4,0,8,,,,,
63,2,1030,13,2,1029,30,5,1,100,,,,,
64,2,1030,13,2,1029,35,6,1,200,,,,,
65,2,1030,13,2,1029,35,16,1,100,,,,,
