level,exp,randoms-probability-1,randoms-val-1,randoms-probability-2,randoms-val-2,randoms-probability-3,randoms-val-3,expAtk,expHp,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,rewardAtk,rewardHp,artifactSoulNum,
0,16,5000,8,3000,10,2000,12,1.2,10.6,2,1027,3,1,8,5000,99,821,0,
1,83,5000,8,3000,10,2000,12,1.2,10.6,2,1027,3,1,8,10000,106,874,0,
2,152,5000,8,3000,10,2000,12,1.2,10.6,2,1027,6,1,8,20000,112,927,0,
3,221,5000,8,3000,10,2000,12,1.2,10.6,2,1027,6,1,8,30000,118,980,0,
4,290,5000,8,3000,10,2000,12,1.2,10.6,2,1027,9,1,8,40000,124,1033,25,
5,359,5000,8,3000,10,2000,12,1.2,10.6,2,1027,12,1,8,50000,134,1106,50,
6,428,5000,8,3000,10,2000,12,1.2,10.6,2,1027,15,1,8,60000,144,1179,75,
7,497,5000,8,3000,10,2000,12,1.2,10.6,2,1027,18,1,8,70000,154,1252,100,
8,566,5000,8,3000,10,2000,12,1.2,10.6,2,1027,21,1,8,80000,164,1325,125,
9,635,5000,8,3000,10,2000,12,1.2,10.6,2,1027,24,1,8,90000,174,1398,150,
10,704,5000,8,3000,10,2000,12,1.2,10.6,2,1027,26,1,8,110000,186,1481,175,
11,773,5000,8,3000,10,2000,12,1.2,10.6,2,1027,30,1,8,140000,198,1564,200,
12,843,5000,8,3000,10,2000,12,1.2,10.6,2,1027,34,1,8,170000,210,1647,225,
13,911,5000,8,3000,10,2000,12,1.2,10.6,2,1027,38,1,8,200000,222,1730,250,
14,980,5000,8,3000,10,2000,12,1.2,10.6,2,1027,42,1,8,230000,234,1813,275,
15,1049,5000,8,3000,10,2000,12,1.2,10.6,2,1027,46,1,8,260000,250,1906,300,
16,1118,5000,8,3000,10,2000,12,1.2,10.6,2,1027,50,1,8,290000,266,1999,325,
17,1187,5000,8,3000,10,2000,12,1.2,10.6,2,1027,54,1,8,330000,282,2092,350,
18,1264,5000,8,3000,10,2000,12,1.2,10.6,2,1027,58,1,8,360000,298,2185,375,
19,1333,5000,8,3000,10,2000,12,1.2,10.6,2,1027,62,1,8,390000,314,2278,400,
20,1402,5000,8,3000,10,2000,12,1.2,10.6,2,1027,67,1,8,420000,332,2381,425,
21,1471,5000,8,3000,10,2000,12,1.2,10.6,2,1027,72,1,8,450000,350,2484,450,
22,1540,5000,8,3000,10,2000,12,1.2,10.6,2,1027,77,1,8,480000,368,2587,475,
