id,targets-targetType-1,targets-targetId-1,targets-targetValue-1,ToSystemFunId,taskDesc,rewards-type-1,rewards-id-1,rewards-value-1,
1011,401,0,2,1650,s==33|Chinh chiến vượt ải Tầng 2 chương,1,9,50,
1012,201,0,5,1650,s==18|Quân chủ đạt cấp 5,1,9,50,
1013,204,20,1,1200,s==24|1 vị võ tướng đạt cấp 20,1,9,50,
1014,403,3,1,1640,s==31|Tiến hành 1 lần Tầm Bảo cao cấp,1,9,50,
1021,401,0,20,1650,s==34|Chinh chiến vượt ải Tầng 20 chương,1,9,50,
1022,201,0,10,1650,s==19|Quân chủ đạt cấp 10,1,9,50,
1023,104,0,3,1110,s==26|Thách đấu trường tập 3 lần,1,9,50,
1024,110,0,1,1650,s==24|Nhận 1 nhiệm vụ kỳ duyên,1,9,50,
1031,401,0,30,1650,s==34|Chinh chiến vượt ải Tầng 30 chương,1,9,50,
1032,107,0,1,1410,s==36|Thách đấu 1 lần tướng địch quân đoàn,1,9,50,
1033,201,0,15,1650,s==19|Quân chủ đạt cấp 15,1,9,50,
1034,308,0,10,1130,s==32|Tháp Thông Thiên vượt ải 10 tầng,1,9,50,
1041,401,0,50,1650,s==34|Chinh chiến vượt ải Tầng 50 chương,1,9,50,
1042,201,0,20,1650,s==19|Quân chủ đạt cấp 20,1,9,50,
1043,105,0,1,1650,s==31|Tiến hành 1 lần tác chiến nhanh,1,9,50,
1044,402,2,3,1810,s==37|Mua sắm 3 lần tại Thần Bí Thương Điếm,1,9,50,
1051,401,0,70,1650,s==34|Chinh chiến vượt ải Tầng 70 chương,1,9,50,
1052,201,0,25,1650,s==19|Quân chủ đạt cấp 25,1,9,50,
1053,216,0,50000,1200,s==23|Tổng chiến lực 50 nghìn,1,9,50,
1054,519,5,1,1630,s==29|Hợp thành 1 vị võ tướng 5 sao,1,9,50,
