id,days,gridid%1,gridid%2,gridid%3,boxreward-type-1,boxreward-id-1,boxreward-value-1,boxreward-type-2,boxreward-id-2,boxreward-value-2,
1,1,1,2,3,2,1077,50,2,1001,200,
2,1,4,5,6,2,1003,2,2,1007,1,
3,1,7,8,9,2,1027,50,2,1006,150,
4,1,1,4,7,2,1007,1,2,1077,50,
5,1,2,5,8,2,1006,150,2,1005,5,
6,1,3,6,9,2,1027,50,2,1001,200,
7,2,1,2,3,2,1077,50,2,1001,200,
8,2,4,5,6,2,1003,2,2,1007,1,
9,2,7,8,9,2,1027,50,2,1006,150,
10,2,1,4,7,2,1007,1,2,1077,50,
11,2,2,5,8,2,1006,150,2,1005,5,
12,2,3,6,9,2,1027,50,2,1001,200,
13,3,1,2,3,2,1077,50,2,1001,200,
14,3,4,5,6,2,1003,2,2,1007,1,
15,3,7,8,9,2,1027,50,2,1006,150,
16,3,1,4,7,2,1007,1,2,1077,50,
17,3,2,5,8,2,1006,150,2,1005,5,
18,3,3,6,9,2,1027,50,2,1001,200,
19,4,1,2,3,2,1077,50,2,1001,200,
20,4,4,5,6,2,1003,2,2,1007,1,
21,4,7,8,9,2,1027,50,2,1006,150,
22,4,1,4,7,2,1007,1,2,1077,50,
23,4,2,5,8,2,1006,150,2,1005,5,
24,4,3,6,9,2,1027,50,2,1001,200,
25,5,1,2,3,2,1077,50,2,1001,200,
26,5,4,5,6,2,1003,2,2,1007,1,
27,5,7,8,9,2,1027,50,2,1006,150,
28,5,1,4,7,2,1007,1,2,1077,50,
29,5,2,5,8,2,1006,150,2,1005,5,
30,5,3,6,9,2,1027,50,2,1001,200,
31,6,1,2,3,2,1077,50,2,1001,200,
32,6,4,5,6,2,1003,2,2,1007,1,
33,6,7,8,9,2,1027,50,2,1006,150,
34,6,1,4,7,2,1007,1,2,1077,50,
35,6,2,5,8,2,1006,150,2,1005,5,
36,6,3,6,9,2,1027,50,2,1001,200,
37,7,1,2,3,2,1077,50,2,1001,200,
38,7,4,5,6,2,1003,2,2,1007,1,
39,7,7,8,9,2,1027,50,2,1006,150,
40,7,1,4,7,2,1007,1,2,1077,50,
41,7,2,5,8,2,1006,150,2,1005,5,
42,7,3,6,9,2,1027,50,2,1001,200,
