id,name,openlv,mincount,maxcount,uistyle,systemId,
1,s==6|Đạo cụ,1,30,1000,1,-1,
2,s==8|Trang bị,1,30,200,1,-1,
3,s==7|Mảnh vỡ,1,30,200,3,-1,
4,s==8|Tướng ấn,1,30,500,1,-1,
5,s==8|Phụ kiện,104,30,500,2,-1,
6,s==8|Chiến kỳ,100,30,500,2,-1,
7,s==9|Chiến hồn,999,30,100,4,-1,
8,s==6|Kỳ mưu,115,30,300,2,-1,
9,s==9|Phó tướng,126,30,300,2,-1,
10,s==9|Bảo thạch,82,30,600,2,-1,
11,s==10|Tinh thạch,125,30,600,2,-1,
12,s==6|Túi ẩn,999,30,1000,4,-1,
15,s==8|Chiến mã,150,30,600,2,3002,
30,s==7|Phù văn,170,30,500,2,5020,
32,s==8|Linh thú,140,30,500,2,-1,
33,s==11|Kỹ năng thư,140,30,500,1,-1,
35,s==21|Chuyên thuộc huyễn vũ,125,30,500,2,6610,
36,s==7|Nội đan,140,30,500,2,-1,
