id,Type,lowerLimit,higherLimit,award-type-1,award-id-1,award-value-1,award-type-2,award-id-2,award-value-2,award-type-3,award-id-3,award-value-3,award-type-4,award-id-4,award-value-4,
1,1,0,500000,1,8,20,1,9,20,1,10,20,1,11,20,
2,1,500001,1000000,1,8,20,1,9,20,1,10,20,1,11,20,
3,1,1000001,2000000,1,8,20,1,9,20,1,10,20,1,11,20,
4,1,2000001,4000000,1,8,20,1,9,20,1,10,20,1,11,20,
5,1,4000001,8000000,1,8,20,1,9,20,1,10,20,1,11,20,
6,1,8000001,16000000,1,8,20,1,9,20,1,10,20,1,11,20,
7,1,16000001,32000000,1,8,20,1,9,20,1,10,20,1,11,20,
8,1,32000001,64000000,1,8,20,1,9,20,1,10,20,1,11,20,
9,1,64000001,128000000,1,8,20,1,9,20,1,10,20,1,11,20,
10,2,0,500000,1,8,20,1,9,20,1,10,20,1,11,20,
11,2,500001,1000000,1,8,20,1,9,20,1,10,20,1,11,20,
12,2,1000001,2000000,1,8,20,1,9,20,1,10,20,1,11,20,
13,2,2000001,4000000,1,8,20,1,9,20,1,10,20,1,11,20,
14,2,4000001,8000000,1,8,20,1,9,20,1,10,20,1,11,20,
15,2,8000001,16000000,1,8,20,1,9,20,1,10,20,1,11,20,
16,2,16000001,32000000,1,8,20,1,9,20,1,10,20,1,11,20,
17,2,32000001,64000000,1,8,20,1,9,20,1,10,20,1,11,20,
18,2,64000001,128000000,1,8,20,1,9,20,1,10,20,1,11,20,
