id,name,type,level,lastHard,hardLevel,fightPower,battleId,boutCount,buyCountCost,firstRewards-type-1,firstRewards-id-1,firstRewards-value-1,firstRewards-type-2,firstRewards-id-2,firstRewards-value-2,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
101,s==2|卫士,1,15,,1|1,0,11001,22,1|9|50,,,,,,,1,8,110000,2,1001,18,,,,
102,s==2|校尉,1,15,101,2|1,190000,11002,22,1|9|50,,,,,,,1,8,160000,2,1001,33,,,,
103,s==2|中郎,1,15,102,2|2,335000,11003,22,1|9|50,,,,,,,1,8,210000,2,1001,48,,,,
104,s==3|领军1,1,15,103,3|1,530000,11004,22,1|9|50,,,,,,,1,8,260000,2,1001,63,,,,
105,s==3|领军2,1,15,104,3|2,815000,11005,22,1|9|50,,,,,,,1,8,310000,2,1001,78,,,,
106,s==3|大将1,1,15,105,4|1,1345000,11006,22,1|9|50,,,,,,,1,8,360000,2,1001,93,,,,
107,s==3|大将2,1,15,106,4|2,2065000,11007,22,1|9|50,,,,,,,1,8,410000,2,1001,108,,,,
108,s==3|枭雄1,1,15,107,5|1,2880000,11008,22,1|9|50,,,,,,,1,8,460000,2,1001,123,,,,
109,s==3|枭雄2,1,15,108,5|2,3650000,11009,22,1|9|50,,,,,,,1,8,510000,2,1001,153,,,,
201,s==2|卫士,2,17,,1|1,0,12001,22,1|9|50,,,,,,,1,10,60000,,,,,,,
202,s==2|校尉,2,17,201,2|1,225000,12002,22,1|9|50,,,,,,,1,10,90000,,,,,,,
203,s==2|中郎,2,17,202,2|2,410000,12003,22,1|9|50,,,,,,,1,10,120000,,,,,,,
204,s==3|领军1,2,17,203,3|1,705000,12004,22,1|9|50,,,,,,,1,10,150000,,,,,,,
205,s==3|领军2,2,17,204,3|2,875000,12005,22,1|9|50,,,,,,,1,10,180000,,,,,,,
206,s==3|大将1,2,17,205,4|1,1455000,12006,22,1|9|50,,,,,,,1,10,210000,,,,,,,
207,s==3|大将2,2,17,206,4|2,2185000,12007,22,1|9|50,,,,,,,1,10,240000,,,,,,,
208,s==3|枭雄1,2,17,207,5|1,3300000,12008,22,1|9|50,,,,,,,1,10,270000,,,,,,,
209,s==3|枭雄2,2,17,208,5|2,4025000,12009,22,1|9|50,,,,,,,1,10,310000,,,,,,,
301,s==2|卫士,3,18,,1|1,0,13001,22,1|9|50,,,,,,,2,3002,2,2,3001,11,,,,
302,s==2|校尉,3,18,301,2|1,290000,13002,22,1|9|50,,,,,,,2,3002,5,2,3001,21,,,,
303,s==2|中郎,3,18,302,2|2,445000,13003,22,1|9|50,,,,,,,2,3002,10,2,3001,21,,,,
304,s==3|领军1,3,18,303,3|1,730000,13004,22,1|9|50,,,,,,,2,3002,15,2,3001,21,,,,
305,s==3|领军2,3,18,304,3|2,920000,13005,22,1|9|50,,,,,,,2,3002,20,2,3001,21,,,,
