id,name,monsterGroupId,boutCount,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,s==11|Tầng 1 trận,40001,11,,,,,,,,,,
2,s==11|Tầng 2 trận,40002,11,,,,,,,,,,
3,s==11|Tầng 3 trận,40003,11,,,,,,,,,,
4,s==11|Tầng 4 trận,40004,11,,,,,,,,,,
5,s==11|Tầng 5 trận,40005,11,1,10,50000,,,,,,,
6,s==11|Tầng 6 trận,40006,11,,,,,,,,,,
7,s==11|Tầng 7 trận,40007,11,,,,,,,,,,
8,s==11|Tầng 8 trận,40008,11,,,,,,,,,,
9,s==11|Tầng 9 trận,40009,11,,,,,,,,,,
10,s==12|Tầng 10 trận,40010,11,1,10,55000,,,,,,,
11,s==12|Tầng 11 trận,40011,11,,,,,,,,,,
12,s==12|Tầng 12 trận,40012,11,,,,,,,,,,
13,s==12|Tầng 13 trận,40013,11,,,,,,,,,,
14,s==12|Tầng 14 trận,40014,11,,,,,,,,,,
15,s==12|Tầng 15 trận,40015,11,2,1003,1,,,,,,,
16,s==12|Tầng 16 trận,40016,11,,,,,,,,,,
17,s==12|Tầng 17 trận,40017,11,,,,,,,,,,
18,s==12|Tầng 18 trận,40018,11,,,,,,,,,,
19,s==12|Tầng 19 trận,40019,11,,,,,,,,,,
20,s==12|Tầng 20 trận,40020,11,1,10,60000,,,,,,,
21,s==12|Tầng 21 trận,40021,11,,,,,,,,,,
22,s==12|Tầng 22 trận,40022,11,,,,,,,,,,
23,s==12|Tầng 23 trận,40023,11,,,,,,,,,,
24,s==12|Tầng 24 trận,40024,11,,,,,,,,,,
25,s==12|Tầng 25 trận,40025,11,1,10,70000,,,,,,,
26,s==12|Tầng 26 trận,40026,11,,,,,,,,,,
27,s==12|Tầng 27 trận,40027,11,,,,,,,,,,
28,s==12|Tầng 28 trận,40028,11,,,,,,,,,,
29,s==12|Tầng 29 trận,40029,11,,,,,,,,,,
30,s==12|Tầng 30 trận,40030,11,2,1003,1,,,,,,,
31,s==12|Tầng 31 trận,40031,11,,,,,,,,,,
32,s==12|Tầng 32 trận,40032,11,,,,,,,,,,
33,s==12|Tầng 33 trận,40033,11,,,,,,,,,,
34,s==12|Tầng 34 trận,40034,11,,,,,,,,,,
35,s==12|Tầng 35 trận,40035,11,1,10,80000,,,,,,,
36,s==12|Tầng 36 trận,40036,11,,,,,,,,,,
37,s==12|Tầng 37 trận,40037,11,,,,,,,,,,
38,s==12|Tầng 38 trận,40038,11,,,,,,,,,,
39,s==12|Tầng 39 trận,40039,11,,,,,,,,,,
40,s==12|Tầng 40 trận,40040,11,1,10,150000,,,,,,,
41,s==12|Tầng 41 trận,40041,11,,,,,,,,,,
42,s==12|Tầng 42 trận,40042,11,,,,,,,,,,
43,s==12|Tầng 43 trận,40043,11,,,,,,,,,,
44,s==12|Tầng 44 trận,40044,11,,,,,,,,,,
45,s==12|Tầng 45 trận,40045,11,2,1003,1,,,,,,,
46,s==12|Tầng 46 trận,40046,11,,,,,,,,,,
47,s==12|Tầng 47 trận,40047,11,,,,,,,,,,
48,s==12|Tầng 48 trận,40048,11,,,,,,,,,,
49,s==12|Tầng 49 trận,40049,11,,,,,,,,,,
50,s==12|Tầng 50 trận,40050,11,1,10,200000,,,,,,,
51,s==12|Tầng 51 trận,40051,11,,,,,,,,,,
52,s==12|Tầng 52 trận,40052,11,,,,,,,,,,
53,s==12|Tầng 53 trận,40053,11,,,,,,,,,,
54,s==12|Tầng 54 trận,40054,11,,,,,,,,,,
55,s==12|Tầng 55 trận,40055,11,1,10,300000,,,,,,,
56,s==12|Tầng 56 trận,40056,11,,,,,,,,,,
57,s==12|Tầng 57 trận,40057,11,,,,,,,,,,
58,s==12|Tầng 58 trận,40058,11,,,,,,,,,,
59,s==12|Tầng 59 trận,40059,11,,,,,,,,,,
60,s==12|Tầng 60 trận,40060,11,2,1003,1,,,,,,,
61,s==12|Tầng 61 trận,40061,11,,,,,,,,,,
