id,name,battle,battleScene,heroId,firstRewards-type-1,firstRewards-id-1,firstRewards-value-1,firstRewards-type-2,firstRewards-id-2,firstRewards-value-2,passRewards-type-1,passRewards-id-1,passRewards-value-1,passRewards-type-2,passRewards-id-2,passRewards-value-2,
1,s==6|Tầng 1,30001,50000,22501,2,1001,6,,,,1,8,2000,1,10,800,
2,s==6|Tầng 2,30002,50000,21510,2,1001,6,,,,1,8,2500,1,10,1000,
3,s==6|Tầng 3,30003,50000,24506,2,1001,6,,,,1,8,3000,1,10,1200,
4,s==6|Tầng 4,30004,50000,23504,2,1001,7,,,,1,8,3000,1,10,1200,
5,s==6|Tầng 5,30005,50000,24504,2,1001,7,,,,1,8,3500,1,10,1400,
6,s==6|Tầng 6,30006,50000,24503,2,1001,7,,,,1,8,3500,1,10,1400,
7,s==6|Tầng 7,30007,50000,21505,2,1001,8,,,,1,8,4000,1,10,1600,
8,s==6|Tầng 8,30008,50000,22509,2,1001,8,,,,1,8,4000,1,10,1600,
9,s==6|Tầng 9,30009,50000,21510,2,1001,8,,,,1,8,4500,1,10,1800,
10,s==7|Tầng 10,30010,50000,24503,2,1001,9,,,,1,8,4500,1,10,1800,
11,s==7|Tầng 11,30011,50000,22507,2,1001,9,,,,1,8,5000,1,10,2000,
12,s==7|Tầng 12,30012,50000,22505,2,1001,9,,,,1,8,5000,1,10,2000,
13,s==7|Tầng 13,30013,50000,22507,2,1001,12,,,,1,8,5500,1,10,2200,
14,s==7|Tầng 14,30014,50000,2450110,2,1001,12,,,,1,8,5500,1,10,2200,
15,s==7|Tầng 15,30015,50000,23513,2,1001,13,,,,1,8,6000,1,10,2400,
16,s==7|Tầng 16,30016,50000,24503,2,1001,13,,,,1,8,6000,1,10,2400,
17,s==7|Tầng 17,30017,50000,23506,2,1001,14,,,,1,8,6500,1,10,2600,
18,s==7|Tầng 18,30018,50000,24510,2,1001,14,,,,1,8,6500,1,10,2600,
19,s==7|Tầng 19,30019,50000,2450110,2,1001,15,,,,1,8,7000,1,10,2800,
20,s==7|Tầng 20,30020,50000,22509,2,1001,15,,,,1,8,7000,1,10,2800,
21,s==7|Tầng 21,30021,50000,21510,2,1001,16,,,,1,8,7500,1,10,3000,
22,s==7|Tầng 22,30022,50000,25503,2,1001,16,,,,1,8,7500,1,10,3000,
23,s==7|Tầng 23,30023,50000,21510,2,1001,17,,,,1,8,8000,1,10,3200,
24,s==7|Tầng 24,30024,50000,25506,2,1001,17,,,,1,8,8000,1,10,3200,
25,s==7|Tầng 25,30025,50000,24502,2,1001,18,,,,1,8,8500,1,10,3400,
26,s==7|Tầng 26,30026,50000,22501,2,1001,18,,,,1,8,8500,1,10,3400,
27,s==7|Tầng 27,30027,50000,21510,2,1001,19,,,,1,8,9000,1,10,3600,
28,s==7|Tầng 28,30028,50000,24506,2,1001,19,,,,1,8,9000,1,10,3600,
29,s==7|Tầng 29,30029,50000,23504,2,1001,20,,,,1,8,9500,1,10,3800,
30,s==7|Tầng 30,30030,50000,24504,2,1001,20,,,,1,8,9500,1,10,3800,
31,s==7|Tầng 31,30031,50000,24503,2,1001,21,,,,1,8,10000,1,10,4000,
32,s==7|Tầng 32,30032,50000,21505,2,1001,21,,,,1,8,10000,1,10,4000,
33,s==7|Tầng 33,30033,50000,22509,2,1001,22,,,,1,8,10500,1,10,4200,
