id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,
1,2,13712,1,2,1204,25,3,4,,,,,s==32|Hồng Liên Nghiệp Hỏa (Vĩnh Hằng),25,,1000,
2,2,4050,1,2,1204,35,2,4,,,,,s==17|Đại Tướng Quân Ấn,50,7,990,
3,2,2149,1,2,1204,40,2,4,,,,,s==31|Lựa Chọn Trang Bị Hồng Ngũ Tinh,50,8,980,
4,2,5137,1,2,1204,40,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 5,50,8,970,
5,2,1516,1,2,1204,1,5,4,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,1,,960,
6,2,1527,1,2,1204,2,5,4,,,,,s==39|Hộp Quà Lựa Chọn Nguyên Liệu Quý Hiếm ④,2,,950,
7,2,1031,1,2,1204,1,3,4,,,,,s==20|Thần Binh Ngọc Thạch,1,,940,
8,2,1176,1,2,1204,20,1,4,,,,,s==23|Ngọc Kỹ Năng Thượng Cấp,30,7,979,
9,2,2088,1,2,1204,14,2,4,,,,,s==19|Lựa Chọn Ngọc Cấp 4,14,,978,
10,2,1004,8,2,1204,5,2,4,,,,,s==12|Tụ Hiền Lệnh,5,,977,
11,2,13769,1,2,1204,3,1,4,,,,,s==30|Bích Ngọc Võ Thánh (Vĩnh Hằng),3,,999,
