id,group,form,form2,rewards-type-1,rewards-id-1,rewards-value-1,desc,odd1,odd2,true1,times1,true2,times2,times3,true3,true4,
1,11,1,1,2,3014,50,s==6|5星神魔碎片,50,100,1,90,1,100,999,1,0,
2,11,2,3,2,1204,2,s==4|天宝如意,140,200,1,20,1,22,-1,1,0,
3,11,3,5,2,4030,1,s==4|中郎将印,100,200,1,45,1,50,-1,1,0,
4,11,4,7,2,1030,4,s==4|神兵之魂,400,400,0,0,0,0,-1,0,0,
5,11,5,2,2,1029,6,s==5|神兵精炼石,1190,1200,0,0,0,0,-1,0,0,
6,11,6,4,2,1006,500,s==3|将印石,1580,1600,0,0,0,0,-1,0,0,
7,11,7,6,2,2200,1,s==6|幸运铜钱福袋,3270,3300,0,0,0,0,-1,0,0,
8,11,8,8,2,2201,1,s==6|幸运经验福袋,3270,3300,0,0,0,0,-1,0,0,
9,12,1,1,2,1178,1,s==5|究极技能玉,12,8,1,2000,1,2400,999,1,0,
10,12,2,3,2,2149,1,s==8|5星红装自选礼包,18,50,1,800,1,900,-1,1,0,
11,12,3,5,2,1081,1,s==4|美人凤冠,397,397,0,0,0,0,-1,0,0,
12,12,4,7,2,1082,1,s==4|美人锦缎,1590,1590,0,0,0,0,-1,0,0,
13,12,5,2,2,1030,1,s==4|神兵之魂,398,398,0,0,0,0,-1,0,0,
14,12,6,4,2,1029,1,s==5|神兵精炼石,1590,1590,0,0,0,0,-1,0,0,
15,12,7,6,2,1006,500,s==3|将印石,895,867,0,0,0,0,-1,0,0,
16,12,8,8,2,1188,5,s==4|抽奖积分,5100,5100,0,0,0,0,-1,0,0,
17,21,1,1,2,5095,1,s==8|极品魏蜀吴自选箱,190,300,1,22,1,25,5,1,0,
18,21,2,3,2,2148,1,s==6|一星红装自选,350,500,1,10,0,0,-1,1,0,
19,21,3,5,2,1003,8,s==5|高级寻访令,390,500,1,7,0,0,-1,0,0,
20,21,4,7,2,1027,40,s==5|神兵强化石,1566,1500,0,0,0,0,-1,0,0,
21,21,5,2,2,1001,220,s==3|突破石,1876,1800,0,0,0,0,-1,0,0,
22,21,6,4,1,8,2200000,s==2|铜钱,1876,1800,0,0,0,0,-1,0,0,
23,21,7,6,2,3002,30,s==6|4星随机碎片,1876,1800,0,0,0,0,-1,0,0,
24,21,8,8,2,1006,220,s==3|将印石,1876,1800,0,0,0,0,-1,0,0,
25,22,1,1,2,1177,1,s==5|高级技能玉,50,100,1,66,0,0,999,1,0,
26,22,2,3,2,2148,1,s==6|一星红装自选,100,100,1,30,0,0,-1,1,0,
27,22,3,5,2,1003,2,s==5|高级寻访令,400,350,1,5,0,0,-1,0,0,
28,22,4,7,2,1006,220,s==3|将印石,2300,2300,0,0,0,0,-1,0,0,
29,22,5,2,2,1001,220,s==3|突破石,2300,2300,0,0,0,0,-1,0,0,
30,22,6,4,2,1027,40,s==5|神兵强化石,250,250,0,0,0,0,-1,0,0,
31,22,7,6,2,3002,30,s==6|4星随机碎片,2300,2300,0,0,0,0,-1,0,0,
32,22,8,8,1,8,2200000,s==2|铜钱,2300,2300,0,0,0,0,-1,0,0,
33,31,1,1,2,3014,50,s==6|5星神魔碎片,50,100,1,90,1,100,999,1,0,
34,31,2,3,2,1204,2,s==4|天宝如意,140,200,1,20,1,22,-1,1,0,
35,31,3,5,2,1760,1,s==6|2级宝石自选,110,200,1,45,1,50,-1,1,0,
36,31,4,7,2,1009,4,s==4|配饰之魂,400,400,0,0,0,0,-1,0,0,
37,31,5,2,2,1011,6,s==5|配饰升星石,1610,1600,0,0,0,0,-1,0,0,
38,31,6,4,2,1006,500,s==3|将印石,1610,1600,0,0,0,0,-1,0,0,
39,31,7,6,2,2200,1,s==6|幸运铜钱福袋,3040,3030,0,0,0,0,-1,0,0,
40,31,8,8,2,2201,1,s==6|幸运经验福袋,3040,3030,0,0,0,0,-1,0,0,
41,32,1,1,2,1178,1,s==5|究极技能玉,12,8,1,2000,1,2400,999,1,0,
42,32,2,3,2,2149,1,s==8|5星红装自选礼包,18,50,1,800,1,900,-1,1,0,
43,32,3,5,2,1081,1,s==4|美人凤冠,397,397,0,0,0,0,-1,0,0,
44,32,4,7,2,1082,1,s==4|美人锦缎,1590,1590,0,0,0,0,-1,0,0,
45,32,5,2,2,1030,1,s==4|神兵之魂,398,398,0,0,0,0,-1,0,0,
46,32,6,4,2,1029,1,s==5|神兵精炼石,1590,1590,0,0,0,0,-1,0,0,
47,32,7,6,2,1006,500,s==3|将印石,895,867,0,0,0,0,-1,0,0,
48,32,8,8,2,1188,5,s==4|抽奖积分,5100,5100,0,0,0,0,-1,0,0,
49,41,1,1,2,5095,1,s==8|极品魏蜀吴自选箱,190,300,1,22,1,25,5,1,0,
50,41,2,3,2,1567,1,s==8|1星极品配饰自选,350,500,1,10,0,0,-1,1,0,
51,41,3,5,2,1003,8,s==5|高级寻访令,390,500,1,7,0,0,-1,0,0,
52,41,4,7,2,1027,40,s==5|神兵强化石,1566,1500,0,0,0,0,-1,0,0,
53,41,5,2,2,1001,220,s==3|突破石,1876,1800,0,0,0,0,-1,0,0,
54,41,6,4,1,8,2200000,s==2|铜钱,1876,1800,0,0,0,0,-1,0,0,
55,41,7,6,2,3002,30,s==6|4星随机碎片,1876,1800,0,0,0,0,-1,0,0,
56,41,8,8,2,1006,220,s==3|将印石,1876,1800,0,0,0,0,-1,0,0,
57,42,1,1,2,1177,1,s==5|高级技能玉,50,100,1,66,0,0,999,1,0,
58,42,2,3,2,2148,1,s==8|1星红装自选礼包,100,100,1,30,0,0,-1,1,0,
59,42,3,5,2,1003,2,s==5|高级寻访令,400,350,1,5,0,0,-1,0,0,
60,42,4,7,2,1006,220,s==3|将印石,2300,2300,0,0,0,0,-1,0,0,
61,42,5,2,2,1001,220,s==3|突破石,2300,2300,0,0,0,0,-1,0,0,
62,42,6,4,2,1027,40,s==5|神兵强化石,250,250,0,0,0,0,-1,0,0,
63,42,7,6,2,3002,30,s==6|4星随机碎片,2300,2300,0,0,0,0,-1,0,0,
64,42,8,8,1,8,2200000,s==2|铜钱,2300,2300,0,0,0,0,-1,0,0,
