id,item-type-1,item-id-1,item-value-1,item-type-2,item-id-2,item-value-2,item-type-3,item-id-3,item-value-3,item-type-4,item-id-4,item-value-4,item-type-5,item-id-5,item-value-5,item-type-6,item-id-6,item-value-6,
1501,2,1077,90,,,,,,,,,,,,,,,,
1502,2,1003,2,,,,,,,,,,,,,,,,
1503,2,1006,100,,,,,,,,,,,,,,,,
1504,2,1027,40,2,1003,3,,,,,,,,,,,,,
1505,2,1001,200,,,,,,,,,,,,,,,,
1506,2,7001,1,1,9,200,,,,,,,,,,,,,
2501,2,1077,100,,,,,,,,,,,,,,,,
2502,2,1003,2,,,,,,,,,,,,,,,,
2503,2,1001,150,,,,,,,,,,,,,,,,
2504,2,1006,150,2,1003,3,,,,,,,,,,,,,
2505,2,1027,80,,,,,,,,,,,,,,,,
2506,2,1001,150,,,,,,,,,,,,,,,,
2507,2,1086,100,,,,,,,,,,,,,,,,
2508,2,1006,150,,,,,,,,,,,,,,,,
2509,2,1077,50,,,,,,,,,,,,,,,,
2510,2,7002,1,1,9,300,,,,,,,,,,,,,
2511,1,9,50,,,,,,,,,,,,,,,,
3501,2,1006,300,,,,,,,,,,,,,,,,
3502,2,1003,5,,,,,,,,,,,,,,,,
3503,2,1086,150,,,,,,,,,,,,,,,,
3504,2,1006,300,,,,,,,,,,,,,,,,
3505,2,1027,140,,,,,,,,,,,,,,,,
3506,2,1001,400,,,,,,,,,,,,,,,,
3507,2,1077,210,,,,,,,,,,,,,,,,
3508,1,9,400,,,,,,,,,,,,,,,,
3509,2,7003,1,,,,,,,,,,,,,,,,
4501,2,1003,5,,,,,,,,,,,,,,,,
4502,2,1086,250,,,,,,,,,,,,,,,,
4503,2,1006,300,,,,,,,,,,,,,,,,
4504,2,1027,180,,,,,,,,,,,,,,,,
4505,2,1001,300,,,,,,,,,,,,,,,,
4506,2,1077,270,,,,,,,,,,,,,,,,
4507,2,1006,300,,,,,,,,,,,,,,,,
4508,1,9,400,2,1001,450,,,,,,,,,,,,,
4509,2,7004,1,,,,,,,,,,,,,,,,
5501,2,1003,5,,,,,,,,,,,,,,,,
5502,2,1006,300,,,,,,,,,,,,,,,,
5503,2,1075,1,,,,,,,,,,,,,,,,
5504,2,1027,100,,,,,,,,,,,,,,,,
5505,2,1001,400,2,1006,300,,,,,,,,,,,,,
5506,2,1077,150,2,1001,500,,,,,,,,,,,,,
5507,1,9,600,2,7005,1,,,,,,,,,,,,,
6501,2,1003,5,,,,,,,,,,,,,,,,
6502,2,1006,600,,,,,,,,,,,,,,,,
6503,2,1075,2,,,,,,,,,,,,,,,,
6504,2,1027,100,,,,,,,,,,,,,,,,
6505,2,1001,500,,,,,,,,,,,,,,,,
