id,rewardType,dateStart,dateEnd,rankMin,rankMax,isTemp,rankNeedScore,isShowLimit,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,rewards-type-4,rewards-id-4,rewards-value-4,showRewardMain,mailId,
1,1,1,9999,1,1,,480,1,2,8835,1,2,50055,1,,,,,,,1|2,2940,
2,1,1,9999,2,3,,280,1,2,8833,1,2,1290,3000,,,,,,,1|2,2940,
3,1,1,9999,4,6,,1,,2,8832,1,2,1290,2000,,,,,,,1|2,2940,
4,1,1,9999,7,10,,1,,2,8831,1,2,1290,1000,,,,,,,1|2,2940,
5,1,1,9999,11,20,,1,,2,8856,1,,,,,,,,,,1,2940,
6,1,1,9999,21,50,,1,,2,8855,1,,,,,,,,,,1,2940,
7,1,1,9999,51,100,,1,,2,8854,1,,,,,,,,,,1,2940,
8,1,1,9999,101,9999,1,1,,1,9,200,,,,,,,,,,1,2940,
9,2,1,9999,1,1,,480,1,2,8836,1,2,50055,2,,,,,,,1|2,2944,
10,2,1,9999,2,3,,280,1,2,8835,1,2,50055,1,,,,,,,1|2,2944,
11,2,1,9999,4,6,,1,,2,8833,1,2,1290,3000,,,,,,,1|2,2944,
12,2,1,9999,7,10,,1,,2,8832,1,2,1290,2000,,,,,,,1|2,2944,
13,2,1,9999,11,20,,1,,2,8831,1,,,,,,,,,,1,2944,
14,2,1,9999,21,50,,1,,2,8856,1,,,,,,,,,,1,2944,
15,2,1,9999,51,100,,1,,2,8855,1,,,,,,,,,,1,2944,
16,2,1,9999,101,9999,1,1,,1,9,500,,,,,,,,,,1,2944,
17,3,1,9999,1,1,,480,1,2,8837,1,2,50055,3,,,,,,,1|2,2948,
18,3,1,9999,2,3,,280,1,2,8836,1,2,50055,2,,,,,,,1|2,2948,
19,3,1,9999,4,6,,1,,2,8835,1,2,50055,1,,,,,,,1|2,2948,
20,3,1,9999,7,10,,1,,2,8833,1,2,1290,3000,,,,,,,1|2,2948,
21,3,1,9999,11,20,,1,,2,8832,1,,,,,,,,,,1,2948,
22,3,1,9999,21,50,,1,,2,8831,1,,,,,,,,,,1,2948,
23,3,1,9999,51,100,,1,,2,8856,1,,,,,,,,,,1,2948,
24,3,1,9999,101,9999,1,1,,1,9,888,,,,,,,,,,1,2948,
