id,name,detail,isPassive,type,round,combine,exForce,exRound,useTimes,noDispel,forever,subCls,priority,checkDead,eventType,Func-use-1,Func-id-1,Func-value-1,Func-calcFun-1,Func-dependentTarget-1,Func-dependentType-1,Func-dependentId-1,Func-dependentCalcType-1,Func-dependentValue-1,Func-exDependentValue-1,Func-use-2,Func-id-2,Func-value-2,Func-calcFun-2,Func-dependentTarget-2,Func-dependentType-2,Func-dependentId-2,Func-dependentCalcType-2,Func-dependentValue-2,Func-exDependentValue-2,conditionType,condition-condition-1,condition-conditionValue-1,condition-conditionParam-1,condition-condition-2,condition-conditionValue-2,condition-conditionParam-2,iconId,buffEnterArmatureId,buffEnterAnim,buffEnterBackArmatureId,buffEnterBackAnim,buffSustainArmatureId,buffSustainAnim,buffSustainBackArmatureId,buffSustainBackAnim,buffRemoveArmatureId,buffRemoveAnim,buffRemoveBackArmatureId,buffRemoveBackAnim,buffHramArmatureId,buffHramAnim,buffHramBackArmatureId,buffHramBackAnim,pauseHeroAnim,heroGray,posType,reverse,spBuffEffectId,flyWordPicId,buffFlyWordType,isForce,
1,s==14|Công Kích Giảm,s==54|Công kích giảm 20%， kéo dài 2 lượt， không thể giải trừ,,2,2,-1,,,,1,,17501,,,,5,2,2000,1,3,1,2,1,2000,,,,,,,,,,,,,,,,,,,17111,,,,,,,,,,,,,,,,,,,,,,201,,,
2,s==10|Công Kích ,s==54|Công kích tăng 20%， kéo dài 2 lượt， không thể giải trừ,,1,2,-1,,,,1,,17401,,,,5,2,2000,1,3,1,2,1,2000,,,,,,,,,,,,,,,,,,,17112,19,s==9|effect_in,,,,,19,s==11|effect_idle,,,,,,,,,,,3,1,,101,,,
3,s==10|Điểm Nhiệt,s==123|Tướng mang trạng thái này kết thúc lượt mất đi 【Công kích của pháp sư * 20%】 sinh mệnh， kéo dài 2 lượt， tối đa chồng 5 tầng,,2,2,5,,,,,,3,,,,4,99,,1,1,1,2,1,2000,,,,,,,,,,,,,,,,,,,17224,,,,,5,s==17|effect_dianran_cx,,,,,,,,,,,,,2,,,313,1,,
4,s==8|Hỗn Loạn,s==141|Tướng mang trạng thái này không thể phân biệt địch ta， giai đoạn ra tay sẽ buộc dùng công kích thường lên mục tiêu ngẫu nhiên， kéo dài 2 lượt,,2,2,-1,,,,,,4,,,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,17208,,,,,6,s==17|effect_hunluan_cx,,,,,,,,,,,,,1,1,,322,,,
5,s==8|Câm Lặng,s==78|Tướng mang trạng thái này không thể phát động kỹ năng chủ động， kéo dài 2 lượt,,2,2,-1,,,,,,5,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,17205,,,,,7,s==16|effect_chenmo_cx,,,,,,,,,,,,,1,1,,310,,,
6,s==10|Điểm Nhiệt,s==124|Tướng mang trạng thái này kết thúc lượt mất đi 【Công kích của pháp sư * 15%】 sinh mệnh， kéo dài 3 lượt， tối đa chồng 10 tầng,,2,3,10,,,,,,3,,,,4,99,,1,1,1,2,1,1500,,,,,,,,,,,,,,,,,,,17224,,,,,5,s==17|effect_dianran_cx,,,,,,,,,,,,,2,,,313,1,,
7,s==11|Thoái Nhược,s==65|Sát thương nhận vào tăng 30%， kéo dài 2 lượt， tối đa chồng 5 tầng,,2,2,5,,,,,,17507,,,,5,102,3000,,,,,,,,,,,,,,,,,,,,,,,,,17116,,,,,,,,,,,,,,,,,,,,,,312,,,
8,s==14|Thánh Yển Trận,s==145|Tướng mang trạng thái này khi bị tấn công， kẻ tấn công sẽ chịu 【Sát thương lần này * 20%】 sát thương phản lại， kéo dài 3 lượt， không thể giải trừ,1,1,3,-1,,,,1,,82,,,s==3|4:5,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,17215,215071,s==13|effect_skill2,,,8,s==22|effect_shengyanzhen_cx,,,,,,,,,,,,,2,,,,,,
9,s==16|Bạo Kích Hồi Máu,s==122|Khi tướng ta gây sát thương chí mạng， sẽ hồi phục sinh mệnh cho toàn quân ta bằng 16% lượng sát thương， không thể giải trừ,,1,,-1,,,,1,,999,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,s==17|effect_zhiliao_cc,,,,,,,,,,,,,,,,304,,,
10,s==6|Hôn Mê,s==61|Tướng mang trạng thái này không thể hành động， kéo dài 2 lượt,,2,2,-1,,,,,,10,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,17209,,,,,9,s==15|effect_hunmi_cx,,,,,,,,,,,,,1,,,321,,,
11,s==12|Miễn Thương ,s==40|Miễn sát thương tăng 30%， kéo dài 2 lượt,,1,2,-1,,,,,,11,,,,5,11,3000,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,112,,,
12,s==8|Hỗn Loạn,s==141|Tướng mang trạng thái này không thể phân biệt địch ta， giai đoạn ra tay sẽ buộc dùng công kích thường lên mục tiêu ngẫu nhiên， kéo dài 1 lượt,,2,1,-1,,,,,,12,,,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,17208,,,,,,,,,,,,,,,,,,,,,,322,,,
13,s==6|Hôn Mê,s==61|Tướng mang trạng thái này không thể hành động， kéo dài 1 lượt,,2,1,-1,,,,,,10,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,17209,,,,,9,s==15|effect_hunmi_cx,,,,,,,,,,,,,1,,,321,,,
14,s==8|Cuồng Nộ,s==59|Tỷ lệ chí mạng tăng 30%， kéo dài 2 lượt， không thể giải trừ,,1,2,-1,,,,1,,17405,,,,5,5,3000,0,,,,,,,,,,,,,,,,,,,,,,,,17102,,,,,,,,,,,,,,,,,,,,,,325,,,
15,s==9|Dũng Mãnh,s==60|Miễn sát thương tăng 25%， kéo dài 2 lượt， không thể giải trừ,,1,2,-1,,,,1,,17407,,,,5,11,2500,1,,,,,,,,,,,,,,,,,,,,,,,,17117,,,,,,,,,,,,,,,,,,,,,,347,,,
16,s==6|Nộ Khí,s==163|Mỗi tầng tăng 3% công kích， tối đa chồng 10 tầng， hiệu quả này không thể giải trừ， khi đầy tầng， sử dụng kỹ năng 【一骑当千】 sẽ tiêu hao nộ khí và tăng hiệu quả kỹ năng,,1,999,10,,,,1,,16,,,,5,2,300,1,3,1,2,1,300,,,,,,,,,,,,,,,,,,,17307,,,,,116,s==4|idle,,,,,,,,,,,,,3,1,,332,,,
17,s==8|Câm Lặng,s==78|Tướng mang trạng thái này không thể phát động kỹ năng chủ động， kéo dài 1 lượt,,2,1,-1,,,,,,5,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,17205,,,,,7,s==16|effect_chenmo_cx,,,,,,,,,,,,,1,1,,310,,,
18,s==7|Tốc Độ ,s==62|Tốc độ tăng 70 điểm， kéo dài 2 lượt， hiệu quả này có thể chồng,,1,2,999,,,,,,17403,,,,5,4,70,,,,,,,,,,,,,,,,,,,,,,,,,17128,,,,,,,,,,,,,,,,,,,,,,103,,,
19,s==10|Công Kích ,s==34|Công kích tăng 20%， kéo dài 1 lượt,,1,1,-1,,,,,,17401,,,,5,2,2500,1,,,,,,,,,,,,,,,,,,,,,,,,17112,19,s==9|effect_in,,,,,19,s==11|effect_idle,,,,,,,,,,,3,1,,101,,,
20,s==8|Tiêu Thị,s==84|Mỗi kẻ địch mang 1 【标识】 sẽ tăng 3% công kích cho Gia Cát Lượng， tối đa chồng 10 tầng,,2,999,10,,,,,,20,,,,5,102,3000,1,,,,,,,,,,,,,,,,,1,12,3,s==2|20,,,,17112,,,,,,,,,,,,,,,,,,,,,,306,,,
21,s==14|Phòng Ngự Giảm,s==56|Phòng ngự giảm 30%， kéo dài 2 lượt， tối đa chồng 10 tầng,,2,2,10,,,,,,17502,,,,5,3,3000,1,,,,,,,,,,,,,,,,,,,,,,,,17107,,,,,,,,,,,,,,,,,,,,,,202,,,
