level,101-type-1,101-id-1,101-value-1,101-type-2,101-id-2,101-value-2,201-type-1,201-id-1,201-value-1,201-type-2,201-id-2,201-value-2,301-type-1,301-id-1,301-value-1,301-type-2,301-id-2,301-value-2,401-type-1,401-id-1,401-value-1,401-type-2,401-id-2,401-value-2,501-type-1,501-id-1,501-value-1,501-type-2,501-id-2,501-value-2,601-type-1,601-id-1,601-value-1,601-type-2,601-id-2,601-value-2,
40,2,1078,87,,,,1,8,200000,,,,2,1078,232,,,,1,8,1960000,,,,2,1078,464,,,,2,1078,500,1,8,2500000,
41,2,1078,89,,,,1,8,209000,,,,2,1078,237,,,,1,8,1979600,,,,2,1078,469,,,,2,1078,505,1,8,2525000,
42,2,1078,91,,,,1,8,218000,,,,2,1078,242,,,,1,8,1999200,,,,2,1078,474,,,,2,1078,510,1,8,2550000,
43,2,1078,93,,,,1,8,227000,,,,2,1078,246,,,,1,8,2018800,,,,2,1078,478,,,,2,1078,515,1,8,2575000,
44,2,1078,94,,,,1,8,236000,,,,2,1078,251,,,,1,8,2038400,,,,2,1078,483,,,,2,1078,520,1,8,2600000,
45,2,1078,96,,,,1,8,245000,,,,2,1078,256,,,,1,8,2058000,,,,2,1078,488,,,,2,1078,525,1,8,2625000,
46,2,1078,98,,,,1,8,254000,,,,2,1078,260,,,,1,8,2077600,,,,2,1078,492,,,,2,1078,530,1,8,2650000,
47,2,1078,100,,,,1,8,263000,,,,2,1078,265,,,,1,8,2097200,,,,2,1078,497,,,,2,1078,535,1,8,2675000,
48,2,1078,101,,,,1,8,272000,,,,2,1078,270,,,,1,8,2116800,,,,2,1078,502,,,,2,1078,540,1,8,2700000,
49,2,1078,103,,,,1,8,281000,,,,2,1078,274,,,,1,8,2136400,,,,2,1078,506,,,,2,1078,545,1,8,2725000,
50,2,1078,105,,,,1,8,290000,,,,2,1078,279,,,,1,8,2156000,,,,2,1078,511,,,,2,1078,550,1,8,2750000,
51,2,1078,107,,,,1,8,299000,,,,2,1078,284,,,,1,8,2175600,,,,2,1078,516,,,,2,1078,555,1,8,2775000,
52,2,1078,108,,,,1,8,308000,,,,2,1078,288,,,,1,8,2195200,,,,2,1078,520,,,,2,1078,560,1,8,2800000,
53,2,1078,110,,,,1,8,317000,,,,2,1078,293,,,,1,8,2214800,,,,2,1078,525,,,,2,1078,565,1,8,2825000,
54,2,1078,112,,,,1,8,326000,,,,2,1078,297,,,,1,8,2234400,,,,2,1078,529,,,,2,1078,570,1,8,2850000,
55,2,1078,114,,,,1,8,335000,,,,2,1078,302,,,,1,8,2254000,,,,2,1078,534,,,,2,1078,575,1,8,2875000,
56,2,1078,115,,,,1,8,344000,,,,2,1078,307,,,,1,8,2273600,,,,2,1078,539,,,,2,1078,580,1,8,2900000,
57,2,1078,117,,,,1,8,353000,,,,2,1078,311,,,,1,8,2293200,,,,2,1078,543,,,,2,1078,585,1,8,2925000,
58,2,1078,119,,,,1,8,362000,,,,2,1078,316,,,,1,8,2312800,,,,2,1078,548,,,,2,1078,590,1,8,2950000,
59,2,1078,121,,,,1,8,371000,,,,2,1078,321,,,,1,8,2332400,,,,2,1078,553,,,,2,1078,595,1,8,2975000,
60,2,1078,122,,,,1,8,380000,,,,2,1078,325,,,,1,8,2352000,,,,2,1078,557,,,,2,1078,600,1,8,3000000,
61,2,1078,124,,,,1,8,389000,,,,2,1078,330,,,,1,8,2371600,,,,2,1078,562,,,,2,1078,605,1,8,3025000,
62,2,1078,126,,,,1,8,398000,,,,2,1078,335,,,,1,8,2391200,,,,2,1078,567,,,,2,1078,610,1,8,3050000,
63,2,1078,128,,,,1,8,407000,,,,2,1078,339,,,,1,8,2410800,,,,2,1078,571,,,,2,1078,615,1,8,3075000,
64,2,1078,129,,,,1,8,416000,,,,2,1078,344,,,,1,8,2430400,,,,2,1078,576,,,,2,1078,620,1,8,3100000,
65,2,1078,131,,,,1,8,425000,,,,2,1078,348,,,,1,8,2450000,,,,2,1078,580,,,,2,1078,625,1,8,3125000,
66,2,1078,133,,,,1,8,434000,,,,2,1078,353,,,,1,8,2469600,,,,2,1078,585,,,,2,1078,630,1,8,3150000,
67,2,1078,134,,,,1,8,443000,,,,2,1078,358,,,,1,8,2489200,,,,2,1078,590,,,,2,1078,635,1,8,3175000,
68,2,1078,136,,,,1,8,452000,,,,2,1078,362,,,,1,8,2508800,,,,2,1078,594,,,,2,1078,640,1,8,3200000,
