id,level,adventureMax,minDrops-type-1,minDrops-id-1,minDrops-value-1,minDrops-type-2,minDrops-id-2,minDrops-value-2,minDrops-type-3,minDrops-id-3,minDrops-value-3,minDrops-type-4,minDrops-id-4,minDrops-value-4,itemDrop,passAwards-type-1,passAwards-id-1,passAwards-value-1,passAwards-type-2,passAwards-id-2,passAwards-value-2,passAwards-type-3,passAwards-id-3,passAwards-value-3,passAwards-type-4,passAwards-id-4,passAwards-value-4,passAwards-type-5,passAwards-id-5,passAwards-value-5,passAwards-type-6,passAwards-id-6,passAwards-value-6,battle,
1,1,11000,1,2,10,1,10,26,1,8,201,1,11,11,1,1,2,200,1,10,520,1,8,3015,1,11,100,2,21402,30,,,,1,
2,1,11000,1,2,10,1,10,26,1,8,201,1,11,11,1,1,2,200,1,10,520,1,8,3015,1,11,100,1,9,150,2,1002,1,2,
3,1,11000,1,2,20,1,10,36,1,8,211,1,11,11,1,1,2,200,1,10,720,1,8,3165,1,11,100,2,1001,5,2,1002,1,3,
4,1,11000,1,2,0,1,10,36,1,8,211,1,11,11,1,1,2,400,1,10,720,1,8,3165,1,11,100,2,1001,5,2,1002,1,4,
5,1,11000,1,2,20,1,10,36,1,8,211,1,11,11,1,1,2,400,1,10,720,1,8,3165,1,11,100,2,1001,5,2,1002,1,5,
6,1,11000,1,2,30,1,10,46,1,8,221,1,11,11,1,1,2,600,1,10,920,1,8,3315,1,11,100,2,1001,5,2,1002,1,6,
7,1,11000,1,2,30,1,10,46,1,8,221,1,11,11,1,1,2,600,1,10,920,1,8,3315,1,11,100,2,1001,5,2,1002,1,7,
8,1,11000,1,2,30,1,10,46,1,8,221,1,11,11,1,1,2,600,1,10,920,1,8,3315,1,11,100,2,1001,5,2,1002,1,8,
9,1,11000,1,2,40,1,10,56,1,8,231,1,11,11,1,1,2,800,1,10,1120,1,8,3465,1,11,100,2,1001,5,2,1002,1,9,
10,1,11000,1,2,40,1,10,56,1,8,231,1,11,11,1,1,2,800,1,10,1120,1,8,3465,1,11,100,2,1001,5,2,1002,1,10,
11,1,11000,1,2,40,1,10,56,1,8,231,1,11,11,1,1,2,800,1,10,1120,1,8,3465,1,11,100,2,1001,5,2,1002,1,11,
12,1,11000,1,2,50,1,10,66,1,8,241,1,11,11,1,1,2,1000,1,10,1320,1,8,3615,1,11,100,2,1001,5,2,1002,1,12,
13,1,11000,1,2,50,1,10,66,1,8,241,1,11,11,1,1,2,1000,1,10,1320,1,8,3615,1,11,100,2,1001,5,2,1002,1,13,
14,1,11000,1,2,50,1,10,66,1,8,241,1,11,11,1,1,2,1000,1,10,1320,1,8,3615,1,11,100,2,1001,5,2,1002,1,14,
15,1,11000,1,2,60,1,10,76,1,8,251,1,11,11,1,1,2,1200,1,10,1520,1,8,3765,1,11,100,2,1001,5,2,1002,1,15,
16,1,11000,1,2,60,1,10,76,1,8,251,1,11,11,1,1,2,1200,1,10,1520,1,8,3765,1,11,100,2,1001,5,2,1002,1,16,
17,1,11000,1,2,60,1,10,76,1,8,251,1,11,11,1,1,2,1200,1,10,1520,1,8,3765,1,11,100,2,1001,5,2,1002,1,17,
18,1,11000,1,2,70,1,10,86,1,8,261,1,11,11,1,1,2,1400,1,10,1720,1,8,3915,1,11,100,2,1001,5,2,1002,1,18,
19,1,11450,1,2,70,1,10,86,1,8,261,1,11,11,1,1,2,1400,1,10,1720,1,8,3915,1,11,100,2,1001,5,2,1002,1,19,
20,1,12100,1,2,70,1,10,86,1,8,261,1,11,11,1,1,2,1400,1,10,1720,1,8,3915,1,11,100,2,1001,5,2,1002,1,20,
21,1,12650,1,2,80,1,10,96,1,8,271,1,11,11,1,1,2,1600,1,10,1920,1,8,4065,1,11,100,2,1001,5,2,1002,1,21,
22,1,13300,1,2,80,1,10,96,1,8,271,1,11,11,1,1,2,1600,1,10,1920,1,8,4065,1,11,100,2,1001,5,2,1002,1,22,
23,1,14050,1,2,80,1,10,96,1,8,271,1,11,11,1,1,2,1600,1,10,1920,1,8,4065,1,11,100,2,1001,5,2,1002,1,23,
24,1,14900,1,2,90,1,10,106,1,8,281,1,11,11,1,1,2,1800,1,10,2120,1,8,4215,1,11,100,2,1001,5,2,1002,1,24,
25,1,15450,1,2,90,1,10,106,1,8,281,1,11,11,1,1,2,1800,1,10,2120,1,8,4215,1,11,100,2,1001,5,2,1002,1,25,
26,1,16100,1,2,90,1,10,106,1,8,281,1,11,11,1,1,2,1800,1,10,2120,1,8,4215,1,11,100,2,1001,5,2,1002,1,26,
27,1,16850,1,2,100,1,10,116,1,8,291,1,11,11,1,1,2,2000,1,10,2320,1,8,4365,1,11,100,2,1001,5,2,1002,1,27,
28,1,17700,1,2,100,1,10,116,1,8,291,1,11,11,1,1,2,2000,1,10,2320,1,8,4365,1,11,100,2,1001,5,2,1002,1,28,
29,1,18250,1,2,100,1,10,116,1,8,291,1,11,11,1,1,2,2000,1,10,2320,1,8,4365,1,11,100,2,1001,5,2,1002,1,29,
30,1,18900,1,2,110,1,10,126,1,8,301,1,11,11,1,1,2,2200,1,10,2520,1,8,4515,1,11,100,2,1001,5,2,1002,1,30,
31,1,19650,1,2,110,1,10,126,1,8,301,1,11,11,1,1,2,2200,1,10,2520,1,8,4515,1,11,100,2,1001,5,2,1002,1,31,
32,1,20500,1,2,110,1,10,126,1,8,301,1,11,11,1,1,2,2200,1,10,2520,1,8,4515,1,11,100,2,1001,5,2,1002,1,32,
33,1,21050,1,2,120,1,10,136,1,8,311,1,11,11,1,1,2,2400,1,10,2720,1,8,4665,1,11,100,2,1001,5,2,1002,1,33,
34,1,21700,1,2,120,1,10,136,1,8,311,1,11,11,1,1,2,2400,1,10,2720,1,8,4665,1,11,100,2,1001,5,2,1002,1,34,
35,1,22450,1,2,120,1,10,136,1,8,311,1,11,11,1,1,2,2400,1,10,2720,1,8,4665,1,11,100,2,1001,5,2,1002,1,35,
36,1,23300,1,2,130,1,10,146,1,8,321,1,11,11,1,1,2,2600,1,10,2920,1,8,4815,1,11,100,2,1001,5,2,1002,1,36,
37,1,23850,1,2,130,1,10,146,1,8,321,1,11,11,1,1,2,2600,1,10,2920,1,8,4815,1,11,100,2,1001,5,2,1002,1,37,
38,1,24200,1,2,130,1,10,146,1,8,321,1,11,11,1,1,2,2600,1,10,2920,1,8,4815,1,11,100,2,1001,5,2,1002,1,38,
39,1,24200,1,2,140,1,10,156,1,8,331,1,11,11,1,1,2,2800,1,10,3120,1,8,4965,1,11,100,2,1001,5,2,1002,1,39,
40,1,24200,1,2,140,1,10,156,1,8,331,1,11,11,2,1,2,2800,1,10,3120,1,8,4965,1,11,100,2,1001,5,2,1002,1,40,
41,1,24200,1,2,140,1,10,156,1,8,331,1,11,11,2,1,2,2800,1,10,3120,1,8,4965,1,11,100,2,1001,5,2,1002,1,41,
42,1,24200,1,2,150,1,10,166,1,8,341,1,11,11,2,1,2,3000,1,10,3320,1,8,5115,1,11,100,2,1001,5,2,1002,1,42,
43,1,24200,1,2,150,1,10,166,1,8,341,1,11,11,2,1,2,3000,1,10,3320,1,8,5115,1,11,100,2,1001,5,2,1002,1,43,
44,1,24200,1,2,150,1,10,166,1,8,341,1,11,11,2,1,2,3000,1,10,3320,1,8,5115,1,11,100,2,1001,5,2,1002,1,44,
45,1,24200,1,2,160,1,10,176,1,8,351,1,11,11,3,1,2,3200,1,10,3520,1,8,5265,1,11,100,2,1001,5,2,1002,1,45,
46,1,24200,1,2,160,1,10,176,1,8,351,1,11,11,3,1,2,3200,1,10,3520,1,8,5265,1,11,100,2,1001,5,2,1002,1,46,
47,1,24200,1,2,160,1,10,176,1,8,351,1,11,11,3,1,2,3200,1,10,3520,1,8,5265,1,11,100,2,1001,5,2,1002,1,47,
48,1,24200,1,2,170,1,10,186,1,8,361,1,11,11,3,1,2,3400,1,10,3720,1,8,5415,1,11,100,2,1001,5,2,1002,1,48,
49,1,24200,1,2,170,1,10,186,1,8,361,1,11,11,3,1,2,3400,1,10,3720,1,8,5415,1,11,100,2,1001,5,2,1002,1,49,
50,1,24200,1,2,170,1,10,186,1,8,361,1,11,11,3,1,2,3400,1,10,3720,1,8,5415,1,11,100,2,1001,5,2,1002,1,50,
51,1,24200,1,2,180,1,10,196,1,8,371,1,11,11,3,1,2,3600,1,10,3920,1,8,5565,1,11,100,2,1001,5,2,1002,1,51,
52,1,24200,1,2,180,1,10,196,1,8,371,1,11,11,3,1,2,3600,1,10,3920,1,8,5565,1,11,100,2,1001,5,2,1002,1,52,
53,1,24200,1,2,180,1,10,196,1,8,371,1,11,11,3,1,2,3600,1,10,3920,1,8,5565,1,11,100,2,1001,5,2,1002,1,53,
54,1,24200,1,2,190,1,10,206,1,8,381,1,11,11,3,1,2,3800,1,10,4120,1,8,5715,1,11,100,2,1001,5,2,1002,1,54,
55,1,24200,1,2,190,1,10,206,1,8,381,1,11,11,3,1,2,3800,1,10,4120,1,8,5715,1,11,100,2,1001,5,2,1002,1,55,
56,1,24200,1,2,190,1,10,206,1,8,381,1,11,11,3,1,2,3800,1,10,4120,1,8,5715,1,11,100,2,1001,5,2,1002,1,56,
57,1,24200,1,2,200,1,10,216,1,8,391,1,11,11,3,1,2,4000,1,10,4320,1,8,5865,1,11,100,2,1001,5,2,1002,1,57,
58,1,24200,1,2,200,1,10,216,1,8,391,1,11,11,3,1,2,4000,1,10,4320,1,8,5865,1,11,100,2,1001,5,2,1002,1,58,
59,1,24200,1,2,200,1,10,216,1,8,391,1,11,11,3,1,2,4000,1,10,4320,1,8,5865,1,11,100,2,1001,5,2,1002,1,59,
60,1,24200,1,2,210,1,10,226,1,8,401,1,11,11,4,1,2,4200,1,10,4520,1,8,6015,1,11,100,2,1001,5,2,1002,1,60,
61,1,24200,1,2,210,1,10,226,1,8,401,1,11,11,4,1,2,4200,1,10,4520,1,8,6015,1,11,100,2,1001,5,2,1002,1,61,
62,1,24200,1,2,210,1,10,226,1,8,401,1,11,11,4,1,2,4200,1,10,4520,1,8,6015,1,11,100,2,1001,5,2,1002,1,62,
63,1,24200,1,2,220,1,10,236,1,8,411,1,11,11,4,1,2,4400,1,10,4720,1,8,6165,1,11,100,2,1001,5,2,1002,1,63,
64,1,24200,1,2,220,1,10,236,1,8,411,1,11,11,4,1,2,4400,1,10,4720,1,8,6165,1,11,100,2,1001,5,2,1002,1,64,
65,1,24200,1,2,220,1,10,236,1,8,411,1,11,11,4,1,2,4400,1,10,4720,1,8,6165,1,11,100,2,1001,5,2,1002,1,65,
66,1,24200,1,2,230,1,10,246,1,8,421,1,11,11,4,1,2,4600,1,10,4920,1,8,6315,1,11,100,2,1001,5,2,1002,1,66,
67,1,24200,1,2,230,1,10,246,1,8,421,1,11,11,4,1,2,4600,1,10,4920,1,8,6315,1,11,100,2,1001,5,2,1002,1,67,
68,1,24200,1,2,230,1,10,246,1,8,421,1,11,11,4,1,2,4600,1,10,4920,1,8,6315,1,11,100,2,1001,5,2,1002,1,68,
69,1,24200,1,2,240,1,10,256,1,8,431,1,11,11,4,1,2,4800,1,10,5120,1,8,6465,1,11,100,2,1001,5,2,1002,1,69,
70,1,24200,1,2,240,1,10,256,1,8,431,1,11,11,4,1,2,4800,1,10,5120,1,8,6465,1,11,100,2,1001,5,2,1002,1,70,
71,1,24200,1,2,240,1,10,256,1,8,431,1,11,11,4,1,2,4800,1,10,5120,1,8,6465,1,11,100,2,1001,5,2,1002,1,71,
72,1,24200,1,2,250,1,10,266,1,8,441,1,11,11,4,1,2,5000,1,10,5320,1,8,6615,1,11,100,2,1001,5,2,1002,1,72,
73,1,24200,1,2,250,1,10,266,1,8,441,1,11,11,4,1,2,5000,1,10,5320,1,8,6615,1,11,100,2,1001,5,2,1002,1,73,
74,1,24200,1,2,250,1,10,266,1,8,441,1,11,11,4,1,2,5000,1,10,5320,1,8,6615,1,11,100,2,1001,5,2,1002,1,74,
75,1,24200,1,2,260,1,10,276,1,8,451,1,11,11,4,1,2,5200,1,10,5520,1,8,6765,1,11,100,2,1001,5,2,1002,1,75,
76,23,24200,1,2,260,1,10,276,1,8,451,1,11,11,4,1,2,5200,1,10,5520,1,8,6765,1,11,100,2,1001,5,2,1002,1,76,
77,23,24200,1,2,260,1,10,276,1,8,451,1,11,11,4,1,2,5200,1,10,5520,1,8,6765,1,11,100,2,1001,5,2,1002,1,77,
78,23,24200,1,2,270,1,10,286,1,8,461,1,11,11,4,1,2,5400,1,10,5720,1,8,6915,1,11,100,2,1001,5,2,1002,1,78,
79,23,24200,1,2,270,1,10,286,1,8,461,1,11,11,4,1,2,5400,1,10,5720,1,8,6915,1,11,100,2,1001,5,2,1002,1,79,
80,23,24200,1,2,270,1,10,286,1,8,461,1,11,11,4,1,2,5400,1,10,5720,1,8,6915,1,11,100,2,1001,5,2,1002,1,80,
81,23,24200,1,2,280,1,10,296,1,8,471,1,11,11,4,1,2,5600,1,10,5920,1,8,7065,1,11,100,2,1001,5,2,1002,1,81,
82,25,24200,1,2,280,1,10,296,1,8,471,1,11,11,4,1,2,5600,1,10,5920,1,8,7065,1,11,100,2,1001,5,2,1002,1,82,
83,25,24200,1,2,280,1,10,296,1,8,471,1,11,11,4,1,2,5600,1,10,5920,1,8,7065,1,11,100,2,1001,5,2,1002,1,83,
84,25,24200,1,2,290,1,10,306,1,8,481,1,11,11,4,1,2,5800,1,10,6120,1,8,7215,1,11,100,2,1001,5,2,1002,1,84,
85,25,24200,1,2,290,1,10,306,1,8,481,1,11,11,4,1,2,5800,1,10,6120,1,8,7215,1,11,100,2,1001,5,2,1002,1,85,
86,25,24200,1,2,290,1,10,306,1,8,481,1,11,11,4,1,2,5800,1,10,6120,1,8,7215,1,11,100,2,1001,5,2,1002,1,86,
87,25,24200,1,2,300,1,10,316,1,8,491,1,11,11,4,1,2,6000,1,10,6320,1,8,7365,1,11,100,2,1001,5,2,1002,1,87,
88,27,24200,1,2,300,1,10,316,1,8,491,1,11,11,4,1,2,6000,1,10,6320,1,8,7365,1,11,100,2,1001,5,2,1002,1,88,
89,27,24200,1,2,300,1,10,316,1,8,491,1,11,11,4,1,2,6000,1,10,6320,1,8,7365,1,11,100,2,1001,5,2,1002,1,89,
90,27,24200,1,2,310,1,10,326,1,8,501,1,11,11,5,1,2,6200,1,10,6520,1,8,7515,1,11,100,2,1001,5,2,1002,1,90,
91,27,24200,1,2,310,1,10,326,1,8,501,1,11,11,5,1,2,6200,1,10,6520,1,8,7515,1,11,100,2,1001,5,2,1002,1,91,
92,27,24200,1,2,310,1,10,326,1,8,501,1,11,11,5,1,2,6200,1,10,6520,1,8,7515,1,11,100,2,1001,5,2,1002,1,92,
93,27,24200,1,2,320,1,10,336,1,8,511,1,11,11,5,1,2,6400,1,10,6720,1,8,7665,1,11,100,2,1001,5,2,1002,1,93,
94,29,24200,1,2,320,1,10,336,1,8,511,1,11,11,5,1,2,6400,1,10,6720,1,8,7665,1,11,100,2,1001,5,2,1002,1,94,
95,29,24200,1,2,320,1,10,336,1,8,511,1,11,11,5,1,2,6400,1,10,6720,1,8,7665,1,11,100,2,1001,5,2,1002,1,95,
96,29,24200,1,2,330,1,10,346,1,8,521,1,11,11,5,1,2,6600,1,10,6920,1,8,7815,1,11,100,2,1001,5,2,1002,1,96,
97,29,24200,1,2,330,1,10,346,1,8,521,1,11,11,5,1,2,6600,1,10,6920,1,8,7815,1,11,100,2,1001,5,2,1002,1,97,
98,29,24200,1,2,330,1,10,346,1,8,521,1,11,11,5,1,2,6600,1,10,6920,1,8,7815,1,11,100,2,1001,5,2,1002,1,98,
99,29,24200,1,2,340,1,10,356,1,8,531,1,11,11,5,1,2,6800,1,10,7120,1,8,7965,1,11,100,2,1001,5,2,1002,1,99,
100,31,24200,1,2,340,1,10,356,1,8,531,1,11,11,5,1,2,6800,1,10,7120,1,8,7965,1,11,100,2,1001,10,2,1002,1,100,
101,31,24200,1,2,340,1,10,356,1,8,531,1,11,12,5,1,2,6800,1,10,7120,1,8,7965,1,11,200,2,1001,10,2,1002,1,101,
102,31,24200,1,2,350,1,10,366,1,8,541,1,11,12,5,1,2,7000,1,10,7320,1,8,8115,1,11,200,2,1001,10,2,1002,1,102,
103,31,24200,1,2,350,1,10,366,1,8,541,1,11,12,5,1,2,7000,1,10,7320,1,8,8115,1,11,200,2,1001,10,2,1002,1,103,
104,31,24200,1,2,350,1,10,366,1,8,541,1,11,12,5,1,2,7000,1,10,7320,1,8,8115,1,11,200,2,1001,10,2,1002,1,104,
105,31,24200,1,2,360,1,10,376,1,8,551,1,11,12,5,1,2,7200,1,10,7520,1,8,8265,1,11,200,2,1001,10,2,1002,1,105,
106,33,24200,1,2,360,1,10,376,1,8,551,1,11,12,5,1,2,7200,1,10,7520,1,8,8265,1,11,200,2,1001,10,2,1002,1,106,
107,33,24200,1,2,360,1,10,376,1,8,551,1,11,12,5,1,2,7200,1,10,7520,1,8,8265,1,11,200,2,1001,10,2,1002,1,107,
108,33,24200,1,2,370,1,10,386,1,8,561,1,11,12,5,1,2,7400,1,10,7720,1,8,8415,1,11,200,2,1001,10,2,1002,1,108,
109,33,24200,1,2,370,1,10,386,1,8,561,1,11,12,5,1,2,7400,1,10,7720,1,8,8415,1,11,200,2,1001,10,2,1002,1,109,
110,33,24200,1,2,370,1,10,386,1,8,561,1,11,12,5,1,2,7400,1,10,7720,1,8,8415,1,11,200,2,1001,10,2,1002,1,110,
111,33,24200,1,2,380,1,10,396,1,8,571,1,11,12,5,1,2,7600,1,10,7920,1,8,8565,1,11,200,2,1001,10,2,1002,1,111,
112,35,24200,1,2,380,1,10,396,1,8,571,1,11,12,5,1,2,7600,1,10,7920,1,8,8565,1,11,200,2,1001,10,2,1002,1,112,
113,35,24200,1,2,380,1,10,396,1,8,571,1,11,12,5,1,2,7600,1,10,7920,1,8,8565,1,11,200,2,1001,10,2,1002,1,113,
114,35,24200,1,2,390,1,10,406,1,8,581,1,11,12,5,1,2,7800,1,10,8120,1,8,8715,1,11,200,2,1001,10,2,1002,1,114,
115,35,24200,1,2,390,1,10,406,1,8,581,1,11,12,5,1,2,7800,1,10,8120,1,8,8715,1,11,200,2,1001,10,2,1002,1,115,
116,35,24200,1,2,390,1,10,406,1,8,581,1,11,12,5,1,2,7800,1,10,8120,1,8,8715,1,11,200,2,1001,10,2,1002,1,116,
117,35,24200,1,2,400,1,10,416,1,8,591,1,11,12,5,1,2,8000,1,10,8320,1,8,8865,1,11,200,2,1001,10,2,1002,1,117,
118,37,24200,1,2,400,1,10,416,1,8,591,1,11,12,5,1,2,8000,1,10,8320,1,8,8865,1,11,200,2,1001,10,2,1002,1,118,
119,37,24200,1,2,400,1,10,416,1,8,591,1,11,12,5,1,2,8000,1,10,8320,1,8,8865,1,11,200,2,1001,10,2,1002,1,119,
120,37,24200,1,2,410,1,10,426,1,8,601,1,11,12,6,1,2,8200,1,10,8520,1,8,9015,1,11,200,2,1001,10,2,1002,1,120,
121,37,24200,1,2,410,1,10,426,1,8,601,1,11,12,6,1,2,8200,1,10,8520,1,8,9015,1,11,200,2,1001,10,2,1002,1,121,
122,37,24200,1,2,410,1,10,426,1,8,601,1,11,12,6,1,2,8200,1,10,8520,1,8,9015,1,11,200,2,1001,10,2,1002,1,122,
123,37,24200,1,2,420,1,10,436,1,8,611,1,11,12,6,1,2,8400,1,10,8720,1,8,9165,1,11,200,2,1001,10,2,1002,1,123,
124,39,24200,1,2,420,1,10,436,1,8,611,1,11,12,6,1,2,8400,1,10,8720,1,8,9165,1,11,200,2,1001,10,2,1002,1,124,
125,39,24200,1,2,420,1,10,436,1,8,611,1,11,12,6,1,2,8400,1,10,8720,1,8,9165,1,11,200,2,1001,10,2,1002,1,125,
126,39,24200,1,2,430,1,10,446,1,8,621,1,11,12,6,1,2,8600,1,10,8920,1,8,9315,1,11,200,2,1001,10,2,1002,1,126,
127,39,24200,1,2,430,1,10,446,1,8,621,1,11,12,6,1,2,8600,1,10,8920,1,8,9315,1,11,200,2,1001,10,2,1002,1,127,
128,39,24200,1,2,430,1,10,446,1,8,621,1,11,12,6,1,2,8600,1,10,8920,1,8,9315,1,11,200,2,1001,10,2,1002,1,128,
129,39,24200,1,2,440,1,10,456,1,8,631,1,11,12,6,1,2,8800,1,10,9120,1,8,9465,1,11,200,2,1001,10,2,1002,1,129,
130,41,24200,1,2,440,1,10,456,1,8,631,1,11,12,6,1,2,8800,1,10,9120,1,8,9465,1,11,200,2,1001,10,2,1002,1,130,
131,41,24200,1,2,440,1,10,456,1,8,631,1,11,12,6,1,2,8800,1,10,9120,1,8,9465,1,11,200,2,1001,10,2,1002,1,131,
132,41,24200,1,2,450,1,10,466,1,8,641,1,11,12,6,1,2,9000,1,10,9320,1,8,9615,1,11,200,2,1001,10,2,1002,1,132,
133,41,24200,1,2,450,1,10,466,1,8,641,1,11,12,6,1,2,9000,1,10,9320,1,8,9615,1,11,200,2,1001,10,2,1002,1,133,
134,41,24200,1,2,450,1,10,466,1,8,641,1,11,12,6,1,2,9000,1,10,9320,1,8,9615,1,11,200,2,1001,10,2,1002,1,134,
135,41,24200,1,2,460,1,10,476,1,8,651,1,11,12,6,1,2,9200,1,10,9520,1,8,9765,1,11,200,2,1001,10,2,1002,1,135,
136,43,24200,1,2,460,1,10,476,1,8,651,1,11,12,6,1,2,9200,1,10,9520,1,8,9765,1,11,200,2,1001,10,2,1002,1,136,
137,43,24200,1,2,460,1,10,476,1,8,651,1,11,12,6,1,2,9200,1,10,9520,1,8,9765,1,11,200,2,1001,10,2,1002,1,137,
138,43,24200,1,2,470,1,10,486,1,8,661,1,11,12,6,1,2,9400,1,10,9720,1,8,9915,1,11,200,2,1001,10,2,1002,1,138,
