id,name,group,odds,openLevel,quality,six2five,rewardItems-type-1,rewardItems-id-1,rewardItems-value-1,times,cost,activityCost,star,nation,nation2,slot,
1101,s==4|豪族资助,1,812,12,1,,1,9,10,3600,2200,1980,2,1,,2,
1102,s==4|偶遇名士,1,792,12,1,,2,1002,2,3600,2200,1980,2,2,,2,
1103,s==4|将星出世,1,792,12,1,,2,3001,22,3600,2200,1980,2,3,,2,
1104,s==4|仙人授武,1,792,12,1,,2,1005,1,3600,2200,1980,2,1,,2,
1105,s==4|夺宝奇遇,1,772,12,1,,2,1007,1,3600,2200,1980,2,2,,2,
1201,s==4|豪族资助,1,1820,12,2,,1,9,30,7200,2200,1980,3,2,,2,
1202,s==4|偶遇名士,1,1220,12,2,,2,1002,4,7200,2200,1980,3,2,,2,
1203,s==4|将星出世,1,1020,12,2,,2,3001,44,7200,2200,1980,3,3,,2,
1204,s==4|仙人授武,1,1820,12,2,,2,1005,2,7200,2200,1980,3,1,,2,
1205,s==4|夺宝奇遇,1,1220,12,2,,2,1007,2,7200,2200,1980,3,2,,2,
1301,s==4|豪族资助,1,2056,12,3,,1,9,60,10800,2200,1980,3,3,1,3,
1302,s==4|偶遇名士,1,2056,12,3,,2,1002,7,10800,2200,1980,3,1,2,3,
1303,s==4|将星出世,1,1156,12,3,,2,3002,11,10800,2200,1980,3,2,3,3,
1304,s==4|祥瑞降临,1,1156,12,3,,2,3006,11,10800,2200,1980,3,3,1,3,
1305,s==4|天狗犯日,1,1156,12,3,,2,3007,11,10800,2200,1980,3,1,2,3,
1306,s==4|桃源结义,1,1156,12,3,,2,3004,11,10800,2200,1980,3,2,3,3,
1307,s==4|铜雀赋诗,1,1156,12,3,,2,3003,11,10800,2200,1980,3,3,1,3,
1308,s==4|长江奇景,1,1156,12,3,,2,3005,11,10800,2200,1980,3,1,2,3,
1309,s==4|仙人授武,1,1836,12,3,,2,1005,4,10800,2200,1980,3,2,3,3,
1310,s==4|夺宝奇遇,1,800,12,3,,2,1007,3,10800,2200,1980,3,3,1,3,
1401,s==4|豪族资助,1,60,12,4,,1,9,120,14400,2200,1980,4,3,4,3,
1402,s==4|茅庐三顾,1,50,12,4,,2,1003,1,14400,2200,1980,4,1,3,3,
1403,s==4|将星出世,1,20,70,4,,2,3008,11,14400,2200,1980,4,3,4,3,
1404,s==4|祥瑞降临,1,35,70,4,,2,3012,11,14400,2200,1980,4,2,1,3,
1405,s==4|天狗犯日,1,35,70,4,,2,3013,11,14400,2200,1980,4,4,5,3,
1406,s==4|桃源结义,1,35,12,4,,2,3010,11,14400,2200,1980,4,3,4,3,
1407,s==4|铜雀赋诗,1,35,12,4,,2,3009,11,14400,2200,1980,4,2,1,3,
1408,s==4|长江奇景,1,35,12,4,,2,3011,11,14400,2200,1980,4,4,5,3,
