id,freeNum,vipLv,worldLevel,costs,accelerate,
0,1,0,,50|50|50,7200,
1,3,0,,50|50|50|100|100|100|200|200,7200,
2,3,0,,50|50|50|100|100|100|200|200|200|200|200,7200,
3,3,0,,50|50|50|100|100|100|200|200,7200,
401,0,1,10,100|100|100,7200,
402,0,2,10,100|100|100,7200,
403,0,3,9,100|100|100|100,7200,
404,0,4,9,100|100|100|100,7200,
405,0,5,8,100|100|100|100|100,7200,
406,0,6,8,100|100|100|100|100,7200,
407,0,7,7,100|100|100|100|100|100,7200,
408,0,8,7,100|100|100|100|100|100,7200,
409,0,9,6,100|100|100|100|100|100|100,7200,
410,0,10,6,100|100|100|100|100|100|100,7200,
411,0,11,5,100|100|100|100|100|100|100|100,7200,
412,0,12,5,100|100|100|100|100|100|100|100,7200,
413,0,13,4,100|100|100|100|100|100|100|100|100,7200,
414,0,14,4,100|100|100|100|100|100|100|100|100,7200,
415,0,15,3,100|100|100|100|100|100|100|100|100|100,7200,
416,0,16,3,100|100|100|100|100|100|100|100|100|100,7200,
417,0,17,3,100|100|100|100|100|100|100|100|100|100|100,7200,
418,0,18,3,100|100|100|100|100|100|100|100|100|100|100,7200,
