id,taskName,taskDesc,taskType,targets-targetType-1,targets-targetId-1,targets-targetValue-1,targets-targetType-2,targets-targetId-2,targets-targetValue-2,targets-targetType-3,targets-targetId-3,targets-targetValue-3,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1001,,s==43|Liên minh đối trận tích lũy sát cánh 5 nhân,1,341,0,5,0,0,0,0,0,0,1,27,2000,,,,,,,
1002,,s==44|Liên minh đối trận tích lũy sát cánh 10 nhân,1,341,0,10,0,0,0,0,0,0,1,27,2200,,,,,,,
1003,,s==44|Liên minh đối trận tích lũy sát cánh 15 nhân,1,341,0,15,0,0,0,0,0,0,1,27,2400,,,,,,,
1004,,s==44|Liên minh đối trận tích lũy sát cánh 20 nhân,1,341,0,20,0,0,0,0,0,0,1,27,2600,,,,,,,
1005,,s==44|Liên minh đối trận tích lũy sát cánh 25 nhân,1,341,0,25,0,0,0,0,0,0,1,27,2800,,,,,,,
1006,,s==44|Liên minh đối trận tích lũy sát cánh 30 nhân,1,341,0,30,0,0,0,0,0,0,1,27,3000,,,,,,,
1007,,s==44|Liên minh đối trận tích lũy sát cánh 35 nhân,1,341,0,35,0,0,0,0,0,0,1,27,3200,,,,,,,
1008,,s==44|Liên minh đối trận tích lũy sát cánh 40 nhân,1,341,0,40,0,0,0,0,0,0,1,27,3400,,,,,,,
1009,,s==44|Liên minh đối trận tích lũy sát cánh 45 nhân,1,341,0,45,0,0,0,0,0,0,1,27,3600,,,,,,,
1010,,s==44|Liên minh đối trận tích lũy sát cánh 50 nhân,1,341,0,50,0,0,0,0,0,0,1,27,3800,,,,,,,
1011,,s==44|Liên minh đối trận tích lũy sát cánh 55 nhân,1,341,0,55,0,0,0,0,0,0,1,27,4000,,,,,,,
1012,,s==44|Liên minh đối trận tích lũy sát cánh 60 nhân,1,341,0,60,0,0,0,0,0,0,1,27,4200,,,,,,,
1013,,s==44|Liên minh đối trận tích lũy sát cánh 65 nhân,1,341,0,65,0,0,0,0,0,0,1,27,4400,,,,,,,
1014,,s==44|Liên minh đối trận tích lũy sát cánh 70 nhân,1,341,0,70,0,0,0,0,0,0,1,27,4600,,,,,,,
1015,,s==44|Liên minh đối trận tích lũy sát cánh 75 nhân,1,341,0,75,0,0,0,0,0,0,1,27,4800,,,,,,,
1016,,s==44|Liên minh đối trận tích lũy sát cánh 80 nhân,1,341,0,80,0,0,0,0,0,0,1,27,5000,,,,,,,
1017,,s==44|Liên minh đối trận tích lũy sát cánh 85 nhân,1,341,0,85,0,0,0,0,0,0,1,27,5200,,,,,,,
1018,,s==44|Liên minh đối trận tích lũy sát cánh 90 nhân,1,341,0,90,0,0,0,0,0,0,1,27,5400,,,,,,,
1019,,s==44|Liên minh đối trận tích lũy sát cánh 95 nhân,1,341,0,95,0,0,0,0,0,0,1,27,5600,,,,,,,
1020,,s==45|Liên minh đối trận tích lũy sát cánh 100 nhân,1,341,0,100,0,0,0,0,0,0,1,27,5800,,,,,,,
1021,,s==45|Liên minh đối trận tích lũy sát cánh 105 nhân,1,341,0,105,0,0,0,0,0,0,1,27,6000,,,,,,,
1022,,s==45|Liên minh đối trận tích lũy sát cánh 110 nhân,1,341,0,110,0,0,0,0,0,0,1,27,6200,,,,,,,
1023,,s==45|Liên minh đối trận tích lũy sát cánh 115 nhân,1,341,0,115,0,0,0,0,0,0,1,27,6400,,,,,,,
1024,,s==45|Liên minh đối trận tích lũy sát cánh 120 nhân,1,341,0,120,0,0,0,0,0,0,1,27,6600,,,,,,,
1025,,s==45|Liên minh đối trận tích lũy sát cánh 125 nhân,1,341,0,125,0,0,0,0,0,0,1,27,6800,,,,,,,
1026,,s==45|Liên minh đối trận tích lũy sát cánh 130 nhân,1,341,0,130,0,0,0,0,0,0,1,27,7000,,,,,,,
1027,,s==45|Liên minh đối trận tích lũy sát cánh 135 nhân,1,341,0,135,0,0,0,0,0,0,1,27,7200,,,,,,,
1028,,s==45|Liên minh đối trận tích lũy sát cánh 140 nhân,1,341,0,140,0,0,0,0,0,0,1,27,7400,,,,,,,
1029,,s==45|Liên minh đối trận tích lũy sát cánh 145 nhân,1,341,0,145,0,0,0,0,0,0,1,27,7600,,,,,,,
1030,,s==45|Liên minh đối trận tích lũy sát cánh 150 nhân,1,341,0,150,0,0,0,0,0,0,1,27,7800,,,,,,,
1031,,s==45|Liên minh đối trận tích lũy sát cánh 155 nhân,1,341,0,155,0,0,0,0,0,0,1,27,8000,,,,,,,
1032,,s==45|Liên minh đối trận tích lũy sát cánh 160 nhân,1,341,0,160,0,0,0,0,0,0,1,27,8200,,,,,,,
1033,,s==45|Liên minh đối trận tích lũy sát cánh 165 nhân,1,341,0,165,0,0,0,0,0,0,1,27,8400,,,,,,,
1034,,s==45|Liên minh đối trận tích lũy sát cánh 170 nhân,1,341,0,170,0,0,0,0,0,0,1,27,8600,,,,,,,
1035,,s==45|Liên minh đối trận tích lũy sát cánh 175 nhân,1,341,0,175,0,0,0,0,0,0,1,27,8800,,,,,,,
1036,,s==45|Liên minh đối trận tích lũy sát cánh 180 nhân,1,341,0,180,0,0,0,0,0,0,1,27,9000,,,,,,,
1037,,s==45|Liên minh đối trận tích lũy sát cánh 185 nhân,1,341,0,185,0,0,0,0,0,0,1,27,9200,,,,,,,
