chapterId,freeClick,lowClick,highClick,vipFree%1,vipFree%2,vipFree%3,vipFree%4,vipFree%5,vipFree%6,vipFree%7,vipFree%8,vipFree%9,vipFree%10,vipFree%11,vipFree%12,vipFree%13,vipFree%14,vipFree%15,vipFree%16,vipFree%17,vipFree%18,vipFree%19,vipFree%20,vipLow%1,vipLow%2,vipLow%3,vipLow%4,vipLow%5,vipLow%6,vipLow%7,vipLow%8,vipLow%9,vipLow%10,vipLow%11,vipLow%12,vipLow%13,vipLow%14,vipLow%15,vipLow%16,vipLow%17,vipLow%18,vipLow%19,vipLow%20,vipHigh%1,vipHigh%2,vipHigh%3,vipHigh%4,vipHigh%5,vipHigh%6,vipHigh%7,vipHigh%8,vipHigh%9,vipHigh%10,vipHigh%11,vipHigh%12,vipHigh%13,vipHigh%14,vipHigh%15,vipHigh%16,vipHigh%17,vipHigh%18,vipHigh%19,vipHigh%20,
1,12000,24000,60000,14400,15600,16800,19200,21600,24000,26400,28800,31200,33600,36000,38400,40800,43200,45600,48000,50400,52800,55200,57600,28800,31200,33600,38400,43200,48000,52800,57600,62400,67200,72000,76800,81600,86400,91200,96000,100800,105600,110400,115200,72000,78000,84000,96000,108000,120000,132000,144000,156000,168000,180000,192000,204000,216000,228000,240000,252000,264000,276000,288000,
2,12200,24400,61000,14640,15860,17080,19520,21960,24400,26840,29280,31720,34160,36600,39040,41480,43920,46360,48800,51240,53680,56120,58560,29280,31720,34160,39040,43920,48800,53680,58560,63440,68320,73200,78080,82960,87840,92720,97600,102480,107360,112240,117120,73200,79300,85400,97600,109800,122000,134200,146400,158600,170800,183000,195200,207400,219600,231800,244000,256200,268400,280600,292800,
3,12400,24800,62000,14880,16120,17360,19840,22320,24800,27280,29760,32240,34720,37200,39680,42160,44640,47120,49600,52080,54560,57040,59520,29760,32240,34720,39680,44640,49600,54560,59520,64480,69440,74400,79360,84320,89280,94240,99200,104160,109120,114080,119040,74400,80600,86800,99200,111600,124000,136400,148800,161200,173600,186000,198400,210800,223200,235600,248000,260400,272800,285200,297600,
4,12600,25200,63000,15120,16380,17640,20160,22680,25200,27720,30240,32760,35280,37800,40320,42840,45360,47880,50400,52920,55440,57960,60480,30240,32760,35280,40320,45360,50400,55440,60480,65520,70560,75600,80640,85680,90720,95760,100800,105840,110880,115920,120960,75600,81900,88200,100800,113400,126000,138600,151200,163800,176400,189000,201600,214200,226800,239400,252000,264600,277200,289800,302400,
5,12800,25600,64000,15360,16640,17920,20480,23040,25600,28160,30720,33280,35840,38400,40960,43520,46080,48640,51200,53760,56320,58880,61440,30720,33280,35840,40960,46080,51200,56320,61440,66560,71680,76800,81920,87040,92160,97280,102400,107520,112640,117760,122880,76800,83200,89600,102400,115200,128000,140800,153600,166400,179200,192000,204800,217600,230400,243200,256000,268800,281600,294400,307200,
6,13000,26000,65000,15600,16900,18200,20800,23400,26000,28600,31200,33800,36400,39000,41600,44200,46800,49400,52000,54600,57200,59800,62400,31200,33800,36400,41600,46800,52000,57200,62400,67600,72800,78000,83200,88400,93600,98800,104000,109200,114400,119600,124800,78000,84500,91000,104000,117000,130000,143000,156000,169000,182000,195000,208000,221000,234000,247000,260000,273000,286000,299000,312000,
7,13200,26400,66000,15840,17160,18480,21120,23760,26400,29040,31680,34320,36960,39600,42240,44880,47520,50160,52800,55440,58080,60720,63360,31680,34320,36960,42240,47520,52800,58080,63360,68640,73920,79200,84480,89760,95040,100320,105600,110880,116160,121440,126720,79200,85800,92400,105600,118800,132000,145200,158400,171600,184800,198000,211200,224400,237600,250800,264000,277200,290400,303600,316800,
8,13400,26800,67000,16080,17420,18760,21440,24120,26800,29480,32160,34840,37520,40200,42880,45560,48240,50920,53600,56280,58960,61640,64320,32160,34840,37520,42880,48240,53600,58960,64320,69680,75040,80400,85760,91120,96480,101840,107200,112560,117920,123280,128640,80400,87100,93800,107200,120600,134000,147400,160800,174200,187600,201000,214400,227800,241200,254600,268000,281400,294800,308200,321600,
9,13600,27200,68000,16320,17680,19040,21760,24480,27200,29920,32640,35360,38080,40800,43520,46240,48960,51680,54400,57120,59840,62560,65280,32640,35360,38080,43520,48960,54400,59840,65280,70720,76160,81600,87040,92480,97920,103360,108800,114240,119680,125120,130560,81600,88400,95200,108800,122400,136000,149600,163200,176800,190400,204000,217600,231200,244800,258400,272000,285600,299200,312800,326400,
10,13800,27600,69000,16560,17940,19320,22080,24840,27600,30360,33120,35880,38640,41400,44160,46920,49680,52440,55200,57960,60720,63480,66240,33120,35880,38640,44160,49680,55200,60720,66240,71760,77280,82800,88320,93840,99360,104880,110400,115920,121440,126960,132480,82800,89700,96600,110400,124200,138000,151800,165600,179400,193200,207000,220800,234600,248400,262200,276000,289800,303600,317400,331200,
11,14000,28000,70000,16800,18200,19600,22400,25200,28000,30800,33600,36400,39200,42000,44800,47600,50400,53200,56000,58800,61600,64400,67200,33600,36400,39200,44800,50400,56000,61600,67200,72800,78400,84000,89600,95200,100800,106400,112000,117600,123200,128800,134400,84000,91000,98000,112000,126000,140000,154000,168000,182000,196000,210000,224000,238000,252000,266000,280000,294000,308000,322000,336000,
12,14200,28400,71000,17040,18460,19880,22720,25560,28400,31240,34080,36920,39760,42600,45440,48280,51120,53960,56800,59640,62480,65320,68160,34080,36920,39760,45440,51120,56800,62480,68160,73840,79520,85200,90880,96560,102240,107920,113600,119280,124960,130640,136320,85200,92300,99400,113600,127800,142000,156200,170400,184600,198800,213000,227200,241400,255600,269800,284000,298200,312400,326600,340800,
13,14400,28800,72000,17280,18720,20160,23040,25920,28800,31680,34560,37440,40320,43200,46080,48960,51840,54720,57600,60480,63360,66240,69120,34560,37440,40320,46080,51840,57600,63360,69120,74880,80640,86400,92160,97920,103680,109440,115200,120960,126720,132480,138240,86400,93600,100800,115200,129600,144000,158400,172800,187200,201600,216000,230400,244800,259200,273600,288000,302400,316800,331200,345600,
14,14600,29200,73000,17520,18980,20440,23360,26280,29200,32120,35040,37960,40880,43800,46720,49640,52560,55480,58400,61320,64240,67160,70080,35040,37960,40880,46720,52560,58400,64240,70080,75920,81760,87600,93440,99280,105120,110960,116800,122640,128480,134320,140160,87600,94900,102200,116800,131400,146000,160600,175200,189800,204400,219000,233600,248200,262800,277400,292000,306600,321200,335800,350400,
15,14800,29600,74000,17760,19240,20720,23680,26640,29600,32560,35520,38480,41440,44400,47360,50320,53280,56240,59200,62160,65120,68080,71040,35520,38480,41440,47360,53280,59200,65120,71040,76960,82880,88800,94720,100640,106560,112480,118400,124320,130240,136160,142080,88800,96200,103600,118400,133200,148000,162800,177600,192400,207200,222000,236800,251600,266400,281200,296000,310800,325600,340400,355200,
16,15000,30000,75000,18000,19500,21000,24000,27000,30000,33000,36000,39000,42000,45000,48000,51000,54000,57000,60000,63000,66000,69000,72000,36000,39000,42000,48000,54000,60000,66000,72000,78000,84000,90000,96000,102000,108000,114000,120000,126000,132000,138000,144000,90000,97500,105000,120000,135000,150000,165000,180000,195000,210000,225000,240000,255000,270000,285000,300000,315000,330000,345000,360000,
17,15200,30400,76000,18240,19760,21280,24320,27360,30400,33440,36480,39520,42560,45600,48640,51680,54720,57760,60800,63840,66880,69920,72960,36480,39520,42560,48640,54720,60800,66880,72960,79040,85120,91200,97280,103360,109440,115520,121600,127680,133760,139840,145920,91200,98800,106400,121600,136800,152000,167200,182400,197600,212800,228000,243200,258400,273600,288800,304000,319200,334400,349600,364800,
18,15400,30800,77000,18480,20020,21560,24640,27720,30800,33880,36960,40040,43120,46200,49280,52360,55440,58520,61600,64680,67760,70840,73920,36960,40040,43120,49280,55440,61600,67760,73920,80080,86240,92400,98560,104720,110880,117040,123200,129360,135520,141680,147840,92400,100100,107800,123200,138600,154000,169400,184800,200200,215600,231000,246400,261800,277200,292600,308000,323400,338800,354200,369600,
19,15600,31200,78000,18720,20280,21840,24960,28080,31200,34320,37440,40560,43680,46800,49920,53040,56160,59280,62400,65520,68640,71760,74880,37440,40560,43680,49920,56160,62400,68640,74880,81120,87360,93600,99840,106080,112320,118560,124800,131040,137280,143520,149760,93600,101400,109200,124800,140400,156000,171600,187200,202800,218400,234000,249600,265200,280800,296400,312000,327600,343200,358800,374400,
20,15800,31600,79000,18960,20540,22120,25280,28440,31600,34760,37920,41080,44240,47400,50560,53720,56880,60040,63200,66360,69520,72680,75840,37920,41080,44240,50560,56880,63200,69520,75840,82160,88480,94800,101120,107440,113760,120080,126400,132720,139040,145360,151680,94800,102700,110600,126400,142200,158000,173800,189600,205400,221200,237000,252800,268600,284400,300200,316000,331800,347600,363400,379200,
21,16000,32000,80000,19200,20800,22400,25600,28800,32000,35200,38400,41600,44800,48000,51200,54400,57600,60800,64000,67200,70400,73600,76800,38400,41600,44800,51200,57600,64000,70400,76800,83200,89600,96000,102400,108800,115200,121600,128000,134400,140800,147200,153600,96000,104000,112000,128000,144000,160000,176000,192000,208000,224000,240000,256000,272000,288000,304000,320000,336000,352000,368000,384000,
22,16200,32400,81000,19440,21060,22680,25920,29160,32400,35640,38880,42120,45360,48600,51840,55080,58320,61560,64800,68040,71280,74520,77760,38880,42120,45360,51840,58320,64800,71280,77760,84240,90720,97200,103680,110160,116640,123120,129600,136080,142560,149040,155520,97200,105300,113400,129600,145800,162000,178200,194400,210600,226800,243000,259200,275400,291600,307800,324000,340200,356400,372600,388800,
23,16400,32800,82000,19680,21320,22960,26240,29520,32800,36080,39360,42640,45920,49200,52480,55760,59040,62320,65600,68880,72160,75440,78720,39360,42640,45920,52480,59040,65600,72160,78720,85280,91840,98400,104960,111520,118080,124640,131200,137760,144320,150880,157440,98400,106600,114800,131200,147600,164000,180400,196800,213200,229600,246000,262400,278800,295200,311600,328000,344400,360800,377200,393600,
24,16600,33200,83000,19920,21580,23240,26560,29880,33200,36520,39840,43160,46480,49800,53120,56440,59760,63080,66400,69720,73040,76360,79680,39840,43160,46480,53120,59760,66400,73040,79680,86320,92960,99600,106240,112880,119520,126160,132800,139440,146080,152720,159360,99600,107900,116200,132800,149400,166000,182600,199200,215800,232400,249000,265600,282200,298800,315400,332000,348600,365200,381800,398400,
25,16800,33600,84000,20160,21840,23520,26880,30240,33600,36960,40320,43680,47040,50400,53760,57120,60480,63840,67200,70560,73920,77280,80640,40320,43680,47040,53760,60480,67200,73920,80640,87360,94080,100800,107520,114240,120960,127680,134400,141120,147840,154560,161280,100800,109200,117600,134400,151200,168000,184800,201600,218400,235200,252000,268800,285600,302400,319200,336000,352800,369600,386400,403200,
26,17000,34000,85000,20400,22100,23800,27200,30600,34000,37400,40800,44200,47600,51000,54400,57800,61200,64600,68000,71400,74800,78200,81600,40800,44200,47600,54400,61200,68000,74800,81600,88400,95200,102000,108800,115600,122400,129200,136000,142800,149600,156400,163200,102000,110500,119000,136000,153000,170000,187000,204000,221000,238000,255000,272000,289000,306000,323000,340000,357000,374000,391000,408000,
27,17200,34400,86000,20640,22360,24080,27520,30960,34400,37840,41280,44720,48160,51600,55040,58480,61920,65360,68800,72240,75680,79120,82560,41280,44720,48160,55040,61920,68800,75680,82560,89440,96320,103200,110080,116960,123840,130720,137600,144480,151360,158240,165120,103200,111800,120400,137600,154800,172000,189200,206400,223600,240800,258000,275200,292400,309600,326800,344000,361200,378400,395600,412800,
28,17400,34800,87000,20880,22620,24360,27840,31320,34800,38280,41760,45240,48720,52200,55680,59160,62640,66120,69600,73080,76560,80040,83520,41760,45240,48720,55680,62640,69600,76560,83520,90480,97440,104400,111360,118320,125280,132240,139200,146160,153120,160080,167040,104400,113100,121800,139200,156600,174000,191400,208800,226200,243600,261000,278400,295800,313200,330600,348000,365400,382800,400200,417600,
29,17600,35200,88000,21120,22880,24640,28160,31680,35200,38720,42240,45760,49280,52800,56320,59840,63360,66880,70400,73920,77440,80960,84480,42240,45760,49280,56320,63360,70400,77440,84480,91520,98560,105600,112640,119680,126720,133760,140800,147840,154880,161920,168960,105600,114400,123200,140800,158400,176000,193600,211200,228800,246400,264000,281600,299200,316800,334400,352000,369600,387200,404800,422400,
30,17800,35600,89000,21360,23140,24920,28480,32040,35600,39160,42720,46280,49840,53400,56960,60520,64080,67640,71200,74760,78320,81880,85440,42720,46280,49840,56960,64080,71200,78320,85440,92560,99680,106800,113920,121040,128160,135280,142400,149520,156640,163760,170880,106800,115700,124600,142400,160200,178000,195800,213600,231400,249200,267000,284800,302600,320400,338200,356000,373800,391600,409400,427200,
31,18000,36000,90000,21600,23400,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400,43200,46800,50400,57600,64800,72000,79200,86400,93600,100800,108000,115200,122400,129600,136800,144000,151200,158400,165600,172800,108000,117000,126000,144000,162000,180000,198000,216000,234000,252000,270000,288000,306000,324000,342000,360000,378000,396000,414000,432000,
32,18200,36400,91000,21840,23660,25480,29120,32760,36400,40040,43680,47320,50960,54600,58240,61880,65520,69160,72800,76440,80080,83720,87360,43680,47320,50960,58240,65520,72800,80080,87360,94640,101920,109200,116480,123760,131040,138320,145600,152880,160160,167440,174720,109200,118300,127400,145600,163800,182000,200200,218400,236600,254800,273000,291200,309400,327600,345800,364000,382200,400400,418600,436800,
