id,type,day,taskDesc,targetType,targetId,targetValue,power,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,1,1,s==25|Hằng ngày đăng nhập 1 lần,101,0,1,5,1,8,20000,1,10,20000,,,,
2,1,1,s==30|Tiến hành 3 lần Tầm Bảo thường,403,1,3,5,1,8,20000,2,1007,1,,,,
3,1,1,s==31|Tiến hành 1 lần tác chiến nhanh,105,0,1,10,1,8,20000,2,1006,50,,,,
4,1,1,s==31|Tiến hành 3 lần chiến đấu nhanh,105,0,3,10,1,8,20000,2,3008,2,,,,
5,1,1,s==35|Tiến hành 1 lần hiến tặng quân đoàn,108,0,1,10,1,8,20000,2,1001,50,,,,
6,1,2,s==25|Hằng ngày đăng nhập 1 lần,101,0,1,5,1,8,20000,1,10,20000,,,,
7,1,2,s==46|Tiến hành 3 lần thử thách tướng địch quân đoàn,107,0,3,5,1,8,20000,2,1007,1,,,,
8,1,2,s==28|Nhận 5 lần nhiệm vụ kỳ duyên,110,0,5,10,1,8,20000,2,1006,50,,,,
9,1,2,s==31|Tiến hành 3 lần Tầm Bảo cao cấp,403,3,3,10,1,8,20000,2,3008,2,,,,
10,1,2,s==31|Tiến hành 1 lần Tầm Bảo tụ hiền,211,0,1,15,1,8,20000,2,1001,50,,,,
11,1,3,s==25|Hằng ngày đăng nhập 1 lần,101,0,1,5,1,8,20000,2,1007,1,,,,
12,1,3,s==34|Tiến hành 1 lần hợp thành tướng ấn,209,0,1,5,1,8,20000,2,1007,1,,,,
13,1,3,s==25|Tặng 10 lần điểm hữu nghị,205,0,10,10,1,8,20000,2,1006,50,,,,
14,1,3,s==25|Thu được 1 vị tướng 5 sao,203,5,1,10,1,8,20000,2,3008,2,,,,
15,1,3,s==22|Cấp bậc đạt đến 30 cấp,201,0,30,10,1,8,20000,2,1001,50,,,,
16,1,3,s==20|Tích lũy nạp 300 KNB,332,0,300,20,1,8,20000,1,9,50,,,,
17,1,4,s==25|Hằng ngày đăng nhập 1 lần,101,0,1,5,1,8,20000,2,1007,1,,,,
18,1,4,s==35|Tiến hành 3 lần thăng cấp thần binh,512,0,3,5,1,8,20000,2,1006,50,,,,
19,1,4,s==35|Tham gia 10 lần phó bản thường nhật,111,0,10,10,1,8,20000,2,3008,2,,,,
20,1,4,s==31|Tiến hành 20 lần Tầm Bảo thường,403,1,20,10,1,8,20000,2,1006,50,,,,
21,1,4,s==34|Thông qua tầng 40 Thông Thiên Tháp,308,0,40,10,1,8,20000,2,1001,50,,,,
22,1,5,s==25|Hằng ngày đăng nhập 1 lần,101,0,1,5,1,8,20000,2,1007,1,,,,
23,1,5,s==25|Hiến tặng quân đoàn 3 lần,108,0,3,5,1,8,20000,2,1007,1,,,,
24,1,5,s==47|Tiến hành 10 lần thử thách tướng địch quân đoàn,107,0,10,10,1,8,20000,2,1006,50,,,,
25,1,5,s==22|Cấp bậc đạt đến 45 cấp,201,0,45,10,1,8,20000,2,3008,2,,,,
26,1,5,s==34|Thông qua tầng 60 Thông Thiên Tháp,308,0,60,15,1,8,20000,2,1001,50,,,,
27,1,5,s==20|Tích lũy nạp 500 KNB,332,0,500,20,1,8,20000,1,9,50,,,,
28,1,6,s==25|Hằng ngày đăng nhập 1 lần,101,0,1,5,1,8,20000,2,1007,1,,,,
29,1,6,s==36|Tiến hành 10 lần thăng cấp thần binh,512,0,10,5,1,8,20000,2,1007,1,,,,
30,1,6,s==32|Tiến hành 3 lần đoạt bảo cao cấp,344,2,3,10,1,8,20000,2,1006,50,,,,
31,1,6,s==29|Nhận 20 lần nhiệm vụ kỳ duyên,110,0,20,10,1,8,20000,2,3008,2,,,,
32,1,6,s==34|Thông qua tầng 80 Thông Thiên Tháp,308,0,80,15,1,8,20000,2,1001,50,,,,
33,1,7,s==25|Hằng ngày đăng nhập 1 lần,101,0,1,5,1,8,20000,2,1007,1,,,,
34,1,7,s==25|Hiến tặng quân đoàn 5 lần,108,0,5,5,1,8,20000,2,1006,50,,,,
35,1,7,s==35|Tiến hành 10 lần hợp thành tướng ấn,209,0,10,10,1,8,20000,2,3008,2,,,,
36,1,7,s==22|Cấp bậc đạt đến 60 cấp,201,0,60,10,1,8,20000,2,1001,50,,,,
37,1,7,s==35|Thông qua tầng 100 Thông Thiên Tháp,308,0,100,15,1,8,20000,2,1001,50,,,,
38,1,7,s==21|Tích lũy nạp 1000 KNB,332,0,1000,20,1,8,20000,1,9,100,,,,
39,2,1,s==27|Đăng nhập thường nhật 5 lần,101,0,5,20,1,8,50000,2,1001,200,,,,
40,2,1,s==32|Tiến hành 30 lần Tầm Bảo cao cấp,403,3,30,20,1,8,50000,2,1006,200,,,,
41,2,1,s==31|Tiến hành 5 lần Tầm Bảo tụ hiền,211,0,5,20,1,8,50000,2,3008,10,,,,
42,2,1,s==34|Tiến hành 3 lần hợp thành tướng ấn,209,0,3,20,1,8,50000,2,1001,200,,,,
43,2,1,s==35|Tiến hành 10 lần hợp thành tướng ấn,209,0,10,20,1,8,50000,2,1006,200,,,,
44,2,1,s==29|Nhận 30 lần nhiệm vụ kỳ duyên,110,0,30,20,1,8,50000,2,3008,10,,,,
45,2,1,s==32|Tiến hành 30 lần đoạt bảo thường,344,1,30,20,1,8,50000,2,1001,200,,,,
46,2,1,s==32|Tiến hành 5 lần đoạt bảo cao cấp,344,2,5,20,1,8,50000,2,1006,200,,,,
47,2,1,s==25|Tặng 50 lần điểm hữu nghị,205,0,50,20,1,8,50000,2,3008,10,,,,
48,2,1,s==35|Tham gia 40 lần phó bản thường nhật,111,0,40,20,1,8,50000,2,1003,1,,,,
