name,value,desc,
s==12|EnterDayTime,s==1|7,s==9|Thành Chủ,
s==14|EnterNightTime,s==2|19,s==9|Thành Chủ,
s==12|crossZoneNum,s==2|50,s==10|Thông Dụng,
s==15|zoneGroupingNum,s==2|50,s==20|Hệ Thống Liên Server,
s==19|zoneGroupingLessNum,s==1|4,s==10|Quốc Chiến,
s==14|lvUpSystemSend,s==13|40|2|1078|100,s==8|Hệ Thống,
s==12|initNewRobot,s==1|0,s==8|Hệ Thống,
s==14|initNewMonster,s==1|0,,
s==20|artifactSoulItemType,s==1|2,s==6|Kỳ Thư,
s==18|artifactSoulItemID,s==4|1031,s==6|Kỳ Thư,
s==20|artifactSoulAttackUp,s==2|50,s==6|Kỳ Thư,
s==25|artifactSoulHealthPointUp,s==3|500,s==6|Kỳ Thư,
s==14|artifactBaseHp,s==3|476,s==6|Kỳ Thư,
s==18|artifactBaseAttack,s==2|56,s==6|Kỳ Thư,
s==16|minimumAdventure,s==3|2|4,s==6|Kỳ Ngộ,
s==17|minimumAdventure1,s==8|2|4|1402,s==6|Kỳ Ngộ,
s==17|minimumAdventure2,s==3|380,s==6|Kỳ Ngộ,
s==17|minimumAdventure3,s==9|1601|1602,s==6|Kỳ Ngộ,
s==17|minimumAdventure4,s==2|24,s==6|Kỳ Ngộ,
s==18|antiAtkKeepAtkRate,s==3|0.5,s==9|Chiến Đấu,
s==14|DecrementRound,s==1|8,s==9|Chiến Đấu,
s==18|DecrementRoundRate,s==3|500,s==9|Chiến Đấu,
s==22|DecrementRoundRateTrue,s==3|700,s==9|Chiến Đấu,
s==25|ControlDecrementRoundRate,s==1|0,s==9|Chiến Đấu,
s==16|ActionTypeHpRate,s==3|0.5,s==9|Chiến Đấu,
s==18|DEFENCE_LEVEL_RATE,s==1|8,s==9|Chiến Đấu,
s==14|critiDamageMin,s==5|20000,s==9|Chiến Đấu,
s==14|critiDamageMax,s==5|30000,s==9|Chiến Đấu,
s==19|critiDamageWeakRate,s==4|1500,s==9|Chiến Đấu,
s==11|AttackLimit,s==4|3000,s==9|Chiến Đấu,
s==21|seniorRecruitmentCost,s==3|198,s==9|Tầm Phóng,
s==24|copyChestTimesUpperLimit,s==5|43200,s==10|Xuất Chinh,
s==18|chuzhengRewardxPos,s==3|100,s==10|Xuất Chinh,
s==18|towerCopyFreeTimes,s==1|2,s==16|Thông Thiên Tháp,
s==25|towerCopyWipeOutTimesCost,s==8|20|30|40,s==16|Thông Thiên Tháp,
s==19|towerHigerAwardlock,s==3|400,s==16|Thông Thiên Tháp,
s==10|towerSword,s==4|1.15,s==16|Thông Thiên Tháp,
s==17|battleBlackScreen,s==4|0.75,s==9|Chiến Đấu,
s==15|baseCritiDamage,s==5|12000,s==29|Thuộc Tính Chiến Đấu Võ Tướng,
s==18|tacticsSlotUnlock1,s==1|6,s==8|Võ Tướng,
s==18|tacticsSlotUnlock2,s==2|11,s==8|Võ Tướng,
s==15|soulSlotUnlock1,s==3|100,s==8|Võ Tướng,
s==15|soulSlotUnlock2,s==1|7,s==8|Võ Tướng,
s==24|commentLevelRequirements,s==2|20,s==8|Võ Tướng,
s==13|hpLevelGrowUp,s==3|850,s==8|Võ Tướng,
s==14|atkLevelGrowUp,s==3|850,s==8|Võ Tướng,
s==14|defLevelGrowUp,s==4|1300,s==8|Võ Tướng,
s==14|spdLevelGrowUp,s==3|450,s==8|Võ Tướng,
s==18|NationDamageRate_1,s==1|1,s==8|Võ Tướng,
s==18|NationDamageRate_2,s==4|0.93,s==8|Võ Tướng,
s==18|NationDamageRate_3,s==1|1,s==8|Võ Tướng,
s==18|NationDamageRate_4,s==4|1.07,s==8|Võ Tướng,
s==17|shopHeroResetCost,s==9|1|14|2000,s==12|Thương Thành,
s==23|shopTreasureReflashTime,s==5|43200,s==12|Thương Thành,
s==23|shopTreasureReflashCost,s==7|1|26|50,s==12|Thương Thành,
s==27|shopWarcraftFreeReflashTime,s==5|28800,s==12|Thương Thành,
s==26|shopWarcraftFreeReflashNum,s==1|3,s==12|Thương Thành,
s==23|shopWarcraftReflashCost,s==10|2|1006|200,s==12|Thương Thành,
s==22|shopWarcraftReflashNum,s==2|20,s==12|Thương Thành,
s==21|unionEverydayFoundNum,s==1|1,s==9|Quân Đoàn,
s==18|unionNoticeDefault,s==88|Thành thật mong đợi các hảo kiệt bốn phương， có rượu thì uống rượu， có thịt thì ăn thịt。,s==9|Quân Đoàn,
