id,mapId,name,type,state,connectCity,maxCount,score,ExtreScore,defBattles,addPros-type-1,addPros-way-1,addPros-value-1,gains-type-1,gains-id-1,gains-value-1,gains-type-2,gains-id-2,gains-value-2,
1,2,s==3|大本营,0,1,2|3,10000,,,,,,,,,,,,,
2,2,s==2|天水,1,1,1|3|4|7|22,25,5,20,500001|500002,2,1,1000,1,28,2,,,,
3,2,s==2|安定,2,1,1|2|4,30,20,50,500003|500004,3,1,2000,1,28,6,,,,
4,2,s==2|晋阳,3,1,2|3|6|11,30,10,30,500005|500006,3,1,2000,1,28,4,,,,
5,2,s==2|壶关,4,1,6|12|25|27,30,20,50,500007|500008|500009,3,1,2000,1,28,6,,,,
6,2,s==2|上党,1,1,4|5|7,25,5,20,500010|500011,2,1,1000,1,28,2,,,,
7,2,s==2|上庸,1,1,2|6|22|26,25,5,20,500012|500013,2,1,1000,1,28,2,,,,
8,2,s==3|大本营,0,1,9|10,10000,,,,,,,,,,,,,
9,2,s==2|邺城,2,1,8|10|11,30,20,50,500014|500015,3,1,2000,1,28,6,,,,
10,2,s==2|濮阳,1,1,8|9|13|16|20,25,5,20,500016|500017,2,1,1000,1,28,2,,,,
11,2,s==2|陈留,3,1,4|9|13,30,10,30,500018|500019,3,1,2000,1,28,4,,,,
12,2,s==3|虎牢关,4,1,5|13|18|28,30,20,50,500020|500021|500022,3,1,2000,1,28,6,,,,
13,2,s==2|泰山,1,1,10|11|12|20,25,5,20,500023|500024,2,1,1000,1,28,2,,,,
14,2,s==3|大本营,0,1,15|16,10000,,,,,,,,,,,,,
15,2,s==2|建业,2,1,14|16|17,30,20,50,500025|500026,3,1,2000,1,28,6,,,,
16,2,s==2|会稽,1,1,10|14|15|19|20,25,5,20,500027|500028,2,1,1000,1,28,2,,,,
17,2,s==2|汝南,3,1,15|19|24,30,10,30,500029|500030,3,1,2000,1,28,4,,,,
18,2,s==3|轩辕关,4,1,12|19|25|28,30,20,50,500031|500032|500033,3,1,2000,1,28,6,,,,
19,2,s==2|许昌,1,1,16|17|18|20,25,5,20,500034|500035,2,1,1000,1,28,2,,,,
20,2,s==2|小沛,1,1,10|13|16|19,25,5,20,500036|500037,2,1,1000,1,28,2,,,,
21,2,s==3|大本营,0,1,22|23,10000,,,,,,,,,,,,,
22,2,s==2|汉中,1,1,2|7|21|23|24,25,5,20,500038|500039,2,1,1000,1,28,2,,,,
23,2,s==2|江州,2,1,21|22|24,30,20,50,500040|500041,3,1,2000,1,28,6,,,,
24,2,s==2|襄阳,3,1,17|22|23|26,30,10,30,500042|500043,3,1,2000,1,28,4,,,,
25,2,s==2|武关,4,1,5|18|26|27,30,20,50,500044|500045|500046,3,1,2000,1,28,6,,,,
26,2,s==2|新野,1,1,7|24|25,25,5,20,500047|500048,2,1,1000,1,28,2,,,,
27,2,s==2|长安,5,1,5|25|28,30,50,100,500049|500049|500049|500049,3,1,2000,1,28,8,,,,
28,2,s==2|洛阳,5,1,12|18|27,30,50,100,500049|500049|500050|500051,3,1,2000,1,28,8,,,,
29,1,s==3|大本营,0,1,30|52|53,10000,,,,,,,,,,,,,
30,1,s==2|定襄,1,1,29|31,25,5,20,500001|500002,2,1,1000,1,28,2,,,,
31,1,s==2|五原,1,1,30|32,25,5,20,500010|500011,2,1,1000,1,28,2,,,,
32,1,s==2|弘农,3,1,31|33|53|54|57|58|,30,10,50,500005|500006,3,1,2000,1,28,4,,,,
33,1,s==2|河东,1,1,32|34,25,5,20,500012|500013,2,1,1000,1,28,2,,,,
34,1,s==2|安定,1,1,33|35,25,5,20,500016|500017,2,1,1000,1,28,2,,,,
35,1,s==3|大本营,0,1,34|36|54,10000,,,,,,,,,,,,,
36,1,s==2|武都,1,1,35|37,25,5,20,500023|500024,2,1,1000,1,28,2,,,,
37,1,s==2|汉中,1,1,36|38,25,5,20,500027|500028,2,1,1000,1,28,2,,,,
38,1,s==2|南阳,3,1,37|39|54|55|58|59,30,10,50,500018|500019,3,1,2000,1,28,4,,,,
39,1,s==2|邓县,1,1,38|40,25,5,20,500034|500035,2,1,1000,1,28,2,,,,
40,1,s==2|南郡,1,1,39|41,25,5,20,500036|500037,2,1,1000,1,28,2,,,,
41,1,s==3|大本营,0,1,40|42|55,10000,,,,,,,,,,,,,
42,1,s==2|江夏,1,1,41|43,25,5,20,500038|500039,2,1,1000,1,28,2,,,,
43,1,s==2|平春,1,1,42|44,25,5,20,500047|500048,2,1,1000,1,28,2,,,,
44,1,s==2|广宗,3,1,43|45|55|56|59|60,30,10,50,500029|500030,3,1,2000,1,28,4,,,,
45,1,s==2|山阳,1,1,44|46,25,5,20,500047|500048,2,1,1000,1,28,2,,,,
46,1,s==2|下邳,1,1,45|47,25,5,20,500047|500048,2,1,1000,1,28,2,,,,
47,1,s==3|大本营,0,1,46|48|56,10000,,,,,,,,,,,,,
48,1,s==2|北海,1,1,47|49,25,5,20,500047|500048,2,1,1000,1,28,2,,,,
49,1,s==2|济南,1,1,48|50,25,5,20,500047|500048,2,1,1000,1,28,2,,,,
50,1,s==2|常山,3,1,49|51|53|56|57|60,30,10,50,500042|500043,3,1,2000,1,28,4,,,,
51,1,s==2|中山,1,1,50|52,25,5,20,500047|500048,2,1,1000,1,28,2,,,,
52,1,s==2|广阳,1,1,51|29,25,5,20,500047|500048,2,1,1000,1,28,2,,,,
53,1,s==2|晋阳,2,1,29|32|50,30,20,50,500003|500004,3,1,2000,1,28,6,,,,
54,1,s==2|京兆,2,1,32|35|38,30,20,50,500014|500015,3,1,2000,1,28,6,,,,
55,1,s==2|汝南,2,1,38|41|44,30,20,50,500025|500026,3,1,2000,1,28,6,,,,
56,1,s==2|东平,2,1,44|47|50,30,20,50,500040|500041,3,1,2000,1,28,6,,,,
57,1,s==2|上党,4,1,32|50|61,30,20,50,500007|500008|500009,3,1,2000,1,28,6,,,,
58,1,s==3|函谷关,4,1,32|38|62,30,20,50,500020|500021|500022,3,1,2000,1,28,6,,,,
59,1,s==2|长社,4,1,38|44|62,30,20,50,500031|500032|500033,3,1,2000,1,28,6,,,,
60,1,s==2|封丘,4,1,44|50|61,30,20,50,500044|500045|500046,3,1,2000,1,28,6,,,,
61,1,s==2|河内,5,1,57|60|62,30,50,100,500049|500049|500049|500049,3,1,2000,1,28,8,,,,
62,1,s==2|洛阳,5,1,58|59|61,30,50,100,500049|500049|500050|500051,3,1,2000,1,28,8,,,,
63,3,s==3|大本营,0,,64|66|65,10000,,,,,,,,,,,,,
64,3,s==2|威武,2,,63|66|69,30,20,50,500003|500004,3,1,2000,1,28,6,,,,
65,3,s==2|北平,2,,63|66|71,30,20,50,500077|500079,3,1,2000,1,28,6,,,,
66,3,s==2|雁门,1,,63|64|65|67,25,5,20,500080|500103,2,1,1000,1,28,2,,,,
67,3,s==2|常山,1,,66|69|70|71,25,5,20,500081|500103,2,1,1000,1,28,2,,,,
68,3,s==2|会稽,2,,69|74|75,30,20,50,500089|500076,3,1,2000,1,28,6,,,,
69,3,s==2|晋阳,1,,64|67|68|70|76|77,25,5,20,500082|500103,2,1,1000,1,28,2,,,,
70,3,s==2|广宗,3,,67|69|71|73,30,10,50,500065|500066,3,1,2000,1,28,4,,,,
71,3,s==2|平原,1,,65|67|70|72|82|83,25,5,20,500084|500103,2,1,1000,1,28,2,,,,
72,3,s==2|北海,2,,71|84|85,30,20,50,500060|500061,3,1,2000,1,28,6,,,,
73,3,s==1|邺,4,,70|78|79|81,30,20,50,500078|500090|500102,3,1,2000,1,28,6,,,,
74,3,s==3|大本营,0,,68|75|86,10000,,,,,,,,,,,,,
75,3,s==2|安定,1,,68|74|76|86,25,5,20,500085|500102,2,1,1000,1,28,2,,,,
76,3,s==2|弘农,1,,69|75|77|87,25,5,20,500088|500102,2,1,1000,1,28,2,,,,
77,3,s==2|河东,3,,69|76|78|87,30,10,50,500070|500072,3,1,2000,1,28,4,,,,
78,3,s==2|洛阳,4,,73|77|79|88,30,20,50,500074|500067|500102,3,1,2000,1,28,6,,,,
79,3,s==2|官渡,5,,73|78|80,30,50,100,500071|500101|500087|500102,3,1,2000,1,28,8,,,,
80,3,s==2|乌巢,5,,79|81|88,30,50,100,500069|500069|500086|500102,3,1,2000,1,28,8,,,,
81,3,s==2|白马,4,,73|80|82|88,30,20,50,500053|500054|500055,3,1,2000,1,28,6,,,,
82,3,s==2|陈留,3,,71|81|83|89,30,10,50,500059|500056,3,1,2000,1,28,4,,,,
83,3,s==2|下邳,1,,71|82|84|89,25,5,20,500091|500097,2,1,1000,1,28,2,,,,
84,3,s==2|泰山,1,,72|83|85|90,25,5,20,500092|500102,2,1,1000,1,28,2,,,,
85,3,s==3|大本营,0,,72|84|90,10000,,,,,,,,,,,,,
86,3,s==2|梓潼,2,,74|75|87,30,20,50,500052|500062,3,1,2000,1,28,6,,,,
87,3,s==2|汉中,1,,76|77|86|91|92|93,25,5,20,500093|500098,2,1,1000,1,28,2,,,,
88,3,s==2|许昌,4,,78|80|81|91,30,20,50,500057|500058|500099,3,1,2000,1,28,6,,,,
89,3,s==2|汝南,1,,82|83|90|91|92|95,25,5,20,500094|500102,2,1,1000,1,28,2,,,,
90,3,s==2|广陵,2,,84|85|89,30,20,50,500063|500064,3,1,2000,1,28,6,,,,
91,3,s==2|襄阳,3,,87|88|89|92,30,10,50,500075|500073,3,1,2000,1,28,4,,,,
92,3,s==2|长沙,1,,87|89|91|94,25,5,20,500095|500100,2,1,1000,1,28,2,,,,
93,3,s==2|江州,2,,87|94|96,30,20,50,500076|500103,3,1,2000,1,28,6,,,,
94,3,s==2|桂阳,1,,92|93|95|96,25,5,20,500096|500102,2,1,1000,1,28,2,,,,
95,3,s==2|江夏,2,,89|94|96,30,20,50,500083|500103,3,1,2000,1,28,6,,,,
96,3,s==3|大本营,0,,93|94|95,10000,,,,,,,,,,,,,
97,4,s==3|大本营,0,,101|109|115,10000,,,,,,,,,,,,,
98,4,s==2|项城,2,,99|101|102,30,20,50,500047|500126,3,1,2000,1,28,6,,,,
99,4,s==2|琅琊,1,,98|100|105,25,5,20,500104|500127,2,1,1000,1,28,2,,,,
100,4,s==3|大本营,0,,99|105|106,10000,,,,,,,,,,,,,
101,4,s==2|京兆,1,,97|98|109,25,5,20,500089|500126,2,1,1000,1,28,2,,,,
102,4,s==2|寿春,2,,98|104|105,30,20,50,500105|500127,3,1,2000,1,28,6,,,,
103,4,s==2|新野,3,,104|108|114,30,10,50,500056|500129|500126,3,1,2000,1,28,4,,,,
104,4,s==2|江夏,3,,102|103|107|108,30,10,50,500037|500130|500128,3,1,2000,1,28,4,,,,
105,4,s==2|下邳,1,,99|100|102|106,25,5,20,500075|500126,2,1,1000,1,28,2,,,,
106,4,s==2|东海,1,,100|105|110|120,25,5,20,500106|500127,2,1,1000,1,28,2,,,,
107,4,s==2|庐江,2,,104|110|112,30,20,50,500107|500127,3,1,2000,1,28,6,,,,
108,4,s==2|樊城,4,,103|104|111|112,30,20,50,500035|500131|500146,3,1,2000,1,28,6,,,,
109,4,s==2|长安,2,,97|101|113|115,30,20,50,500108|500127,3,1,2000,1,28,6,,,,
110,4,s==2|夏口,3,,106|107|112|121|122,30,10,50,500109|500132|500127,3,1,2000,1,28,4,,,,
111,4,s==2|襄阳,5,,108|116|117,30,50,100,500015|500031|500055|500035,3,1,2000,1,28,8,,,,
112,4,s==2|樊口,4,,107|108|110|117,30,20,50,500077|500134|500145,3,1,2000,1,28,6,,,,
113,4,s==2|汉中,3,,109|124,30,10,50,500110|500135|500127,3,1,2000,1,28,4,,,,
114,4,s==2|南郡,1,,103|116|118,25,5,20,500111|500127,2,1,1000,1,28,2,,,,
115,4,s==2|武都,1,,97|109|124,25,5,20,500112|500126,2,1,1000,1,28,2,,,,
116,4,s==3|长坂坡,4,,111|114|118|119,30,20,50,500113|500136|500144,3,1,2000,1,28,6,,,,
117,4,s==2|赤壁,5,,111|112|119,30,50,100,500114|500137|500028|500147,3,1,2000,1,28,8,,,,
118,4,s==2|西陵,3,,114|116|125,30,10,50,500115|500048|500126,3,1,2000,1,28,4,,,,
119,4,s==3|华容道,4,,116|117|121|125,30,20,50,500053|500139|500143,3,1,2000,1,28,6,,,,
120,4,s==2|会稽,1,,106|122|123,25,5,20,500116|500127,2,1,1000,1,28,2,,,,
121,4,s==2|乌林,3,,110|119|125,30,10,50,500117|500140|500127,3,1,2000,1,28,4,,,,
122,4,s==2|柴桑,2,,110|120|128,30,20,50,500118|500127,3,1,2000,1,28,6,,,,
123,4,s==2|广陵,1,,120|128|134,25,5,20,500119|500127,2,1,1000,1,28,2,,,,
124,4,s==2|巫山,2,,113|115|126,30,20,50,500120|500126,3,1,2000,1,28,6,,,,
125,4,s==2|江陵,3,,118|119|121|127,30,10,50,500052|500019|500126,3,1,2000,1,28,4,,,,
126,4,s==2|巴东,2,,124|129|133,30,20,50,500076|500126,3,1,2000,1,28,6,,,,
127,4,s==2|巴丘,3,,125|129|132,30,10,50,500121|500142|500127,3,1,2000,1,28,4,,,,
128,4,s==2|长沙,2,,122|123|131|134,30,20,50,500122|500127,3,1,2000,1,28,6,,,,
129,4,s==2|合浦,1,,126|127|130|133,25,5,20,500123|500127,2,1,1000,1,28,2,,,,
130,4,s==2|武陵,1,,129|132|133,25,5,20,500124|500127,2,1,1000,1,28,2,,,,
131,4,s==2|南海,1,,128|132|134,25,5,20,500125|500127,2,1,1000,1,28,2,,,,
132,4,s==2|零陵,1,,127|130|131,25,5,20,500008|500126,2,1,1000,1,28,2,,,,
133,4,s==3|大本营,0,,126|129|130,10000,,,,,,,,,,,,,
134,4,s==3|大本营,0,,131|123|128|131,10000,,,,,,,,,,,,,
135,5,s==2|金城,1,,140|141|136,25,5,20,500148|500149,2,1,1000,1,28,2,,,,
136,5,s==2|西河,1,,135|137|148,25,5,20,500150|500151,2,1,1000,1,28,2,,,,
137,5,s==2|太原,1,,136|138|145,25,5,20,500152|500153,2,1,1000,1,28,2,,,,
138,5,s==2|常山,1,,137|139|142,25,5,20,500154|500155,2,1,1000,1,28,2,,,,
139,5,s==3|大本营,0,,138|142|146,10000,,,,,,,,,,,,,
140,5,s==3|大本营,0,,135|141|143,10000,,,,,,,,,,,,,
141,5,s==2|安定,2,,135|140|143|144,30,20,50,500156|500157,3,1,2000,1,28,6,,,,
142,5,s==2|泰山,2,,138|139|145|146,30,20,50,500158|500159,3,1,2000,1,28,6,,,,
143,5,s==2|陇西,1,,140|141|147,25,5,20,500160|500161,2,1,1000,1,28,2,,,,
144,5,s==2|长安,2,,141|147|152,30,20,50,500162|500163,3,1,2000,1,28,6,,,,
145,5,s==2|小沛,2,,137|142|149,30,20,50,500164|500165,3,1,2000,1,28,6,,,,
146,5,s==2|琅琊,1,,139|142|176,25,5,20,500166|500167,2,1,1000,1,28,2,,,,
147,5,s==2|天水,1,,143|144|153,25,5,20,500168|500169,2,1,1000,1,28,2,,,,
148,5,s==2|武关,3,,136|149|151|152,30,10,50,500170|500171,3,1,2000,1,28,4,,,,
149,5,s==2|九江,3,,145|148|150|156,30,10,50,500172|500173,3,1,2000,1,28,4,,,,
150,5,s==2|东海,3,,149|156|163|176,30,10,50,500174|500175,3,1,2000,1,28,4,,,,
151,5,s==2|南阳,4,,148|152|155|156|161,30,20,50,500176|500177|500178,3,1,2000,1,28,6,,,,
152,5,s==2|上庸,3,,144|148|151|154,30,10,50,500179|500180,3,1,2000,1,28,4,,,,
153,5,s==2|武都,1,,147|154|159,25,5,20,500181|500182,2,1,1000,1,28,2,,,,
154,5,s==2|汉中,3,,152|153|161|165,30,10,50,500183|500184,3,1,2000,1,28,4,,,,
155,5,s==2|襄阳,5,,151|157|161,30,50,100,500185|500186|500187|500188,3,1,2000,1,28,8,,,,
156,5,s==2|庐江,4,,149|150|151|157|162,30,20,50,500189|500190|500191,3,1,2000,1,28,6,,,,
157,5,s==2|江夏,5,,155|156|162,30,50,100,500192|500193|500194|500195,3,1,2000,1,28,8,,,,
158,5,s==2|广陵,1,,167|170|176,25,5,20,500196|500197,2,1,1000,1,28,2,,,,
159,5,s==2|汶山,1,,153|164|171,25,5,20,500198|500199,2,1,1000,1,28,2,,,,
160,5,s==2|广汉,2,,164|165|169,30,20,50,500200|500201,3,1,2000,1,28,6,,,,
161,5,s==2|南郡,4,,151|154|155|162|165,30,20,50,500202|500203|500204,3,1,2000,1,28,6,,,,
162,5,s==2|柴桑,4,,156|157|161|163|166,30,20,50,500205|500206|500207,3,1,2000,1,28,6,,,,
163,5,s==2|会稽,3,,150|162|166|167,30,10,50,500208|500209,3,1,2000,1,28,4,,,,
164,5,s==2|成都,2,,159|160|171|172,30,20,50,500210|500211,3,1,2000,1,28,6,,,,
165,5,s==2|武陵,3,,154|160|161|166,30,10,50,500212|500213,3,1,2000,1,28,4,,,,
166,5,s==2|长沙,3,,162|163|165|173,30,10,50,500214|500215,3,1,2000,1,28,4,,,,
167,5,s==2|丹阳,2,,158|163|168,30,20,50,500216|500217,3,1,2000,1,28,6,,,,
168,5,s==2|豫章,2,,167|170|174|175,30,20,50,500218|500219,3,1,2000,1,28,6,,,,
169,5,s==2|牂牁,1,,160|172|173,25,5,20,500220|500221,2,1,1000,1,28,2,,,,
170,5,s==2|临海,1,,158|168|175,25,5,20,500222|500223,2,1,1000,1,28,2,,,,
171,5,s==3|大本营,0,,159|164|172,10000,,,,,,,,,,,,,
172,5,s==2|朱提,1,,164|169|171,25,5,20,500224|500225,2,1,1000,1,28,2,,,,
173,5,s==2|桂阳,1,,166|169|174,25,5,20,500226|500227,2,1,1000,1,28,2,,,,
174,5,s==2|庐陵,1,,168|173|175,25,5,20,500228|500229,2,1,1000,1,28,2,,,,
175,5,s==3|大本营,0,,168|170|174,10000,,,,,,,,,,,,,
176,5,s==2|淮陵,1,,146|150|158,25,5,20,500230|500231,2,1,1000,1,28,2,,,,
