id,quality,lv,property-type-1,property-way-1,property-value-1,property-type-2,property-way-2,property-value-2,
1,2,1,2,0,240,1,0,2400,
2,2,2,2,0,264,1,0,2640,
3,2,3,2,0,294,1,0,2940,
4,2,4,2,0,330,1,0,3300,
5,2,5,2,0,372,1,0,3720,
6,2,6,2,0,420,1,0,4200,
7,2,7,2,0,474,1,0,4740,
8,2,8,2,0,534,1,0,5340,
9,2,9,2,0,600,1,0,6000,
10,2,10,2,0,672,1,0,6720,
11,3,1,2,0,360,1,0,3600,
12,3,2,2,0,396,1,0,3960,
13,3,3,2,0,441,1,0,4410,
14,3,4,2,0,495,1,0,4950,
15,3,5,2,0,558,1,0,5580,
16,3,6,2,0,630,1,0,6300,
17,3,7,2,0,711,1,0,7110,
18,3,8,2,0,801,1,0,8010,
19,3,9,2,0,900,1,0,9000,
20,3,10,2,0,1008,1,0,10080,
21,4,1,2,0,600,1,0,6000,
22,4,2,2,0,660,1,0,6600,
23,4,3,2,0,735,1,0,7350,
24,4,4,2,0,825,1,0,8250,
25,4,5,2,0,930,1,0,9300,
26,4,6,2,0,1050,1,0,10500,
27,4,7,2,0,1185,1,0,11850,
28,4,8,2,0,1335,1,0,13350,
29,4,9,2,0,1500,1,0,15000,
30,4,10,2,0,1680,1,0,16800,
31,4,11,2,0,1875,1,0,18750,
32,4,12,2,0,2085,1,0,20850,
33,4,13,2,0,2310,1,0,23100,
34,4,14,2,0,2550,1,0,25500,
35,4,15,2,0,2805,1,0,28050,
36,4,16,2,0,3075,1,0,30750,
37,4,17,2,0,3360,1,0,33600,
38,4,18,2,0,3660,1,0,36600,
39,4,19,2,0,3975,1,0,39750,
40,4,20,2,0,4320,1,0,43200,
41,5,1,2,0,840,1,0,8400,
42,5,2,2,0,924,1,0,9240,
43,5,3,2,0,1029,1,0,10290,
44,5,4,2,0,1155,1,0,11550,
45,5,5,2,0,1302,1,0,13020,
46,5,6,2,0,1470,1,0,14700,
47,5,7,2,0,1659,1,0,16590,
48,5,8,2,0,1869,1,0,18690,
49,5,9,2,0,2100,1,0,21000,
50,5,10,2,0,2352,1,0,23520,
51,5,11,2,0,2625,1,0,26250,
52,5,12,2,0,2919,1,0,29190,
53,5,13,2,0,3234,1,0,32340,
54,5,14,2,0,3570,1,0,35700,
55,5,15,2,0,3927,1,0,39270,
56,5,16,2,0,4305,1,0,43050,
57,5,17,2,0,4704,1,0,47040,
58,5,18,2,0,5124,1,0,51240,
59,5,19,2,0,5565,1,0,55650,
60,5,20,2,0,6048,1,0,60480,
61,5,21,2,0,6552,1,0,65520,
62,5,22,2,0,7077,1,0,70770,
63,5,23,2,0,7623,1,0,76230,
64,5,24,2,0,8190,1,0,81900,
65,5,25,2,0,8778,1,0,87780,
66,5,26,2,0,9387,1,0,93870,
67,5,27,2,0,10017,1,0,100170,
68,5,28,2,0,10668,1,0,106680,
69,5,29,2,0,11340,1,0,113400,
70,5,30,2,0,12033,1,0,120330,
71,6,1,2,0,1200,1,0,12000,
72,6,2,2,0,1320,1,0,13200,
73,6,3,2,0,1470,1,0,14700,
74,6,4,2,0,1650,1,0,16500,
75,6,5,2,0,1860,1,0,18600,
76,6,6,2,0,2100,1,0,21000,
77,6,7,2,0,2370,1,0,23700,
78,6,8,2,0,2670,1,0,26700,
