lv,nextlv,lvUpCost-type-1,lvUpCost-id-1,lvUpCost-value-1,lvUpCost-type-2,lvUpCost-id-2,lvUpCost-value-2,hotRandomPropertyNum,
1,2,1,8,500000,2,1049,4,1,
2,3,1,8,500000,2,1049,4,1,
3,4,1,8,1000000,2,1049,8,1,
4,5,1,8,1000000,2,1049,8,1,
5,6,1,8,1500000,2,1049,12,1,
6,7,1,8,1500000,2,1049,12,1,
7,8,1,8,2000000,2,1049,16,1,
8,9,1,8,2000000,2,1049,16,1,
9,10,2,1051,10,2,1049,20,1,
10,11,1,8,2500000,2,1049,20,2,
11,12,1,8,3000000,2,1049,24,2,
12,13,1,8,3000000,2,1049,24,2,
13,14,1,8,3500000,2,1049,28,2,
14,15,1,8,3500000,2,1049,28,2,
15,16,1,8,4000000,2,1049,32,2,
16,17,1,8,4000000,2,1049,32,2,
17,18,1,8,4500000,2,1049,36,2,
18,19,1,8,4500000,2,1049,36,2,
19,20,2,1051,20,2,1049,40,2,
20,21,1,8,5000000,2,1049,40,3,
21,22,1,8,5500000,2,1049,44,3,
22,23,1,8,5500000,2,1049,44,3,
23,24,1,8,6000000,2,1049,48,3,
24,25,1,8,6000000,2,1049,48,3,
25,26,1,8,6500000,2,1049,52,3,
26,27,1,8,6500000,2,1049,52,3,
27,28,1,8,7000000,2,1049,56,3,
28,29,1,8,7000000,2,1049,56,3,
29,30,2,1051,30,2,1049,60,3,
30,31,1,8,7500000,2,1049,60,4,
31,32,1,8,8000000,2,1049,64,4,
32,33,1,8,8000000,2,1049,64,4,
33,34,1,8,8500000,2,1049,68,4,
34,35,1,8,8500000,2,1049,68,4,
35,36,1,8,9000000,2,1049,72,4,
36,37,1,8,9000000,2,1049,72,4,
37,38,1,8,9500000,2,1049,76,4,
38,39,1,8,9500000,2,1049,76,4,
39,40,2,1051,40,2,1049,80,4,
40,41,1,8,10000000,2,1049,80,4,
41,42,1,8,10500000,2,1049,80,4,
42,43,1,8,10500000,2,1049,80,4,
43,44,1,8,11000000,2,1049,80,4,
44,45,1,8,11000000,2,1049,80,4,
45,46,1,8,11500000,2,1049,80,4,
46,47,1,8,11500000,2,1049,80,4,
47,48,1,8,12000000,2,1049,80,4,
48,49,1,8,12000000,2,1049,80,4,
49,50,1,8,12500000,2,1049,80,4,
50,,,,,,,,,
