id,rewardtype,rank,rankreward-type-1,rankreward-id-1,rankreward-num-1,rankreward-type-2,rankreward-id-2,rankreward-num-2,rankreward-type-3,rankreward-id-3,rankreward-num-3,rankreward-type-4,rankreward-id-4,rankreward-num-4,rankreward-type-5,rankreward-id-5,rankreward-num-5,title,desc,
1,1,1,1,28,10000,2,1051,15,2,1049,100,2,1076,4,2,19801,1,s==36|Phần Thưởng Mùa Công Thành Chiếm Đất,s==132|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， quốc gia ngài thuộc hạng thứ {0} trong bảng xếp hạng，cầu ngài tiếp tục cố gắng!,
2,1,2,1,28,8000,2,1051,10,2,1049,70,2,1076,3,,,,s==36|Phần Thưởng Mùa Công Thành Chiếm Đất,s==132|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， quốc gia ngài thuộc hạng thứ {0} trong bảng xếp hạng，cầu ngài tiếp tục cố gắng!,
3,1,3,1,28,6000,2,1051,5,2,1049,40,2,1076,2,,,,s==36|Phần Thưởng Mùa Công Thành Chiếm Đất,s==110|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， quốc gia ngài xếp hạng thứ {0}，cầu ngài tiếp tục cố gắng!,
4,1,4,1,28,4000,2,1051,3,2,1049,20,2,1076,1,,,,s==36|Phần Thưởng Mùa Công Thành Chiếm Đất,s==110|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， quốc gia ngài xếp hạng thứ {0}，cầu ngài tiếp tục cố gắng!,
5,2,1,1,28,15000,2,1050,250,,,,,,,,,,s==46|Phần Thưởng Bảng Anh Hùng Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài đạt hạng thứ {0} trong bảng anh hùng quốc gia，cầu ngài tiếp tục cố gắng!,
6,2,2,1,28,10000,2,1050,200,,,,,,,,,,s==46|Phần Thưởng Bảng Anh Hùng Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài đạt hạng thứ {0} trong bảng anh hùng quốc gia，cầu ngài tiếp tục cố gắng!,
7,2,3,1,28,7000,2,1050,160,,,,,,,,,,s==46|Phần Thưởng Bảng Anh Hùng Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài đạt hạng thứ {0} trong bảng anh hùng quốc gia，cầu ngài tiếp tục cố gắng!,
8,2,4|5,1,28,5000,2,1050,130,,,,,,,,,,s==46|Phần Thưởng Bảng Anh Hùng Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài đạt hạng thứ {0} trong bảng anh hùng quốc gia，cầu ngài tiếp tục cố gắng!,
9,2,6|10,1,28,4000,2,1050,110,,,,,,,,,,s==46|Phần Thưởng Bảng Anh Hùng Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài đạt hạng thứ {0} trong bảng anh hùng quốc gia，cầu ngài tiếp tục cố gắng!,
10,2,11|20,1,28,3000,2,1050,90,,,,,,,,,,s==46|Phần Thưởng Bảng Anh Hùng Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài xếp hạng thứ {0} trong bảng anh hùng quốc gia，cầu ngài tiếp tục cố gắng!,
11,2,21|50,1,28,2500,2,1050,70,,,,,,,,,,s==46|Phần Thưởng Bảng Anh Hùng Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài xếp hạng thứ {0} trong bảng anh hùng quốc gia，cầu ngài tiếp tục cố gắng!,
12,2,51|100,1,28,2000,2,1050,60,,,,,,,,,,s==46|Phần Thưởng Bảng Anh Hùng Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài xếp hạng thứ {0} trong bảng anh hùng quốc gia，cầu ngài tiếp tục cố gắng!,
13,2,101|99999,1,28,1700,2,1050,50,,,,,,,,,,s==46|Phần Thưởng Bảng Anh Hùng Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài xếp hạng thứ {0} trong bảng anh hùng quốc gia，cầu ngài tiếp tục cố gắng!,
14,3,1,1,28,15000,2,1049,350,,,,,,,,,,s==45|Phần Thưởng Bảng Sát Thủ Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài đạt hạng thứ {0} trong bảng sát địch quốc gia，cầu ngài tiếp tục cố gắng!,
15,3,2,1,28,10000,2,1049,280,,,,,,,,,,s==45|Phần Thưởng Bảng Sát Thủ Công Thành Chiếm Đất,s==130|Kính thưa Quân Chủ:<br/>Mùa này công thành đoạt đất， ngài đạt hạng thứ {0} trong bảng sát địch quốc gia，cầu ngài tiếp tục cố gắng!,
