id,rewardtype,rank,rankreward-type-1,rankreward-id-1,rankreward-num-1,rankreward-type-2,rankreward-id-2,rankreward-num-2,rankreward-type-3,rankreward-id-3,rankreward-num-3,rankreward-type-4,rankreward-id-4,rankreward-num-4,title,desc,
1,1,1,1,28,10000,2,1051,15,2,1049,100,2,1075,4,s==27|Thưởng Mùa Thiên Ma Lai Xâm,s==118|Kính thưa Quân Chủ:<br/>Mùa này Thiên Ma xâm lăng， quốc gia ngài sở tại đã đạt hạng {0} danh dự， xin tiếp tục cố gắng!,
2,1,2,1,28,8000,2,1051,10,2,1049,70,2,1075,3,s==27|Thưởng Mùa Thiên Ma Lai Xâm,s==118|Kính thưa Quân Chủ:<br/>Mùa này Thiên Ma xâm lăng， quốc gia ngài sở tại đã đạt hạng {0} danh dự， xin tiếp tục cố gắng!,
3,1,3,1,28,6000,2,1051,5,2,1049,40,2,1075,2,s==27|Thưởng Mùa Thiên Ma Lai Xâm,s==111|Kính thưa Quân Chủ:<br/>Mùa này Thiên Ma xâm lăng， quốc gia ngài sở tại xếp hạng thứ {0}， xin tiếp tục cố gắng!,
4,1,4,1,28,4000,2,1051,3,2,1049,20,2,1075,1,s==27|Thưởng Mùa Thiên Ma Lai Xâm,s==111|Kính thưa Quân Chủ:<br/>Mùa này Thiên Ma xâm lăng， quốc gia ngài sở tại xếp hạng thứ {0}， xin tiếp tục cố gắng!,
5,2,1,1,28,15000,2,1050,250,,,,,,,s==37|Thưởng Bảng Anh Hùng Thiên Ma Lai Xâm,s==122|Kính thưa Quân Chủ:<br/>Mùa này Thiên Ma xâm lăng， ngài đã đạt hạng {0} trên bảng anh hùng quốc gia， xin tiếp tục cố gắng!,
6,2,2,1,28,10000,2,1050,200,,,,,,,s==37|Thưởng Bảng Anh Hùng Thiên Ma Lai Xâm,s==122|Kính thưa Quân Chủ:<br/>Mùa này Thiên Ma xâm lăng， ngài đã đạt hạng {0} trên bảng anh hùng quốc gia， xin tiếp tục cố gắng!,
7,2,3,1,28,7000,2,1050,160,,,,,,,s==37|Thưởng Bảng Anh Hùng Thiên Ma Lai Xâm,s==122|Kính thưa Quân Chủ:<br/>Mùa này Thiên Ma xâm lăng， ngài đã đạt hạng {0} trên bảng anh hùng quốc gia， xin tiếp tục cố gắng!,
8,2,4|5,1,28,5000,2,1050,130,,,,,,,s==37|Thưởng Bảng Anh Hùng Thiên Ma Lai Xâm,s==122|Kính thưa Quân Chủ:<br/>Mùa này Thiên Ma xâm lăng， ngài đã đạt hạng {0} trên bảng anh hùng quốc gia， xin tiếp tục cố gắng!,
9,2,6|10,1,28,4000,2,1050,110,,,,,,,s==37|Thưởng Bảng Anh Hùng Thiên Ma Lai Xâm,s==122|Kính thưa Quân Chủ:<br/>Mùa này Thiên Ma xâm lăng， ngài đã đạt hạng {0} trên bảng anh hùng quốc gia， xin tiếp tục cố gắng!,
10,2,11|20,1,28,3000,2,1050,90,,,,,,,s==37|Thưởng Bảng Anh Hùng Thiên Ma Lai Xâm,s==123|Kính thưa Quân Chủ:<br/>Mùa này Thiên Ma xâm lăng， ngài xếp hạng thứ {0} trên bảng anh hùng quốc gia， xin tiếp tục cố gắng!,
