heroId,priority,exStar,isShow,rewards-type-1,rewards-id-1,rewards-value-1,desc,isHideOntology,
21516,999,6|10,1,1,9,50,s==146|蔡琰，本字昭姬，东汉末陈留人。建安时期著名女诗人，才情横溢，传闻能听声判弦。\n汉末战乱，被匈奴掳走，成左贤王之妻，育有两儿；曹操感慨其才情，又是东汉大文学家蔡邕孤女，便下重金请文姬归汉；\n蔡文姬于匈奴生活十余年，不舍丈夫与儿子，但又思念故土，情思难诉，谱《胡笳十八拍》表达自己的悲痛之情。,,
21515,998,6|10,1,1,9,50,s==321|魏武帝曹操，字孟德，小名阿瞒，沛国谯县人。古代杰出的政治家、军事家、文学家、书法家。\n东汉末年权臣、太尉曹嵩的儿子，曹魏政权的奠基人。东汉末年，天下大乱。曹操以汉献帝刘协名义征讨四方，对内消灭二袁、吕布、刘表、马超、韩遂等割据势力，对外降服南匈奴、乌桓、鲜卑等，统一北方地区，扩大屯田、兴修水利、奖励农桑、重视手工业、安置流民、实行“租调制”，促进中原地区经济生产和社会稳定。\n建安十八年，获封魏公，建立魏国，定都邺城。建安二十一年，册封魏王，位在诸王之上。建安二十五年，去世，谥号为武。其子曹丕称帝，追赠武皇帝，庙号太祖。曹操喜欢用诗歌、散文抒发政治抱负，反映民生疾苦，是魏晋文学的代表人物。擅长书法，被唐朝张怀瓘《书断》评为“妙品”。,,
21512,997,6|10,1,1,9,50,s==244|于禁，字文则，泰山郡钜平县人。汉末三国时期曹魏名将。\n随曹操南征北战，立下了赫赫战功。敢于攻击不守军纪的青州兵，为了维护军法不惜杀掉自己的故友，受到曹操称赞“胜过古代名将”。关羽围攻襄樊时，亲率七军前往救援。全军覆没，被收押在南郡。黄初二年辗转返还魏国，最终官拜安远将军。被曹丕羞辱，患疾而死，谥号为厉。\n于禁带军严肃庄重，战斗中所缴获的财物从不私藏，因此深得曹操器重，是曹操所有的将领中唯一的假节钺之人。但于禁常以军法处理下属，不得士卒众心。\n后世将于禁称为曹魏“五子良将”之一。,,
21508,996,6|10,1,1,9,50,s==362|张辽字文远，雁门马邑人。汉末三国时期曹魏名将，聂壹的后人。\n起初，担任雁门郡吏。又先后跟随丁原、何进、董卓、吕布，恪尽职守，历尽坎坷。吕布败亡后，张辽归属曹操。此后，立下众多显赫的功勋。攻袁氏而转战河北。在白狼山之战率领先锋大破乌桓并斩杀乌桓单于蹋顿。驱逐辽东大将柳毅。以静制动平定军中谋反。进军江淮击灭陈兰、梅成。此后，长期镇守合肥。\n建安二十年，合肥之战，张辽率领八百将士冲击东吴十万大军，一直冲杀到孙权的主帅旗下，令东吴军队披靡溃败、闻风丧胆。又率领追兵，大破孙权、甘宁、凌统等人，差点活捉孙权。经此一役，张辽威震江东。“张辽止啼”成为流传千古的典故。\n黄初元年，张辽进封晋阳侯。染病之后，依旧令孙权非常忌惮。黄初三年，张辽抱病击破吴将吕范。同年，病逝于江都，谥曰刚侯。张辽为历代所推崇，成为古今六十四名将之一。,,
21507,995,6|10,1,1,9,50,s==130|郭嘉，字奉孝，颍川阳翟人,东汉末年曹操帐下著名谋士。\n郭嘉原为袁绍部下，后转投曹操，为曹操统一北方立下了功勋，官至军师祭酒，封洧阳亭侯。在曹操征伐乌丸时病逝，年仅三十八岁。谥曰贞侯。\n史书上称他“才策谋略，世之奇士”。曹操称赞他见识过人，是自己的“奇佐”。,,
21503,994,6|10,1,1,9,50,s==339|文昭甄皇后，相传为甄宓，史称甄夫人，中山郡无极县人，上蔡令甄逸之女，魏文帝曹丕的妻子，魏明帝曹叡的生母。\n甄氏三岁丧父。建安中期，袁绍为次子袁熙纳之为妻。建安四年袁熙出任幽州刺史，甄氏留在冀州侍奉袁绍的妻子刘氏。建安九年，曹操率军攻下邺城，甄氏因为姿貌绝伦，被曹丕所纳，甚得宠爱，生下儿子曹叡和女儿曹氏。延康元年，曹丕继位魏王，六月率军南征，甄氏被留在邺城。黄初元年，曹丕称帝，山阳公刘协进献二女为曹丕妃嫔，后宫中文德郭皇后，李贵人和阴贵人都得到宠幸，甄氏愈发失意，流露出一些怨恨的话语，曹丕大怒，黄初二年六月，遣使赐死甄氏，葬于邺城。黄初七年五月，曹丕病重，立甄氏的儿子平原王曹叡为太子。\n曹叡即位后，追谥甄氏曰文昭皇后。太和四年十二月辛未日，明帝曹叡将甄氏改葬于朝阳陵。,,
21504,993,6|10,1,1,9,50,s==84|王异，东汉末年曹操所置羌道令、益州刺史赵昂之妻，赵英、赵月之母。\n马超作乱凉州时，王异协助丈夫守城，多有功勋，自马超攻冀城至祁山坚守，赵昂曾出奇计九条，王异皆有参与。,,
21510,992,6|10,1,1,9,50,s==360|许褚，字仲康，谯国谯人。长八尺馀，腰大十围，容貌雄毅，勇力绝人。年轻时在家乡聚集了数千户人家，共同抵御贼寇。\n曾有一次因缺粮与贼寇用牛交换粮食，牛到了对方手中后又跑了回来，结果许褚单手倒拖牛尾走了百步，贼寇大惊，不敢要牛就走了。从此淮、汝、陈、梁之地，听到许褚之名都感到畏惧。\n后追随曹操，典韦战死后，主要负责曹操的护卫工作。官渡之战时发现欲谋害曹操者，将刺客全部杀掉。渭南之战时在身披重甲的情况下左手掩面，右手控船浆令曹操安然成功渡河，上岸才发现早已身中数箭，在与马超、韩遂会面时只让许褚相随，期间马超欲袭曹操，但听闻许褚之名兼怀疑从骑就是许褚，便问曹操虎侯安在，曹操指着许褚，许褚怒视马超以令他萌生退意。\n当曹操去世时许褚哭至吐血，曹丕其迁作武卫将军，负责宫中安全。曹叡继位时封其为牟乡侯，不久去世，谥曰壮侯。,,
21505,991,6|10,1,1,9,50,s==164|典韦，陈留己吾人。东汉末年名将，曹操部将，相貌魁梧，膂力过人。\n本属张邈，曾单手举起牙门旗。后转投曹操，在曹操征讨吕布时被募为陷阵，表现英勇，被拜为校尉，宿卫曹操。\n建安二年，张绣背叛曹操，典韦为保护曹操而率十余人挡叛军，击杀多人，但最终因寡不敌众而战死。\n典韦武艺卓越，被史学家潘眉评价为：雄武壮烈，不在张辽、许褚之下。,,
21502,990,6,1,1,9,50,s==378|张郃，字儁乂，河间郡鄚县人,汉末三国时期魏国名将。\n早年参与镇压黄巾起义。归属袁绍后，击破公孙瓒有功，迁宁国中郎将。参加官渡之战，被曹洪击退，随后投降曹操，授偏将军。跟随曹操攻取河北，跟随张辽定淮南，跟随夏侯渊平凉州，跟随曹操夺汉中，屡建战功。\n建安二十年末，进军巴西，迁徙民众到汉中，后被蜀将张飞击败。接任荡寇将军。建安二十三年，跟随夏侯渊在汉中定军山迎战刘备。次年正月，夏侯渊战死，张郃代理主帅，率部安全撤退。后屯陈仓。曹丕称帝后，张郃迁左将军，受封鄚县侯，跟随曹真击平安定羌胡，又随夏侯尚围攻江陵。\n太和二年，转为右将军，随曹真抵御诸葛亮，在街亭之战大破蜀国马谡，迫使诸葛亮退回汉中，迁征西车骑将军。太和五年，受司马懿所迫而领兵追击蜀军，追至木门，中箭身亡，谥曰壮侯。\n张郃用兵巧变，善列营阵，善估形势，善用地形。蜀军自诸葛亮起，皆忌惮张郃。,,
