id,stage,tecPlace,icon,properties-type-1,properties-way-1,properties-value-1,minCount,maxCount,
1,1,1,,2,0,1100,0,55,
2,1,2,,1,0,11000,0,55,
3,1,3,,7,1,15,0,55,
4,1,4,,20,1,15,0,55,
5,1,5,,8,1,15,0,55,
6,1,6,,18,1,15,0,55,
7,1,7,,19,1,15,0,55,
8,1,8,,4,0,2,0,55,
9,1,9,,17,0,4,0,55,
10,2,1,,2,0,1100,55,60,
11,2,2,,1,0,11000,55,60,
12,2,3,,7,1,15,55,60,
13,2,4,,20,1,15,55,60,
14,2,5,,8,1,15,55,60,
15,2,6,,18,1,15,55,60,
16,2,7,,19,1,15,55,60,
17,2,8,,4,0,2,55,60,
18,2,9,,17,0,4,55,60,
19,3,1,,2,0,1100,60,999,
20,3,2,,1,0,11000,60,999,
21,3,3,,7,1,15,60,999,
22,3,4,,20,1,15,60,999,
23,3,5,,8,1,15,60,999,
24,3,6,,18,1,15,60,999,
25,3,7,,19,1,15,60,999,
26,3,8,,4,0,2,60,999,
27,3,9,,17,0,4,60,999,
