id,group,tips,type,itemId,min,max,odds,fastBattle,
1,1100,,1,20,1,,5000,,
2,1100,,1,20,2,2,3000,,
3,1100,,1,20,3,3,2000,,
1010,1,s==9|1~39章道具掉落,1,9,1,1,2800,,
1020,1,,2,1001,1,1,6000,,
1030,1,,2,3001,1,1,1200,,
1040,1,,2,2211,1,1,150,,
1050,1,,2,2212,1,1,150,,
1060,1,,2,2213,1,1,150,,
1070,1,,2,2214,1,1,150,,
2010,2,s==10|40~44章道具掉落,1,9,1,1,2800,,
2020,2,,2,1001,1,1,6000,,
2030,2,,2,3002,1,1,1200,,
2040,2,,2,2211,1,1,150,,
2050,2,,2,2212,1,1,150,,
2060,2,,2,2213,1,1,150,,
2070,2,,2,2214,1,1,150,,
2080,2,,2,2221,1,1,130,,
2090,2,,2,2222,1,1,130,,
2100,2,,2,2223,1,1,130,,
2110,2,,2,2224,1,1,130,,
3010,3,s==10|45~59章道具掉落,1,9,1,1,2800,,
3020,3,,2,1001,1,1,6000,,
3030,3,,2,3002,1,1,1200,,
3040,3,,2,4010,1,1,20,2,
3050,3,,2,2211,1,1,150,,
3060,3,,2,2212,1,1,150,,
3070,3,,2,2213,1,1,150,,
3080,3,,2,2214,1,1,150,,
3090,3,,2,2221,1,1,130,,
3100,3,,2,2222,1,1,130,,
3110,3,,2,2223,1,1,130,,
3120,3,,2,2224,1,1,130,,
4010,4,s==10|60~89章道具掉落,1,9,1,1,2800,,
4020,4,,2,1001,1,1,6000,,
4030,4,,2,3002,1,1,1200,,
4040,4,,2,4010,1,1,20,2,
4050,4,,2,2211,1,1,150,,
4060,4,,2,2212,1,1,150,,
4070,4,,2,2213,1,1,150,,
4080,4,,2,2214,1,1,150,,
4090,4,,2,2221,1,1,130,,
4100,4,,2,2222,1,1,130,,
4110,4,,2,2223,1,1,130,,
4120,4,,2,2224,1,1,130,,
4130,4,,2,2311,1,1,80,,
4140,4,,2,2312,1,1,80,,
4150,4,,2,2313,1,1,80,,
4160,4,,2,2314,1,1,80,,
5010,5,s==11|90~119章道具掉落,1,9,1,1,2800,,
5020,5,,2,1001,1,1,6000,,
5030,5,,2,3002,1,1,1200,,
5040,5,,2,4010,1,1,20,2,
5050,5,,2,2211,1,1,150,,
5060,5,,2,2212,1,1,150,,
5070,5,,2,2213,1,1,150,,
5080,5,,2,2214,1,1,150,,
5090,5,,2,2221,1,1,130,,
5100,5,,2,2222,1,1,130,,
5110,5,,2,2223,1,1,130,,
5120,5,,2,2224,1,1,130,,
5130,5,,2,2311,1,1,80,,
5140,5,,2,2312,1,1,80,,
5150,5,,2,2313,1,1,80,,
5160,5,,2,2314,1,1,80,,
5170,5,,2,2321,1,1,60,,
5180,5,,2,2322,1,1,60,,
5190,5,,2,2323,1,1,60,,
5200,5,,2,2324,1,1,60,,
6010,6,s==12|120~149章道具掉落,1,9,1,1,2800,,
6020,6,,2,1001,1,1,6000,,
6030,6,,2,3008,1,1,150,,
6040,6,,2,4010,1,1,20,2,
6050,6,,2,2211,1,1,150,,
6060,6,,2,2212,1,1,150,,
6070,6,,2,2213,1,1,150,,
6080,6,,2,2214,1,1,150,,
6090,6,,2,2221,1,1,130,,
6100,6,,2,2222,1,1,130,,
6110,6,,2,2223,1,1,130,,
6120,6,,2,2224,1,1,130,,
6130,6,,2,2311,1,1,80,,
6140,6,,2,2312,1,1,80,,
6150,6,,2,2313,1,1,80,,
6160,6,,2,2314,1,1,80,,
6170,6,,2,2321,1,1,60,,
6180,6,,2,2322,1,1,60,,
6190,6,,2,2323,1,1,60,,
6200,6,,2,2324,1,1,60,,
6210,6,,2,2411,1,1,3,,
6220,6,,2,2412,1,1,3,,
6230,6,,2,2413,1,1,3,,
6240,6,,2,2414,1,1,3,,
7010,7,s==12|150~179章道具掉落,1,9,1,1,2800,,
7020,7,,2,1001,1,1,6000,,
7030,7,,2,3008,1,1,150,,
7040,7,,2,4010,1,1,20,2,
7050,7,,2,2211,1,1,150,,
7060,7,,2,2212,1,1,150,,
7070,7,,2,2213,1,1,150,,
7080,7,,2,2214,1,1,150,,
7090,7,,2,2221,1,1,130,,
7100,7,,2,2222,1,1,130,,
7110,7,,2,2223,1,1,130,,
7120,7,,2,2224,1,1,130,,
7130,7,,2,2311,1,1,80,,
7140,7,,2,2312,1,1,80,,
7150,7,,2,2313,1,1,80,,
7160,7,,2,2314,1,1,80,,
7170,7,,2,2321,1,1,60,,
7180,7,,2,2322,1,1,60,,
7190,7,,2,2323,1,1,60,,
7200,7,,2,2324,1,1,60,,
7210,7,,2,2411,1,1,3,,
7220,7,,2,2412,1,1,3,,
7230,7,,2,2413,1,1,3,,
7240,7,,2,2414,1,1,3,,
7250,7,,2,2421,1,1,2,,
7260,7,,2,2422,1,1,2,,
7270,7,,2,2423,1,1,2,,
7280,7,,2,2424,1,1,2,,
8010,8,s==12|180~209章道具掉落,1,9,1,1,2800,,
8020,8,,2,1001,1,1,6000,,
8030,8,,2,3008,1,1,150,,
8040,8,,2,4010,1,1,20,2,
8050,8,,2,2211,1,1,150,,
8060,8,,2,2212,1,1,150,,
8070,8,,2,2213,1,1,150,,
8080,8,,2,2214,1,1,150,,
8090,8,,2,2221,1,1,130,,
8100,8,,2,2222,1,1,130,,
8110,8,,2,2223,1,1,130,,
8120,8,,2,2224,1,1,130,,
8130,8,,2,2311,1,1,80,,
8140,8,,2,2312,1,1,80,,
8150,8,,2,2313,1,1,80,,
8160,8,,2,2314,1,1,80,,
8170,8,,2,2321,1,1,60,,
8180,8,,2,2322,1,1,60,,
8190,8,,2,2323,1,1,60,,
8200,8,,2,2324,1,1,60,,
8210,8,,2,2411,1,1,3,,
8220,8,,2,2412,1,1,3,,
8230,8,,2,2413,1,1,3,,
8240,8,,2,2414,1,1,3,,
8250,8,,2,2421,1,1,2,,
8260,8,,2,2422,1,1,2,,
8270,8,,2,2423,1,1,2,,
8280,8,,2,2424,1,1,2,,
8290,8,,2,2431,1,1,1,,
8300,8,,2,2432,1,1,1,,
8310,8,,2,2433,1,1,1,,
8320,8,,2,2434,1,1,1,,
9010,9,s==12|210~239章道具掉落,1,9,1,1,2800,,
9011,9,,2,1046,1,1,150,,
9020,9,,2,1001,1,1,6000,,
9030,9,,2,3008,1,1,150,,
9040,9,,2,4010,1,1,20,2,
9050,9,,2,2211,1,1,150,,
9060,9,,2,2212,1,1,150,,
9070,9,,2,2213,1,1,150,,
9080,9,,2,2214,1,1,150,,
9090,9,,2,2221,1,1,130,,
9100,9,,2,2222,1,1,130,,
9110,9,,2,2223,1,1,130,,
9120,9,,2,2224,1,1,130,,
9130,9,,2,2311,1,1,80,,
9140,9,,2,2312,1,1,80,,
9150,9,,2,2313,1,1,80,,
9160,9,,2,2314,1,1,80,,
9170,9,,2,2321,1,1,60,,
9180,9,,2,2322,1,1,60,,
9190,9,,2,2323,1,1,60,,
9200,9,,2,2324,1,1,60,,
9210,9,,2,2411,1,1,3,,
9220,9,,2,2412,1,1,3,,
9230,9,,2,2413,1,1,3,,
9240,9,,2,2414,1,1,3,,
9250,9,,2,2421,1,1,2,,
9260,9,,2,2422,1,1,2,,
9270,9,,2,2423,1,1,2,,
9280,9,,2,2424,1,1,2,,
9290,9,,2,2431,1,1,1,,
9300,9,,2,2432,1,1,1,,
9310,9,,2,2433,1,1,1,,
9320,9,,2,2434,1,1,1,,
9330,9,,2,2511,1,1,0,,
9340,9,,2,2512,1,1,0,,
9350,9,,2,2513,1,1,0,,
9360,9,,2,2514,1,1,1,,
10010,10,s==12|240~269章道具掉落,1,9,1,1,2800,,
10011,10,,2,1046,1,1,150,,
10020,10,,2,1001,1,1,6000,,
10030,10,,2,3008,1,1,150,,
10040,10,,2,4010,1,1,20,2,
10050,10,,2,2211,1,1,150,,
10060,10,,2,2212,1,1,150,,
10070,10,,2,2213,1,1,150,,
10080,10,,2,2214,1,1,150,,
10090,10,,2,2221,1,1,130,,
10100,10,,2,2222,1,1,130,,
10110,10,,2,2223,1,1,130,,
10120,10,,2,2224,1,1,130,,
10130,10,,2,2311,1,1,80,,
10140,10,,2,2312,1,1,80,,
10150,10,,2,2313,1,1,80,,
10160,10,,2,2314,1,1,80,,
10170,10,,2,2321,1,1,60,,
10180,10,,2,2322,1,1,60,,
10190,10,,2,2323,1,1,60,,
10200,10,,2,2324,1,1,60,,
10210,10,,2,2411,1,1,3,,
10220,10,,2,2412,1,1,3,,
10230,10,,2,2413,1,1,3,,
10240,10,,2,2414,1,1,3,,
10250,10,,2,2421,1,1,2,,
10260,10,,2,2422,1,1,2,,
10270,10,,2,2423,1,1,2,,
10280,10,,2,2424,1,1,2,,
10290,10,,2,2431,1,1,1,,
10300,10,,2,2432,1,1,1,,
10310,10,,2,2433,1,1,1,,
10320,10,,2,2434,1,1,1,,
10330,10,,2,2511,1,1,0,,
10340,10,,2,2512,1,1,0,,
10350,10,,2,2513,1,1,0,,
10360,10,,2,2514,1,1,1,,
10370,10,,2,2521,1,1,0,,
10380,10,,2,2522,1,1,0,,
10390,10,,2,2523,1,1,1,,
10400,10,,2,2524,1,1,0,,
11010,11,s==12|270~289章道具掉落,1,9,1,1,2800,,
11011,11,,2,1046,1,1,150,,
11020,11,,2,1001,1,1,6000,,
11030,11,,2,3008,1,1,150,,
11040,11,,2,4010,1,1,20,2,
11050,11,,2,2211,1,1,150,,
11060,11,,2,2212,1,1,150,,
11070,11,,2,2213,1,1,150,,
11080,11,,2,2214,1,1,150,,
11090,11,,2,2221,1,1,130,,
11100,11,,2,2222,1,1,130,,
11110,11,,2,2223,1,1,130,,
11120,11,,2,2224,1,1,130,,
11130,11,,2,2311,1,1,80,,
11140,11,,2,2312,1,1,80,,
11150,11,,2,2313,1,1,80,,
11160,11,,2,2314,1,1,80,,
11170,11,,2,2321,1,1,60,,
11180,11,,2,2322,1,1,60,,
11190,11,,2,2323,1,1,60,,
11200,11,,2,2324,1,1,60,,
11210,11,,2,2411,1,1,3,,
11220,11,,2,2412,1,1,3,,
11230,11,,2,2413,1,1,3,,
11240,11,,2,2414,1,1,3,,
11250,11,,2,2421,1,1,2,,
11260,11,,2,2422,1,1,2,,
11270,11,,2,2423,1,1,2,,
11280,11,,2,2424,1,1,2,,
11290,11,,2,2431,1,1,1,,
11300,11,,2,2432,1,1,1,,
11310,11,,2,2433,1,1,1,,
11320,11,,2,2434,1,1,1,,
11330,11,,2,2511,1,1,0,,
11340,11,,2,2512,1,1,0,,
11350,11,,2,2513,1,1,0,,
11360,11,,2,2514,1,1,1,,
11370,11,,2,2521,1,1,0,,
11380,11,,2,2522,1,1,0,,
11390,11,,2,2523,1,1,1,,
11400,11,,2,2524,1,1,0,,
11410,11,,2,2531,1,1,0,,
11420,11,,2,2532,1,1,1,,
11430,11,,2,2533,1,1,0,,
11440,11,,2,2534,1,1,0,,
12010,12,s==12|290~329章道具掉落,1,9,1,1,2800,,
12011,12,,2,1046,1,1,150,,
12020,12,,2,1001,1,1,6000,,
12030,12,,2,3008,1,1,150,,
12040,12,,2,4010,1,1,20,2,
12050,12,,2,2211,1,1,150,,
12060,12,,2,2212,1,1,150,,
12070,12,,2,2213,1,1,150,,
12080,12,,2,2214,1,1,150,,
12090,12,,2,2221,1,1,130,,
12100,12,,2,2222,1,1,130,,
12110,12,,2,2223,1,1,130,,
12120,12,,2,2224,1,1,130,,
12130,12,,2,2311,1,1,80,,
12140,12,,2,2312,1,1,80,,
12150,12,,2,2313,1,1,80,,
12160,12,,2,2314,1,1,80,,
12170,12,,2,2321,1,1,60,,
12180,12,,2,2322,1,1,60,,
12190,12,,2,2323,1,1,60,,
12200,12,,2,2324,1,1,60,,
12210,12,,2,2411,1,1,3,,
12220,12,,2,2412,1,1,3,,
12230,12,,2,2413,1,1,3,,
12240,12,,2,2414,1,1,3,,
12250,12,,2,2421,1,1,2,,
12260,12,,2,2422,1,1,2,,
12270,12,,2,2423,1,1,2,,
12280,12,,2,2424,1,1,2,,
12290,12,,2,2431,1,1,1,,
12300,12,,2,2432,1,1,1,,
12310,12,,2,2433,1,1,1,,
12320,12,,2,2434,1,1,1,,
12330,12,,2,2511,1,1,0,,
12340,12,,2,2512,1,1,0,,
12350,12,,2,2513,1,1,0,,
12360,12,,2,2514,1,1,1,,
12370,12,,2,2521,1,1,0,,
12380,12,,2,2522,1,1,0,,
12390,12,,2,2523,1,1,1,,
12400,12,,2,2524,1,1,0,,
12410,12,,2,2531,1,1,0,,
12420,12,,2,2532,1,1,1,,
12430,12,,2,2533,1,1,0,,
12440,12,,2,2534,1,1,0,,
12450,12,,2,2541,1,1,1,,
12460,12,,2,2542,1,1,0,,
12470,12,,2,2543,1,1,0,,
12480,12,,2,2544,1,1,0,,
13010,13,s==12|330~359章道具掉落,1,9,1,1,2800,,
13011,13,,2,1046,1,1,150,,
13012,13,,2,1058,1,1,15,,
13020,13,,2,1001,1,1,6000,,
13030,13,,2,3008,1,1,150,,
13040,13,,2,4010,1,1,20,2,
13050,13,,2,2211,1,1,150,,
13060,13,,2,2212,1,1,150,,
13070,13,,2,2213,1,1,150,,
13080,13,,2,2214,1,1,150,,
13090,13,,2,2221,1,1,130,,
13100,13,,2,2222,1,1,130,,
13110,13,,2,2223,1,1,130,,
13120,13,,2,2224,1,1,130,,
13130,13,,2,2311,1,1,80,,
13140,13,,2,2312,1,1,80,,
13150,13,,2,2313,1,1,80,,
13160,13,,2,2314,1,1,80,,
13170,13,,2,2321,1,1,60,,
13180,13,,2,2322,1,1,60,,
13190,13,,2,2323,1,1,60,,
13200,13,,2,2324,1,1,60,,
13210,13,,2,2411,1,1,3,,
13220,13,,2,2412,1,1,3,,
13230,13,,2,2413,1,1,3,,
13240,13,,2,2414,1,1,3,,
13250,13,,2,2421,1,1,2,,
13260,13,,2,2422,1,1,2,,
13270,13,,2,2423,1,1,2,,
13280,13,,2,2424,1,1,2,,
13290,13,,2,2431,1,1,1,,
13300,13,,2,2432,1,1,1,,
13310,13,,2,2433,1,1,1,,
13320,13,,2,2434,1,1,1,,
13330,13,,2,2511,1,1,0,,
13340,13,,2,2512,1,1,0,,
13350,13,,2,2513,1,1,0,,
13360,13,,2,2514,1,1,1,,
13370,13,,2,2521,1,1,0,,
13380,13,,2,2522,1,1,0,,
13390,13,,2,2523,1,1,1,,
13400,13,,2,2524,1,1,0,,
13410,13,,2,2531,1,1,0,,
13420,13,,2,2532,1,1,1,,
13430,13,,2,2533,1,1,0,,
13440,13,,2,2534,1,1,0,,
13450,13,,2,2541,1,1,1,,
13460,13,,2,2542,1,1,0,,
13470,13,,2,2543,1,1,0,,
13480,13,,2,2544,1,1,0,,
13490,13,,2,2611,1,1,0,,
13500,13,,2,2612,1,1,0,,
13510,13,,2,2613,1,1,0,,
13520,13,,2,2614,1,1,0,,
14010,14,s==12|360~369章道具掉落,1,9,1,1,2800,,
14011,14,,2,1046,1,1,150,,
14012,14,,2,1058,1,1,15,,
14020,14,,2,1001,1,1,6000,,
14030,14,,2,3008,1,1,150,,
14040,14,,2,4010,1,1,20,2,
14050,14,,2,2211,1,1,150,,
14060,14,,2,2212,1,1,150,,
14070,14,,2,2213,1,1,150,,
14080,14,,2,2214,1,1,150,,
14090,14,,2,2221,1,1,130,,
14100,14,,2,2222,1,1,130,,
14110,14,,2,2223,1,1,130,,
14120,14,,2,2224,1,1,130,,
14130,14,,2,2311,1,1,80,,
14140,14,,2,2312,1,1,80,,
14150,14,,2,2313,1,1,80,,
14160,14,,2,2314,1,1,80,,
14170,14,,2,2321,1,1,60,,
14180,14,,2,2322,1,1,60,,
14190,14,,2,2323,1,1,60,,
14200,14,,2,2324,1,1,60,,
14210,14,,2,2411,1,1,3,,
14220,14,,2,2412,1,1,3,,
14230,14,,2,2413,1,1,3,,
14240,14,,2,2414,1,1,3,,
14250,14,,2,2421,1,1,2,,
14260,14,,2,2422,1,1,2,,
14270,14,,2,2423,1,1,2,,
14280,14,,2,2424,1,1,2,,
14290,14,,2,2431,1,1,1,,
14300,14,,2,2432,1,1,1,,
14310,14,,2,2433,1,1,1,,
14320,14,,2,2434,1,1,1,,
14330,14,,2,2511,1,1,0,,
14340,14,,2,2512,1,1,0,,
14350,14,,2,2513,1,1,0,,
14360,14,,2,2514,1,1,1,,
14370,14,,2,2521,1,1,0,,
14380,14,,2,2522,1,1,0,,
14390,14,,2,2523,1,1,1,,
14400,14,,2,2524,1,1,0,,
14410,14,,2,2531,1,1,0,,
14420,14,,2,2532,1,1,1,,
14430,14,,2,2533,1,1,0,,
14440,14,,2,2534,1,1,0,,
14450,14,,2,2541,1,1,1,,
14460,14,,2,2542,1,1,0,,
14470,14,,2,2543,1,1,0,,
14480,14,,2,2544,1,1,0,,
14490,14,,2,2611,1,1,0,,
14500,14,,2,2612,1,1,0,,
14510,14,,2,2613,1,1,0,,
14520,14,,2,2614,1,1,0,,
15010,15,s==8|370~600章,1,9,1,1,2800,,
15020,15,,2,1001,1,1,6000,,
15030,15,,2,1046,1,1,150,,
15040,15,,2,1058,1,1,15,,
15050,15,,2,3008,1,1,150,,
15060,15,,2,4010,1,1,20,2,
15070,15,,2,2211,1,1,150,,
15080,15,,2,2212,1,1,150,,
15090,15,,2,2213,1,1,150,,
15100,15,,2,2214,1,1,150,,
15110,15,,2,2221,1,1,130,,
15120,15,,2,2222,1,1,130,,
15130,15,,2,2223,1,1,130,,
15140,15,,2,2224,1,1,130,,
15150,15,,2,2311,1,1,80,,
15160,15,,2,2312,1,1,80,,
15170,15,,2,2313,1,1,80,,
15180,15,,2,2314,1,1,80,,
15190,15,,2,2321,1,1,60,,
15200,15,,2,2322,1,1,60,,
15210,15,,2,2323,1,1,60,,
15220,15,,2,2324,1,1,60,,
15230,15,,2,2411,1,1,3,,
15240,15,,2,2412,1,1,3,,
15250,15,,2,2413,1,1,3,,
15260,15,,2,2414,1,1,3,,
15270,15,,2,2421,1,1,2,,
15280,15,,2,2422,1,1,2,,
15290,15,,2,2423,1,1,2,,
15300,15,,2,2424,1,1,2,,
15310,15,,2,2431,1,1,1,,
