id,type,day,activityId,rewards-type-1,rewards-id-1,rewards-value-1,weight,
1,1,1,3060,2,1185,1,,
2,1,2,3060,2,1185,1,,
3,1,3,3060,2,1185,1,,
4,1,4,3060,2,1185,1,,
5,1,5,3060,2,1185,1,,
6,1,6,3060,2,1185,2,,
7,1,7,3060,2,1185,3,,
8,2,,3060,2,3008,10,100,
9,2,,3060,2,1006,300,150,
10,2,,3060,2,1001,300,150,
11,2,,3060,2,1027,50,150,
12,2,,3060,1,8,1500000,150,
13,2,,3060,2,1003,1,50,
14,2,,3060,2,1030,1,20,
15,2,,3060,2,1029,2,50,
16,2,,3060,2,1044,2,20,
17,3,,3060,2,1004,1,,
18,3,,3060,2,1014,1,,
19,3,,3060,2,1001,500,,
20,3,,3060,2,1006,300,,
21,3,,3060,2,3008,50,,
22,4,,3060,2,1003,1,90,
23,4,,3060,2,1001,100,60,
24,4,,3060,2,1006,100,60,
25,4,,3060,2,1077,30,110,
26,4,,3060,2,1004,1,10,
27,4,,3060,2,1014,1,50,
28,4,,3060,2,1001,500,100,
29,4,,3060,2,1006,500,100,
30,4,,3060,2,1027,100,50,
31,4,,3060,2,1030,2,30,
32,4,,3060,2,1044,4,30,
33,4,,3060,2,3008,50,10,
34,1,1,3120,2,1189,1,,
35,1,2,3120,2,1189,1,,
36,1,3,3120,2,1189,1,,
37,1,4,3120,2,1189,1,,
38,1,5,3120,2,1189,1,,
39,1,6,3120,2,1189,2,,
40,1,7,3120,2,1189,3,,
41,2,,3120,2,3008,10,100,
42,2,,3120,2,1006,300,150,
43,2,,3120,2,1001,300,150,
44,2,,3120,2,1027,50,150,
45,2,,3120,1,8,1500000,150,
46,2,,3120,2,1003,1,50,
47,2,,3120,2,1030,1,20,
48,2,,3120,2,1029,2,50,
49,2,,3120,2,1044,2,20,
50,3,,3120,2,1004,1,,
51,3,,3120,2,1014,1,,
52,3,,3120,2,1001,500,,
53,3,,3120,2,1006,300,,
54,3,,3120,2,3008,50,,
55,4,,3120,2,1003,1,90,
56,4,,3120,2,1001,100,60,
57,4,,3120,2,1006,100,60,
58,4,,3120,2,1077,30,110,
59,4,,3120,2,1004,1,10,
60,4,,3120,2,1014,1,50,
61,4,,3120,2,1001,500,100,
62,4,,3120,2,1006,500,100,
63,4,,3120,2,1027,100,50,
64,4,,3120,2,1030,2,30,
65,4,,3120,2,1044,4,30,
66,4,,3120,2,3008,50,10,
