id,desc,awardType,items-type-1,items-id-1,items-value-1,
1,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
2,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>夺宝令</c><color=#259043>x1</c>。,1,2,1007,1,
3,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
4,s==59|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>铜币</c><color=#259043>x50000</c>。,1,1,8,50000,
5,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
6,s==57|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>突破石</c><color=#259043>x50</c>。,1,2,1001,50,
7,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
8,s==55|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>战书</c><color=#259043>x1</c>。,1,2,1005,1,
9,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
10,s==58|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>普通寻访令</c><color=#259043>x1</c>。,1,2,1002,1,
11,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
12,s==57|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>将印石</c><color=#259043>x50</c>。,1,2,1006,50,
13,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
14,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>夺宝令</c><color=#259043>x1</c>。,1,2,1007,1,
15,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
16,s==59|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>铜币</c><color=#259043>x50000</c>。,1,1,8,50000,
17,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
18,s==57|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>突破石</c><color=#259043>x50</c>。,1,2,1001,50,
19,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
20,s==55|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>战书</c><color=#259043>x1</c>。,1,2,1005,1,
21,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
22,s==58|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>普通寻访令</c><color=#259043>x1</c>。,1,2,1002,1,
23,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
24,s==57|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>将印石</c><color=#259043>x50</c>。,1,2,1006,50,
25,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
26,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>夺宝令</c><color=#259043>x1</c>。,1,2,1007,1,
27,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
28,s==59|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>铜币</c><color=#259043>x50000</c>。,1,1,8,50000,
29,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
30,s==57|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>突破石</c><color=#259043>x50</c>。,1,2,1001,50,
31,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
32,s==55|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>战书</c><color=#259043>x1</c>。,1,2,1005,1,
33,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
34,s==58|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>普通寻访令</c><color=#259043>x1</c>。,1,2,1002,1,
35,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
36,s==57|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>将印石</c><color=#259043>x50</c>。,1,2,1006,50,
37,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
38,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>夺宝令</c><color=#259043>x1</c>。,1,2,1007,1,
39,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
40,s==59|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>铜币</c><color=#259043>x50000</c>。,1,1,8,50000,
41,s==56|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>藏宝箱</c><color=#259043>x1</c>。,2,2,2150,1,
42,s==57|乘风踏浪，觅宝寻珍，获得<color=#d25f2c>突破石</c><color=#259043>x50</c>。,1,2,1001,50,
