id,activityId,taskGroup,includeTaskId,
1,3060,1,1001,
2,3060,1,1002,
3,3060,1,1003,
4,3060,1,1004,
5,3060,1,1005,
6,3060,1,1006,
7,3060,1,1007,
8,3060,1,1008,
9,3060,1,1009,
10,3060,1,1010,
11,3060,2,1001,
12,3060,2,1011,
13,3060,2,1012,
14,3060,2,1013,
15,3060,2,1014,
16,3060,2,1015,
17,3060,2,1016,
18,3060,2,1017,
19,3060,2,1018,
20,3060,2,1019,
21,3060,3,1001,
22,3060,3,1020,
23,3060,3,1021,
24,3060,3,1022,
25,3060,3,1023,
26,3060,3,1024,
27,3060,3,1025,
28,3060,3,1026,
29,3060,3,1027,
30,3060,3,1028,
31,3060,4,1001,
32,3060,4,1029,
33,3060,4,1030,
34,3060,4,1031,
35,3060,4,1032,
36,3060,4,1033,
37,3060,4,1034,
38,3060,4,1035,
39,3060,4,1036,
40,3060,4,1037,
41,3060,5,1001,
42,3060,5,1038,
43,3060,5,1039,
44,3060,5,1040,
45,3060,5,1041,
46,3060,5,1042,
47,3060,5,1043,
48,3060,5,1044,
49,3060,5,1045,
50,3060,5,1046,
51,3060,6,1001,
52,3060,6,1011,
53,3060,6,1012,
54,3060,6,1013,
55,3060,6,1005,
56,3060,6,1006,
57,3060,6,1007,
58,3060,6,1017,
59,3060,6,1018,
60,3060,6,1019,
61,3060,7,1001,
62,3060,7,1002,
63,3060,7,1003,
64,3060,7,1004,
65,3060,7,1005,
66,3060,7,1006,
67,3060,7,1007,
68,3060,7,1026,
69,3060,7,1027,
70,3060,7,1028,
100,3120,1,2001,
101,3120,1,2002,
102,3120,1,2003,
103,3120,1,2004,
104,3120,1,2005,
105,3120,1,2006,
106,3120,1,2007,
107,3120,1,2008,
108,3120,1,2009,
109,3120,1,2010,
110,3120,2,2001,
111,3120,2,2011,
112,3120,2,2012,
113,3120,2,2013,
114,3120,2,2014,
115,3120,2,2015,
116,3120,2,2016,
117,3120,2,2017,
118,3120,2,2018,
119,3120,2,2019,
120,3120,3,2001,
121,3120,3,2020,
122,3120,3,2021,
123,3120,3,2022,
124,3120,3,2023,
125,3120,3,2024,
126,3120,3,2025,
127,3120,3,2026,
128,3120,3,2027,
129,3120,3,2028,
130,3120,4,2001,
131,3120,4,2029,
132,3120,4,2030,
133,3120,4,2031,
134,3120,4,2032,
135,3120,4,2033,
136,3120,4,2034,
137,3120,4,2035,
138,3120,4,2036,
139,3120,4,2037,
140,3120,5,2001,
141,3120,5,2038,
142,3120,5,2039,
143,3120,5,2040,
144,3120,5,2041,
145,3120,5,2042,
146,3120,5,2043,
147,3120,5,2044,
148,3120,5,2045,
149,3120,5,2046,
150,3120,6,2001,
151,3120,6,2020,
152,3120,6,2021,
153,3120,6,2022,
154,3120,6,2023,
155,3120,6,2024,
156,3120,6,2025,
157,3120,6,2026,
158,3120,6,2027,
159,3120,6,2028,
160,3120,7,2001,
161,3120,7,2011,
162,3120,7,2012,
163,3120,7,2013,
164,3120,7,2014,
165,3120,7,2015,
166,3120,7,2016,
167,3120,7,2017,
168,3120,7,2018,
169,3120,7,2019,
