id,name,stageUpId,enchantHotId,score,enchantCost-type-1,enchantCost-id-1,enchantCost-value-1,enchantCost-type-2,enchantCost-id-2,enchantCost-value-2,returnCost-type-1,returnCost-id-1,returnCost-num-1,returnCost-type-2,returnCost-id-2,returnCost-num-2,baseProperty-type-1,baseProperty-way-1,baseProperty-value-1,baseProperty-type-2,baseProperty-way-2,baseProperty-value-2,extraProperty-type-1,extraProperty-way-1,extraProperty-value-1,extraProperty-type-2,extraProperty-way-2,extraProperty-value-2,
2665,s==21|Kình Thao Côn Ngô Đao,2669,2631,12976,2,2631,2,2,1059,5,1,9,50,,,,2,0,2436,2,1,300,1,1,400,18,1,500,
2666,s==18|Kình Thao Đầu Khôi,2670,2632,13068,2,2632,2,2,1059,5,1,9,50,,,,1,0,6351,1,1,800,2,1,500,17,1,500,
2667,s==20|Kình Thao Chiến Giáp,2671,2633,14899,2,2633,2,2,1059,5,1,9,50,,,,1,0,9790,1,1,500,2,1,500,11,1,500,
2668,s==16|Kình Thao Hộ Thủ,2672,2634,12087,2,2634,2,2,1059,5,1,9,50,,,,2,0,1580,2,1,500,1,1,400,4,0,15,
2669,s==21|Hàng Long Phục Ma Đao,2673,2641,14364,2,2641,2,2,1059,10,1,9,100,,,,2,0,2800,2,1,400,1,1,500,18,1,700,
2670,s==18|Hàng Long Đầu Khôi,2674,2642,14456,2,2642,2,2,1059,10,1,9,100,,,,1,0,12015,1,1,900,2,1,600,17,1,700,
2671,s==20|Hàng Long Chiến Giáp,2675,2643,16550,2,2643,2,2,1059,10,1,9,100,,,,1,0,18133,1,1,600,2,1,600,11,1,700,
2672,s==16|Hàng Long Hộ Thủ,2676,2644,13298,2,2644,2,2,1059,10,1,9,100,,,,2,0,1827,2,1,600,1,1,500,4,0,20,
2673,s==24|Thiên Khôi Bạo Vương Đao,,2651,17714,,,,,,,1,9,200,,,,2,0,4500,2,1,500,1,1,600,18,1,1000,
2674,s==19|Thiên Khôi Đầu Khôi,,2652,17806,,,,,,,1,9,200,,,,1,0,22055,1,1,1000,2,1,700,17,1,1000,
2675,s==21|Thiên Khôi Chiến Giáp,,2653,21144,,,,,,,1,9,200,,,,1,0,34256,1,1,800,2,1,700,11,1,1000,
2676,s==17|Thiên Khôi Hộ Thủ,,2654,15819,,,,,,,1,9,200,,,,2,0,3001,2,1,700,1,1,600,4,0,30,
2677,s==19|Ngũ Hổ Đoạt Hồn Phủ,2681,2631,12976,2,2631,2,2,1060,5,1,9,50,,,,2,0,2458,2,1,500,1,1,300,5,1,500,
2678,s==15|Ngũ Hổ Đầu Khôi,2682,2632,13068,2,2632,2,2,1060,5,1,9,50,,,,1,0,6446,1,1,700,2,1,500,23,1,500,
2679,s==17|Ngũ Hổ Chiến Giáp,2683,2633,14899,2,2633,2,2,1060,5,1,9,50,,,,1,0,9036,1,1,400,2,1,500,10,1,500,
2680,s==13|Ngũ Hổ Hộ Thủ,2684,2634,12087,2,2634,2,2,1060,5,1,9,50,,,,2,0,1639,2,1,800,1,1,300,4,0,10,
2681,s==23|Lạc Nhật Liệt Thiên Phủ,2685,2641,14364,2,2641,2,2,1060,10,1,9,100,,,,2,0,2833,2,1,600,1,1,400,5,1,700,
2682,s==17|Lạc Nhật Đầu Khôi,2686,2642,14456,2,2642,2,2,1060,10,1,9,100,,,,1,0,11600,1,1,800,2,1,600,23,1,700,
2683,s==19|Lạc Nhật Chiến Giáp,2687,2643,16550,2,2643,2,2,1060,10,1,9,100,,,,1,0,17318,1,1,500,2,1,600,10,1,700,
2684,s==15|Lạc Nhật Hộ Thủ,2688,2644,13298,2,2644,2,2,1060,10,1,9,100,,,,2,0,1888,2,1,900,1,1,400,4,0,15,
2685,s==24|Thiên Quân Diệt Thần Phủ,,2651,17714,,,,,,,1,9,200,,,,2,0,4592,2,1,800,1,1,500,5,1,1000,
2686,s==19|Thiên Quân Đầu Khôi,,2652,17806,,,,,,,1,9,200,,,,1,0,20634,1,1,900,2,1,700,23,1,1000,
2687,s==21|Thiên Quân Chiến Giáp,,2653,21144,,,,,,,1,9,200,,,,1,0,33379,1,1,700,2,1,700,10,1,1000,
2688,s==17|Thiên Quân Hộ Thủ,,2654,15819,,,,,,,1,9,200,,,,2,0,3062,2,1,1000,1,1,500,4,0,20,
2689,s==20|Chân Vũ Du Long Kiếm,2693,2631,12976,2,2631,2,2,1061,5,1,9,50,,,,2,0,2458,2,1,700,1,1,300,6,1,500,
2690,s==16|Chân Vũ Đầu Khôi,2694,2632,13068,2,2632,2,2,1061,5,1,9,50,,,,1,0,6446,1,1,600,2,1,500,8,1,500,
2691,s==18|Chân Vũ Chiến Giáp,2695,2633,14899,2,2633,2,2,1061,5,1,9,50,,,,1,0,9036,1,1,400,2,1,500,16,1,500,
2692,s==14|Chân Vũ Hộ Thủ,2696,2634,12087,2,2634,2,2,1061,5,1,9,50,,,,2,0,1639,2,1,900,1,1,300,4,0,15,
2693,s==24|Thái Huyền Thừa Ảnh Kiếm,2697,2641,14364,2,2641,2,2,1061,10,1,9,100,,,,2,0,2833,2,1,800,1,1,400,6,1,700,
2694,s==19|Thái Huyền Đầu Khôi,2698,2642,14456,2,2642,2,2,1061,10,1,9,100,,,,1,0,11600,1,1,700,2,1,600,8,1,700,
2695,s==21|Thái Huyền Chiến Giáp,2699,2643,16550,2,2643,2,2,1061,10,1,9,100,,,,1,0,17318,1,1,500,2,1,600,16,1,700,
2696,s==17|Thái Huyền Hộ Thủ,2700,2644,13298,2,2644,2,2,1061,10,1,9,100,,,,2,0,1888,2,1,1000,1,1,400,4,0,20,
2697,s==26|Hỗn Nguyên Thuần Quân Kiếm,,2651,17714,,,,,,,1,9,200,,,,2,0,4592,2,1,1000,1,1,500,6,1,1000,
