id,name,hotTarget,hotItem-type-1,hotItem-id-1,hotItem-value-1,hotSpItem,hotSpItemNum,
2631,s==30|Kiếm Thượng Phương Trấn Nguyệt,2665|2677|2689|2701,1,9,100,1059|1060|1061|1062,5,
2632,s==14|Mũ Trấn Nguyệt,2666|2678|2690|2702,1,9,100,1059|1060|1061|1062,5,
2633,s==16|Giáp Trấn Nguyệt,2667|2679|2691|2703,1,9,100,1059|1060|1061|1062,5,
2634,s==16|Găng Trấn Nguyệt,2668|2680|2692|2704,1,9,100,1059|1060|1061|1062,5,
2641,s==24|Kiếm Long Uyên Thất Tinh,2669|2681|2693|2705,1,9,200,1059|1060|1061|1062,10,
2642,s==12|Mũ Thất Tinh,2670|2682|2694|2706,1,9,200,1059|1060|1061|1062,10,
2643,s==14|Giáp Thất Tinh,2671|2683|2695|2707,1,9,200,1059|1060|1061|1062,10,
2644,s==14|Găng Thất Tinh,2672|2684|2696|2708,1,9,200,1059|1060|1061|1062,10,
2651,s==22|Kiếm Phá Thiên Thần Vũ,2673|2685|2697|2709,1,9,500,1059|1060|1061|1062,20,
2652,s==10|Mũ Thần Vũ,2674|2686|2698|2710,1,9,500,1059|1060|1061|1062,20,
2653,s==12|Giáp Thần Vũ,2675|2687|2699|2711,1,9,500,1059|1060|1061|1062,20,
2654,s==12|Găng Thần Vũ,2676|2688|2700|2712,1,9,500,1059|1060|1061|1062,20,
