id,addType,triangleNum,squareNum,circularNum,rate,group,
101,1,1,1,0,5000,1,
102,1,2,0,0,5000,1,
103,1,1,1,0,5000,2,
104,1,0,2,0,5000,2,
105,1,1,0,1,5000,3,
106,1,2,0,0,5000,3,
107,1,1,0,1,5000,4,
108,1,0,0,2,5000,4,
109,1,0,1,1,5000,5,
110,1,0,0,2,5000,5,
111,1,0,1,1,5000,6,
112,1,0,2,0,5000,6,
201,2,3,1,0,5000,1,
202,2,2,2,0,5000,1,
203,2,1,3,0,5000,2,
204,2,2,2,0,5000,2,
205,2,3,0,1,5000,3,
206,2,2,0,2,5000,3,
207,2,1,0,3,5000,4,
208,2,2,0,2,5000,4,
209,2,0,1,3,5000,5,
210,2,0,2,2,5000,5,
211,2,0,3,1,5000,6,
212,2,0,2,2,5000,6,
