id,quality,name,type,proType,proWay,proValue,changeCost,composePriority,composeConsume-type-1,composeConsume-id-1,composeConsume-value-1,composeConsume-type-2,composeConsume-id-2,composeConsume-value-2,composeConsume-type-3,composeConsume-id-3,composeConsume-value-3,decomposeGain-type-1,decomposeGain-id-1,decomposeGain-value-1,decomposeGain-type-2,decomposeGain-id-2,decomposeGain-value-2,decomposeGain-type-3,decomposeGain-id-3,decomposeGain-value-3,
61001,2,s==9|1级百分比攻击宝石,1,2,1,60,30,1,,,,,,,,,,2,1103,1,,,,,,,
61002,2,s==6|1级暴击宝石,1,5,1,60,30,,,,,,,,,,,2,1103,1,,,,,,,
61003,2,s==6|1级命中宝石,1,8,1,60,30,,,,,,,,,,,2,1103,1,,,,,,,
61004,2,s==6|1级伤增宝石,1,10,1,60,30,,,,,,,,,,,2,1103,1,,,,,,,
61005,2,s==8|1级固定攻击宝石,1,2,0,800,30,2,,,,,,,,,,2,1103,1,,,,,,,
61006,2,s==6|1级闪避宝石,2,9,1,60,30,,,,,,,,,,,2,1103,1,,,,,,,
61007,2,s==6|1级抗暴宝石,2,7,1,60,30,,,,,,,,,,,2,1103,1,,,,,,,
61008,2,s==6|1级免伤宝石,2,11,1,60,30,,,,,,,,,,,2,1103,1,,,,,,,
61009,2,s==9|1级百分比生命宝石,2,1,1,60,30,3,,,,,,,,,,2,1103,1,,,,,,,
61010,2,s==8|1级固定生命宝石,2,1,0,8000,30,4,,,,,,,,,,2,1103,1,,,,,,,
61011,2,s==6|1级抗控宝石,3,17,1,60,30,,,,,,,,,,,2,1103,1,,,,,,,
61012,2,s==6|1级控制宝石,3,16,1,60,30,,,,,,,,,,,2,1103,1,,,,,,,
61013,2,s==6|1级受疗宝石,3,19,1,60,30,,,,,,,,,,,2,1103,1,,,,,,,
61014,2,s==6|1级治疗宝石,3,18,1,60,30,,,,,,,,,,,2,1103,1,,,,,,,
61015,2,s==6|1级速度宝石,3,4,0,15,30,,,,,,,,,,,2,1103,1,,,,,,,
62001,3,s==9|2级百分比攻击宝石,1,2,1,120,60,1,2,61001,4,2,1103,4,2,1104,1,2,1103,4,2,1104,1,,,,
62002,3,s==6|2级暴击宝石,1,5,1,120,60,,2,61002,4,2,1103,4,2,1104,1,2,1103,4,2,1104,1,,,,
62003,3,s==6|2级命中宝石,1,8,1,120,60,,2,61003,4,2,1103,4,2,1104,1,2,1103,4,2,1104,1,,,,
62004,3,s==6|2级伤增宝石,1,10,1,120,60,,2,61004,4,2,1103,4,2,1104,1,2,1103,4,2,1104,1,,,,
62005,3,s==8|2级固定攻击宝石,1,2,0,1600,60,2,2,61005,4,2,1103,4,2,1104,1,2,1103,4,2,1104,1,,,,
62006,3,s==6|2级闪避宝石,2,9,1,120,60,,2,61006,4,2,1103,4,2,1104,1,2,1103,4,2,1104,1,,,,
62007,3,s==6|2级抗暴宝石,2,7,1,120,60,,2,61007,4,2,1103,4,2,1104,1,2,1103,4,2,1104,1,,,,
62008,3,s==6|2级免伤宝石,2,11,1,120,60,,2,61008,4,2,1103,4,2,1104,1,2,1103,4,2,1104,1,,,,
62009,3,s==9|2级百分比生命宝石,2,1,1,120,60,3,2,61009,4,2,1103,4,2,1104,1,2,1103,4,2,1104,1,,,,
62010,3,s==8|2级固定生命宝石,2,1,0,16000,60,4,2,61010,4,2,1103,4,2,1104,1,2,1103,4,2,1104,1,,,,
62011,3,s==6|2级抗控宝石,3,17,1,120,60,,2,61011,4,2,1103,4,2,1104,1,2,1103,4,2,1104,1,,,,
62012,3,s==6|2级控制宝石,3,16,1,120,60,,2,61012,4,2,1103,4,2,1104,1,2,1103,4,2,1104,1,,,,
62013,3,s==6|2级受疗宝石,3,19,1,120,60,,2,61013,4,2,1103,4,2,1104,1,2,1103,4,2,1104,1,,,,
62014,3,s==6|2级治疗宝石,3,18,1,120,60,,2,61014,4,2,1103,4,2,1104,1,2,1103,4,2,1104,1,,,,
62015,3,s==6|2级速度宝石,3,4,0,30,60,,2,61015,4,2,1103,4,2,1104,1,2,1103,4,2,1104,1,,,,
63001,4,s==9|3级百分比攻击宝石,1,2,1,240,120,1,2,62001,4,2,1103,8,2,1104,2,2,1103,8,2,1104,2,,,,
63002,4,s==6|3级暴击宝石,1,5,1,240,120,,2,62002,4,2,1103,8,2,1104,2,2,1103,8,2,1104,2,,,,
63003,4,s==6|3级命中宝石,1,8,1,240,120,,2,62003,4,2,1103,8,2,1104,2,2,1103,8,2,1104,2,,,,
63004,4,s==6|3级伤增宝石,1,10,1,240,120,,2,62004,4,2,1103,8,2,1104,2,2,1103,8,2,1104,2,,,,
63005,4,s==8|3级固定攻击宝石,1,2,0,3200,120,2,2,62005,4,2,1103,8,2,1104,2,2,1103,8,2,1104,2,,,,
63006,4,s==6|3级闪避宝石,2,9,1,240,120,,2,62006,4,2,1103,8,2,1104,2,2,1103,8,2,1104,2,,,,
63007,4,s==6|3级抗暴宝石,2,7,1,240,120,,2,62007,4,2,1103,8,2,1104,2,2,1103,8,2,1104,2,,,,
63008,4,s==6|3级免伤宝石,2,11,1,240,120,,2,62008,4,2,1103,8,2,1104,2,2,1103,8,2,1104,2,,,,
63009,4,s==9|3级百分比生命宝石,2,1,1,240,120,3,2,62009,4,2,1103,8,2,1104,2,2,1103,8,2,1104,2,,,,
63010,4,s==8|3级固定生命宝石,2,1,0,32000,120,4,2,62010,4,2,1103,8,2,1104,2,2,1103,8,2,1104,2,,,,
63011,4,s==6|3级抗控宝石,3,17,1,240,120,,2,62011,4,2,1103,8,2,1104,2,2,1103,8,2,1104,2,,,,
63012,4,s==6|3级控制宝石,3,16,1,240,120,,2,62012,4,2,1103,8,2,1104,2,2,1103,8,2,1104,2,,,,
63013,4,s==6|3级受疗宝石,3,19,1,240,120,,2,62013,4,2,1103,8,2,1104,2,2,1103,8,2,1104,2,,,,
