id,activityId,minDamage,maxDamage,reward-type-1,reward-id-1,reward-num-1,reward-type-2,reward-id-2,reward-num-2,
1,,0,5000000,1,8,50000,2,1006,200,
2,,5000000,10000000,1,8,60000,2,1006,300,
3,,10000000,15000000,1,8,70000,2,1006,400,
4,,15000000,20000000,1,8,80000,2,1006,500,
5,,20000000,30000000,1,8,90000,2,1006,600,
6,,30000000,50000000,1,8,100000,2,1006,700,
7,,50000000,100000000,1,8,110000,2,1006,800,
8,,100000000,300000000,1,8,120000,2,1006,900,
9,,300000000,500000000,1,8,130000,2,1006,1000,
10,,500000000,1000000000,1,8,140000,2,1006,1100,
11,,1000000000,1000000001,1,8,150000,2,1006,1200,
