id,activityId,wheel,group,item-type-1,item-id-1,item-value-1,floorNum,weight,consumeitem-type-1,consumeitem-id-1,consumeitem-value-1,
1,3013,1,1,2,1053,8,10,20,2,1140,1,
2,3013,1,1,2,1004,1,10,30,2,1140,1,
3,3013,1,1,2,1105,2,10,20,2,1140,1,
4,3013,1,1,2,1030,10,10,30,2,1140,1,
5,3013,1,1,2,1037,10,10,20,2,1140,1,
6,3013,1,1,2,1075,2,10,30,2,1140,1,
7,3013,1,2,2,1053,4,7,20,2,1140,1,
8,3013,1,2,2,1014,1,7,30,2,1140,1,
9,3013,1,2,2,1052,100,7,20,2,1140,1,
10,3013,1,2,2,1036,10,7,30,2,1140,1,
11,3013,1,2,2,1003,5,7,20,2,1140,1,
12,3013,1,2,2,1029,10,7,30,2,1140,1,
13,3013,1,3,2,1053,2,4,20,2,1140,1,
14,3013,1,3,2,1003,2,4,20,2,1140,1,
15,3013,1,3,2,1027,150,4,20,2,1140,1,
16,3013,1,3,2,1019,20,4,20,2,1140,1,
17,3013,1,3,2,1006,600,4,20,2,1140,1,
18,3013,1,3,2,1077,200,4,20,2,1140,1,
19,3013,1,4,2,1053,1,0,20,2,1140,1,
20,3013,1,4,2,1003,1,0,20,2,1140,1,
21,3013,1,4,2,1001,200,0,20,2,1140,1,
22,3013,1,4,2,1005,10,0,20,2,1140,1,
23,3013,1,4,2,1007,4,0,20,2,1140,1,
24,3013,1,4,2,1002,4,0,20,2,1140,1,
100,3100,1,1,2,1053,8,10,20,2,1195,1,
101,3100,1,1,2,1004,1,10,30,2,1195,1,
102,3100,1,1,2,1105,2,10,20,2,1195,1,
103,3100,1,1,2,1030,10,10,30,2,1195,1,
104,3100,1,1,2,1037,10,10,20,2,1195,1,
105,3100,1,1,2,1075,2,10,30,2,1195,1,
106,3100,1,2,2,1053,4,7,20,2,1195,1,
107,3100,1,2,2,1014,1,7,30,2,1195,1,
108,3100,1,2,2,1052,100,7,20,2,1195,1,
109,3100,1,2,2,1036,10,7,30,2,1195,1,
110,3100,1,2,2,1003,5,7,20,2,1195,1,
111,3100,1,2,2,1029,10,7,30,2,1195,1,
112,3100,1,3,2,1053,2,4,20,2,1195,1,
113,3100,1,3,2,1003,2,4,20,2,1195,1,
114,3100,1,3,2,1027,150,4,20,2,1195,1,
115,3100,1,3,2,1019,20,4,20,2,1195,1,
116,3100,1,3,2,1006,600,4,20,2,1195,1,
117,3100,1,3,2,1077,200,4,20,2,1195,1,
118,3100,1,4,2,1053,1,0,20,2,1195,1,
119,3100,1,4,2,1003,1,0,20,2,1195,1,
120,3100,1,4,2,1001,200,0,20,2,1195,1,
121,3100,1,4,2,1005,10,0,20,2,1195,1,
122,3100,1,4,2,1007,4,0,20,2,1195,1,
123,3100,1,4,2,1002,4,0,20,2,1195,1,
