id,lv,type,fixQualityId,fixQualityValue,fixQualityWay,gemNum,lvUpTool-type-1,lvUpTool-id-1,lvUpTool-num-1,lvUpTool-type-2,lvUpTool-id-2,lvUpTool-num-2,targetGemId,blockItem-type-1,blockItem-id-1,blockItem-num-1,blockItem-type-2,blockItem-id-2,blockItem-num-2,
1450100,0,1,2,520,0,,2,14401,2,1,8,40000,1450101,2,1016,32,2,14401,1,
1450101,1,1,2,1040,0,,2,14401,3,1,8,50000,1450102,2,1016,54,2,1450100,1,
1450102,2,1,2,1560,0,1,2,14401,1,1,8,60000,1450103,2,1016,108,2,1450100,1,
1450103,3,1,2,2080,0,1,2,14401,2,1,8,70000,1450104,2,1016,126,2,1450100,2,
1450104,4,1,2,2600,0,1,2,14401,3,1,8,80000,1450105,2,1016,162,2,1450100,3,
1450105,5,1,2,3120,0,2,2,14401,1,1,8,90000,1450106,2,1016,216,2,1450100,4,
1450106,6,1,2,3640,0,2,2,14401,2,1,8,100000,1450107,2,1016,234,2,1450100,6,
1450107,7,1,2,4160,0,2,2,14401,3,1,8,110000,1450108,2,1016,270,2,1450100,8,
1450108,8,1,2,4680,0,3,2,14401,1,1,8,120000,1450109,2,1016,306,2,1450100,10,
1450109,9,1,2,5200,0,4,2,14401,1,1,8,130000,1450110,2,1016,324,2,1450100,13,
1450110,10,1,2,5720,0,,,14401,,,,,,2,1016,342,2,1450100,17,
1450200,0,2,3,312,0,,2,14402,2,1,8,40000,1450201,2,1016,32,2,14402,1,
1450201,1,2,3,624,0,,2,14402,3,1,8,50000,1450202,2,1016,54,2,1450200,1,
1450202,2,2,3,936,0,1,2,14402,1,1,8,60000,1450203,2,1016,108,2,1450200,1,
1450203,3,2,3,1248,0,1,2,14402,2,1,8,70000,1450204,2,1016,126,2,1450200,2,
1450204,4,2,3,1560,0,1,2,14402,3,1,8,80000,1450205,2,1016,162,2,1450200,3,
1450205,5,2,3,1872,0,2,2,14402,1,1,8,90000,1450206,2,1016,216,2,1450200,4,
1450206,6,2,3,2184,0,2,2,14402,2,1,8,100000,1450207,2,1016,234,2,1450200,6,
1450207,7,2,3,2496,0,2,2,14402,3,1,8,110000,1450208,2,1016,270,2,1450200,8,
1450208,8,2,3,2808,0,3,2,14402,1,1,8,120000,1450209,2,1016,306,2,1450200,10,
1450209,9,2,3,3120,0,4,2,14402,1,1,8,130000,1450210,2,1016,324,2,1450200,13,
1450210,10,2,3,3432,0,,,14402,,,,,,2,1016,342,2,1450200,17,
1450300,0,3,4,136,0,,2,14403,2,1,8,40000,1450301,2,1016,32,2,14403,1,
1450301,1,3,4,204,0,,2,14403,3,1,8,50000,1450302,2,1016,54,2,1450300,1,
1450302,2,3,4,272,0,1,2,14403,1,1,8,60000,1450303,2,1016,108,2,1450300,1,
1450303,3,3,4,340,0,1,2,14403,2,1,8,70000,1450304,2,1016,126,2,1450300,2,
1450304,4,3,4,408,0,1,2,14403,3,1,8,80000,1450305,2,1016,162,2,1450300,3,
1450305,5,3,4,476,0,2,2,14403,1,1,8,90000,1450306,2,1016,216,2,1450300,4,
1450306,6,3,4,544,0,2,2,14403,2,1,8,100000,1450307,2,1016,234,2,1450300,6,
1450307,7,3,4,612,0,2,2,14403,3,1,8,110000,1450308,2,1016,270,2,1450300,8,
1450308,8,3,4,680,0,3,2,14403,1,1,8,120000,1450309,2,1016,306,2,1450300,10,
1450309,9,3,4,748,0,4,2,14403,1,1,8,130000,1450310,2,1016,324,2,1450300,13,
1450310,10,3,4,816,0,,,14403,,,,,,2,1016,342,2,1450300,17,
1450400,0,4,1,2832,0,,2,14404,2,1,8,40000,1450401,2,1016,32,2,14404,1,
1450401,1,4,1,5664,0,,2,14404,3,1,8,50000,1450402,2,1016,54,2,1450400,1,
1450402,2,4,1,8496,0,1,2,14404,1,1,8,60000,1450403,2,1016,108,2,1450400,1,
1450403,3,4,1,11328,0,1,2,14404,2,1,8,70000,1450404,2,1016,126,2,1450400,2,
1450404,4,4,1,14160,0,1,2,14404,3,1,8,80000,1450405,2,1016,162,2,1450400,3,
1450405,5,4,1,16992,0,2,2,14404,1,1,8,90000,1450406,2,1016,216,2,1450400,4,
1450406,6,4,1,19824,0,2,2,14404,2,1,8,100000,1450407,2,1016,234,2,1450400,6,
1450407,7,4,1,22656,0,2,2,14404,3,1,8,110000,1450408,2,1016,270,2,1450400,8,
1450408,8,4,1,25488,0,3,2,14404,1,1,8,120000,1450409,2,1016,306,2,1450400,10,
1450409,9,4,1,28320,0,4,2,14404,1,1,8,130000,1450410,2,1016,324,2,1450400,13,
1450410,10,4,1,31152,0,,,,,,,,,2,1016,342,2,1450400,17,
