id,level,fundType,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,
1,10,1,1,9,288,1,9,888,
2,20,1,1,9,288,1,9,888,
3,30,1,1,9,288,1,9,888,
4,40,1,1,9,888,1,9,1888,
5,50,1,1,9,888,1,9,1888,
6,60,1,1,9,888,1,9,1888,
7,70,1,1,9,1888,1,9,2888,
8,80,1,1,9,1888,1,9,2888,
9,90,1,1,9,2888,1,9,2888,
10,100,1,1,9,2888,1,9,2888,
11,105,2,1,9,888,1,9,3888,
12,110,2,1,9,888,1,9,2888,
13,115,2,1,9,888,1,9,2888,
14,120,2,1,9,2888,1,9,5888,
15,125,2,1,9,2888,1,9,5888,
16,130,2,1,9,2888,1,9,5888,
17,135,2,1,9,5888,1,9,8888,
18,140,2,1,9,5888,1,9,8888,
19,145,2,1,9,8888,1,9,8888,
20,150,2,1,9,8888,1,9,8888,
21,155,3,1,9,5888,1,9,6888,
22,160,3,1,9,6888,1,9,6888,
23,165,3,1,9,8888,1,9,8888,
24,170,3,1,9,8888,1,9,8888,
25,175,3,1,9,8888,1,9,8888,
26,180,3,1,9,10888,1,9,10888,
27,185,3,1,9,10888,1,9,10888,
28,190,3,1,9,12888,1,9,12888,
29,195,3,1,9,12888,1,9,12888,
30,200,3,1,9,12888,1,9,12888,
