lv,equipQualityStar,heroStar,heroAdvanced,unionTechnology,counsellor,warriorSignet,equipEx,
0,,,100,,,,,
1,,100,200,,100,700,,
2,,200,1000,5,200,1550,,
3,,300,2000,,300,3300,500,
4,,400,3000,,400,5950,1000,
5,,500,4000,13,500,9500,1500,
6,,600,5000,,600,,,
7,,700,,,700,,,
8,,800,,,800,,,
9,,900,,,900,,,
10,,1000,,,1000,,,
11,,2000,,,1100,,,
12,,2200,,,1200,,,
13,,2400,,,1300,,,
14,,,,,1400,,,
15,,,,,1500,,,
16,,,,,1600,,,
17,,,,,1700,,,
18,,,,,1800,,,
19,,,,,1900,,,
20,,,,,2000,,,
21,64,,,,2100,,,
22,78,,,,2200,,,
23,,,,,2300,,,
24,,,,,2400,,,
25,,,,,2500,,,
26,,,,,2600,,,
27,,,,,2700,,,
28,,,,,2800,,,
29,,,,,2900,,,
30,,,,,3000,,,
31,133,,,,3100,,,
32,168,,,,3200,,,
33,,,,,3300,,,
34,,,,,3400,,,
35,,,,,3500,,,
36,,,,,3600,,,
37,,,,,3700,,,
38,,,,,3800,,,
39,,,,,3900,,,
40,,,,,4000,,,
41,332,,,,4100,,,
42,430,,,,4200,,,
43,533,,,,4300,,,
44,,,,,4400,,,
45,,,,,4500,,,
46,,,,,4600,,,
47,,,,,4700,,,
48,,,,,4800,,,
49,,,,,4900,,,
50,,,,,5000,,,
51,822,,,,5100,,,
52,1000,,,,5200,,,
53,1181,,,,5300,,,
54,1350,,,,5400,,,
55,,,,,5500,,,
56,,,,,5600,,,
57,,,,,5700,,,
58,,,,,5800,,,
59,,,,,5900,,,
60,,,,,6000,,,
61,1815,,,,6100,,,
62,2830,,,,6200,,,
63,3845,,,,6300,,,
64,4860,,,,6400,,,
65,5875,,,,6500,,,
66,,,,,6600,,,
67,,,,,6700,,,
68,,,,,6800,,,
69,,,,,6900,,,
70,,,,,7000,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,7430,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
