id,desc,awardType,items-type-1,items-id-1,items-value-1,
1,s==62|美酒甘醇，且饮且行，游历四方，获得<color=#d25f2c>奇遇礼盒</c><color=#259043>x1</c>。,2,2,1996,1,
2,s==61|美酒甘醇，且饮且行，游历四方，获得<color=#d25f2c>夺宝令</c><color=#259043>x1</c>。,1,2,1007,1,
3,s==62|美酒甘醇，且饮且行，游历四方，获得<color=#d25f2c>奇遇礼盒</c><color=#259043>x1</c>。,2,2,1996,1,
4,s==64|美酒甘醇，且饮且行，游历四方，获得<color=#d25f2c>铜币</c><color=#259043>x50000</c>。,1,1,8,50000,
5,s==62|美酒甘醇，且饮且行，游历四方，获得<color=#d25f2c>奇遇礼盒</c><color=#259043>x1</c>。,2,2,1996,1,
6,s==62|美酒甘醇，且饮且行，游历四方，获得<color=#d25f2c>突破石</c><color=#259043>x50</c>。,1,2,1001,50,
7,s==62|美酒甘醇，且饮且行，游历四方，获得<color=#d25f2c>奇遇礼盒</c><color=#259043>x1</c>。,2,2,1996,1,
8,s==60|美酒甘醇，且饮且行，游历四方，获得<color=#d25f2c>战书</c><color=#259043>x1</c>。,1,2,1005,1,
9,s==62|美酒甘醇，且饮且行，游历四方，获得<color=#d25f2c>奇遇礼盒</c><color=#259043>x1</c>。,2,2,1996,1,
10,s==63|美酒甘醇，且饮且行，游历四方，获得<color=#d25f2c>普通寻访令</c><color=#259043>x1</c>。,1,2,1002,1,
11,s==62|美酒甘醇，且饮且行，游历四方，获得<color=#d25f2c>奇遇礼盒</c><color=#259043>x1</c>。,2,2,1996,1,
12,s==62|美酒甘醇，且饮且行，游历四方，获得<color=#d25f2c>将印石</c><color=#259043>x50</c>。,1,2,1006,50,
13,s==62|美酒甘醇，且饮且行，游历四方，获得<color=#d25f2c>奇遇礼盒</c><color=#259043>x1</c>。,2,2,1996,1,
14,s==61|美酒甘醇，且饮且行，游历四方，获得<color=#d25f2c>夺宝令</c><color=#259043>x1</c>。,1,2,1007,1,
