id,changeType,rounds,roundsrewards-type-1,roundsrewards-id-1,roundsrewards-value-1,roundsrewards-type-2,roundsrewards-id-2,roundsrewards-value-2,roundsrewards-type-3,roundsrewards-id-3,roundsrewards-value-3,needNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,1,1,1,9,50,2,1173,1,,,,1,1,9,50,1,8,50000,,,,
2,1,1,,,,,,,,,,5,2,1173,1,1,8,100000,,,,
3,1,1,,,,,,,,,,10,1,9,50,1,8,150000,,,,
4,1,1,,,,,,,,,,16,2,1173,1,1,8,200000,,,,
5,1,1,,,,,,,,,,22,1,9,50,1,8,250000,,,,
6,1,1,,,,,,,,,,28,2,1173,1,1,8,300000,,,,
7,1,2,1,9,50,2,1173,1,,,,34,1,9,50,1,8,350000,,,,
8,1,2,,,,,,,,,,40,2,1173,1,1,8,400000,,,,
9,1,2,,,,,,,,,,46,1,9,50,1,8,450000,,,,
10,1,2,,,,,,,,,,52,2,1173,1,1,8,500000,,,,
11,1,2,,,,,,,,,,58,1,9,50,1,8,550000,,,,
12,1,2,,,,,,,,,,64,2,1173,1,1,8,600000,,,,
13,1,3,1,9,100,2,1173,1,,,,70,1,9,50,1,8,650000,,,,
14,1,3,,,,,,,,,,76,2,1173,1,1,8,700000,,,,
15,1,3,,,,,,,,,,82,1,9,50,1,8,750000,,,,
16,1,3,,,,,,,,,,88,2,1173,1,1,8,800000,,,,
17,1,3,,,,,,,,,,94,1,9,150,2,30028,1,,,,
18,1,3,,,,,,,,,,100,2,1173,1,1,8,900000,,,,
19,1,4,1,9,100,2,1173,1,,,,106,1,9,250,1,8,1000000,,,,
20,1,4,,,,,,,,,,112,2,1173,1,1,8,1200000,,,,
21,1,4,,,,,,,,,,118,1,9,300,1,8,1300000,,,,
22,1,4,,,,,,,,,,124,2,1173,1,1,8,1400000,,,,
23,1,4,,,,,,,,,,130,1,9,300,1,8,1500000,,,,
24,1,4,,,,,,,,,,136,2,1173,1,1,8,1600000,,,,
25,1,5,1,9,200,2,1173,1,,,,142,1,9,300,1,8,1700000,,,,
26,1,5,,,,,,,,,,148,2,1173,1,1,8,1800000,,,,
27,1,5,,,,,,,,,,154,1,9,300,1,8,2000000,,,,
28,1,5,,,,,,,,,,160,2,1173,1,1,8,2500000,,,,
29,1,5,,,,,,,,,,166,1,9,300,1,8,3000000,,,,
30,1,5,,,,,,,,,,172,2,1173,1,1,8,3500000,,,,
31,2,,,,,,,,,,,3000,2,1173,1,2,1003,2,,,,
32,2,,,,,,,,,,,6000,2,1173,1,2,1003,2,,,,
33,2,,,,,,,,,,,10000,2,1173,1,2,6270001,1,,,,
34,2,,,,,,,,,,,15000,2,1173,1,2,1003,2,,,,
35,2,,,,,,,,,,,21000,2,1173,1,2,1003,2,,,,
36,2,,,,,,,,,,,28000,2,1173,1,2,1003,2,,,,
37,2,,,,,,,,,,,36000,2,1173,1,2,1003,2,,,,
