pageid,pagelv,systemId,task,afterMergeVersionsOpen,toSystem,guideConditionId,
1010,5,,1010|1011,,-1,,
1020,8,,1020|1021,,-1,,
1030,12,,1030|1031,,-1,,
1040,12,,1040|1041,,-1,,
1050,13,,1050|1051,,-1,,
1060,15,,1060|1061,,-1,,
1070,16,,1070|1071,,-1,,
1080,18,,1080|1081,,-1,,
1090,20,,1090|1091,,-1,,
1100,20,,1100|1101,,-1,,
1110,25,,1110|1111,,-1,,
1120,30,,1120|1121,,-1,,
1125,35,,14200|14201,,6745,44,
1130,35,,1130|1131,,-1,,
1140,40,,1140|1141,,-1,,
1150,40,,1150|1151,,-1,,
1160,45,,1160|1161,,-1,,
1170,50,,1170|1171,,-1,,
1180,50,,1180|1181,,-1,,
1190,55,,1190|1191,,-1,,
1200,60,,1210|1211,,-1,,
1210,60,,1220|1221,,-1,,
1220,65,,1230|1231,,-1,,
1230,71,,1240|1241,,-1,,
1240,71,,1250|1251,,-1,,
1250,75,,1270|1271,,-1,,
1260,78,,1280|1281,,-1,,
1270,82,,1200|1201,,-1,,
1280,82,,1330|1331,,-1,,
1281,95,,1340|1341,,-1,,
1290,104,,1300|1301,,-1,,
1300,104,,1310|1311,,-1,,
1310,104,,1320|1321,,-1,,
1330,100,,1290|1291,,-1,,
1340,105,,1260|1261,,-1,,
1341,105,,13410|13411,,-1,,
1342,105,,13420|13421,,-1,,
1343,105,,13430|13431,,6850,46,
1350,115,,1380|1381,,-1,,
1351,120,,13840|13841,,3005,,
1352,120,,13850|13851,,3002,,
1360,125,,1350|1351,,-1,,
1361,125,,14190|14191,,6620,,
1370,126,,1370|1371,,-1,,
1371,135,6310,14170|14171,,-1,,
1372,135,6351,14160|14161,1,-1,,
1373,135,,14179,,6500,,
1375,140,6400,14180|14181,,6400,38,
1376,140,,13440|13441,,-1,,
1377,150,,14150|14151,,5021,,
1378,150,,14140|14141,,5010,,
1379,160,,13860|13855,,3940,,
1386,165,,1360|1361,,-1,,
1387,165,,41460|41461,,-1,,
1388,165,,13450|13451,,6950,53,
1390,150,,1390|1391,,-1,,
1400,160,,1400|1401,,-1,,
1410,170,,1410|1411,,-1,,
1420,200,,1420|1421,,-1,,
1430,200,,1430|1431,,-1,,
