taskID,type,taskdesc,desc,tasklv,openDay,SystemOpen,targets-targetType-1,targets-targetId-1,targets-targetValue-1,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1010,1,s==18|Quân chủ đạt cấp 5,s==7|Hữu hảo,1,,-1,201,0,5,1,9,50,,,,,,,
1020,1,s==18|Quân chủ đạt cấp 8,s==10|Trường tập,1,,-1,201,0,8,1,9,50,,,,,,,
1030,1,s==19|Quân chủ đạt cấp 12,s==5|Hạ dã,1,,-1,201,0,12,1,9,50,,,,,,,
1040,1,s==19|Quân chủ đạt cấp 12,s==6|Kỳ Ngộ,1,,-1,201,0,12,1,9,50,,,,,,,
1050,1,s==19|Quân chủ đạt cấp 13,s==12|Đoán tạo đài,1,,-1,201,0,13,1,9,50,,,,,,,
1060,1,s==19|Quân chủ đạt cấp 15,s==10|Chiến dịch,1,,-1,201,0,15,1,9,50,,,,,,,
1070,1,s==19|Quân chủ đạt cấp 16,s==16|Thông Thiên Tháp,1,,-1,201,0,16,1,9,50,,,,,,,
1080,1,s==19|Quân chủ đạt cấp 18,s==9|Quân Đoàn,1,,-1,201,0,18,1,9,50,,,,,,,
1090,1,s==19|Quân chủ đạt cấp 20,s==8|Đoạt Bảo,1,,-1,201,0,20,1,9,50,,,,,,,
1100,1,s==19|Quân chủ đạt cấp 20,s==11|Tụ Hiền Các,1,,-1,201,0,20,1,9,50,,,,,,,
1110,1,s==19|Quân chủ đạt cấp 25,s==22|Huyết chiến Trường Bản,1,,-1,201,0,25,1,9,50,,,,,,,
1120,1,s==19|Quân chủ đạt cấp 30,s==15|Thiên Lý Đơn Kỵ,1,,-1,201,0,30,1,9,50,,,,,,,
1130,1,s==19|Quân chủ đạt cấp 35,s==12|Vũ Thần Điện,1,,-1,201,0,35,1,9,50,,,,,,,
1140,1,s==19|Quân chủ đạt cấp 40,s==7|Mỹ nhân,1,,-1,201,0,40,1,9,50,,,,,,,
1150,1,s==19|Quân chủ đạt cấp 40,s==17|Tào vận phong vân,1,,-1,201,0,40,1,9,50,,,,,,,
1160,1,s==19|Quân chủ đạt cấp 45,s==20|Chuyển Sinh Thần Đàn,1,,-1,201,0,45,1,9,50,,,,,,,
1170,1,s==19|Quân chủ đạt cấp 50,s==23|Thiên đài xếp hạng trận,1,,-1,201,0,50,1,9,50,,,,,,,
1180,1,s==19|Quân chủ đạt cấp 50,s==7|Chú hồn,1,,-1,201,0,50,1,9,50,,,,,,,
1190,1,s==19|Quân chủ đạt cấp 55,s==16|Hổ Lao Chi Chiến,1,,-1,201,0,55,1,9,50,,,,,,,
1200,1,s==19|Quân chủ đạt cấp 82,s==24|Khoáng Trường Chiếm Đoạt,1,,-1,201,0,82,1,9,50,,,,,,,
1210,1,s==19|Quân chủ đạt cấp 60,s==7|Bảo vật,1,,-1,201,0,60,1,9,50,,,,,,,
1220,1,s==19|Quân chủ đạt cấp 60,s==19|Kinh Châu Chi Chiến,1,,-1,201,0,60,1,9,50,,,,,,,
1230,1,s==19|Quân chủ đạt cấp 65,s==9|Viện Quân,1,,-1,201,0,65,1,9,50,,,,,,,
1240,1,s==19|Quân chủ đạt cấp 71,s==9|Chiến hồn,1,,-1,201,0,71,1,9,50,,,,,,,
1250,1,s==19|Quân chủ đạt cấp 71,s==10|Viễn Chinh,1,,-1,201,0,71,1,9,50,,,,,,,
1260,1,s==20|Quân chủ đạt cấp 105,s==24|Đỉnh Phong Đối Quyết Tái,1,,-1,201,0,105,1,9,50,,,,,,,
1270,1,s==19|Quân chủ đạt cấp 75,s==15|Man di xâm nhập,1,,-1,201,0,75,1,9,50,,,,,,,
1280,1,s==19|Quân chủ đạt cấp 78,s==18|Liên Minh Đối Trận,1,,-1,201,0,78,1,9,50,,,,,,,
1290,1,s==20|Quân chủ đạt cấp 100,s==19|Công thành lược địa,1,,-1,201,0,100,1,9,50,,,,,,,
1300,1,s==20|Quân chủ đạt cấp 104,s==21|Bắc phạt Trung Nguyên,1,,-1,201,0,104,1,9,50,,,,,,,
1310,1,s==20|Quân chủ đạt cấp 104,s==15|Thánh đàn tế tự,1,,-1,201,0,104,1,9,50,,,,,,,
1320,1,s==20|Quân chủ đạt cấp 104,s==8|Phụ kiện,1,,-1,201,0,104,1,9,50,,,,,,,
1330,1,s==19|Quân chủ đạt cấp 82,s==9|Bảo thạch,1,,-1,201,0,82,1,9,50,,,,,,,
1340,1,s==19|Quân chủ đạt cấp 95,s==19|Hợp Tòng Liên Hoành,1,,-1,201,0,95,1,9,50,,,,,,,
13410,1,s==20|Quân chủ đạt cấp 105,s==12|Tam Quốc chí,1,,-1,201,0,105,1,9,50,,,,,,,
13420,1,s==20|Quân chủ đạt cấp 105,s==20|Thiên Mệnh Thách Đấu,1,,-1,201,0,105,1,9,50,,,,,,,
1350,1,s==20|Quân chủ đạt cấp 125,s==9|Trận Pháp,1,,-1,201,0,125,1,9,50,,,,,,,
1360,1,s==20|Quân chủ đạt cấp 165,s==13|Tướng hồn chí,1,,-1,201,0,165,1,9,50,,,,,,,
1370,1,s==20|Quân chủ đạt cấp 126,s==9|Phó tướng,1,,-1,201,0,126,1,9,50,,,,,,,
1380,1,s==20|Quân chủ đạt cấp 115,s==6|Kỳ Thư,1,,-1,201,0,115,1,9,50,,,,,,,
1390,1,s==20|Quân chủ đạt cấp 300,s==17|Thất Man Chi Loạn,1,,-1,201,0,300,1,9,50,,,,,,,
1400,1,s==20|Quân chủ đạt cấp 300,s==19|Quần Hùng Tranh Lộc,1,,-1,201,0,300,1,9,50,,,,,,,
1410,1,s==20|Quân chủ đạt cấp 300,s==18|Cửu Châu thử luyện,1,,-1,201,0,300,1,9,50,,,,,,,
1420,1,s==20|Quân chủ đạt cấp 300,s==13|Tụ nghĩa sảnh,1,,-1,201,0,300,1,9,50,,,,,,,
1430,1,s==20|Quân chủ đạt cấp 200,s==13|Phá Vỡ Cấp Độ,1,,-1,201,0,200,1,9,50,2,3008,50,,,,
13840,1,s==20|Quân chủ đạt cấp 120,s==15|Du mục đào viên,1,50,-1,201,0,120,1,9,50,,,,,,,
13850,1,s==20|Quân chủ đạt cấp 120,s==20|Chiến mã dưỡng thành,1,50,-1,201,0,120,1,9,50,,,,,,,
13860,1,s==20|Quân chủ đạt cấp 160,s==19|Tinh Luyện Trang Bị,1,120,-1,201,0,160,1,9,50,,,,,,,
1011,2,s==15|Thêm 3 bằng hữu,s==7|Hữu hảo,5,,-1,343,0,3,1,9,50,1,12,300,,,,
1021,2,s==22|Trường đấu tỉ võ 5 lần,s==10|Trường tập,8,,-1,104,0,5,1,9,50,2,1005,5,,,,
1031,2,s==13|Hạ dã 3 tướng,s==5|Hạ dã,12,,-1,213,0,3,1,9,50,2,1001,300,,,,
1041,2,s==28|Nhận 3 lần nhiệm vụ kỳ duyên,s==6|Kỳ Ngộ,12,,-1,110,0,3,1,9,50,2,1003,2,,,,
1051,2,s==24|Hợp thành trang bị 5 lần,s==12|Đoán tạo đài,13,,-1,516,0,5,1,9,50,2,2411,1,2,2412,1,
1061,2,s==35|Thường nhật phụ bản thử thách 3 lần,s==10|Chiến dịch,15,,-1,111,0,3,1,9,50,2,3002,30,,,,
1071,2,s==29|Thông thiên tháp vượt tầng 10,s==16|Thông Thiên Tháp,16,,-1,308,0,10,1,9,50,2,1001,50,,,,
