id,name,time,iconid,armpoint,addPro-type-1,addPro-way-1,addPro-value-1,addPro-type-2,addPro-way-2,addPro-value-2,addPro-type-3,addPro-way-3,addPro-value-3,addPro-type-4,addPro-way-4,addPro-value-4,ActivatioCondition,convert,useLimit,dwkShow,hideKuang,
30001,s==23|Khung Ảnh Đại Nguyên Sơ,0,30001,,,,,,,,,,,,,,s==21|Mặc Định Đã Kích Hoạt,,,,,
30006,s==17|Anh Hùng Loạn Thế,0,30006,,,,,,,,,,,,,,s==21|Mặc Định Đã Kích Hoạt,,,,,
30003,s==16|Tài Năng Vô Song,0,30003,,,,,,,,,,,,,,s==47|Thu Thập Đợt Một Hoạt Động Quần Hùng Khởi Nghĩa,,,,,
30004,s==17|Kỹ Pháp Trong Tâm,0,30004,,,,,,,,,,,,,,s==47|Thu Thập Đợt Hai Hoạt Động Quần Hùng Khởi Nghĩa,,,,,
30005,s==15|Khai Phá Đại Đồ,0,30005,,,,,,,,,,,,,,s==46|Thu Thập Đợt Ba Hoạt Động Quần Hùng Khởi Nghĩa,,,,,
30009,s==18|Khinh Thân Vì Quốc,0,30009,,,,,,,,,,,,,,s==47|Thu Thập Đợt Bốn Hoạt Động Quần Hùng Khởi Nghĩa,,,,,
30011,s==17|Thiên Túng Kỳ Tài,0,30011,,,,,,,,,,,,,,s==47|Thu Thập Đợt Năm Hoạt Động Quần Hùng Khởi Nghĩa,,,,,
30014,s==19|Trung Can Nghĩa Đảm,0,30014,,,,,,,,,,,,,,s==47|Thu Thập Đợt Sáu Hoạt Động Quần Hùng Khởi Nghĩa,,,,,
30013,s==18|Tâm Tưởng Sự Thành,0,30013,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,,,,,
30007,s==18|Danh Tiếng Vun Đắp,907200,30007,,,,,,,,,,,,,,s==116|Khi kết thúc mùa thi đấu đỉnh phong， đạt hạng “Chư Tử Vương III” trở lên sẽ nhận được 。 có hiệu lực nửa mùa hiện tại,,,,,
30012,s==17|Vương Hầu Thế Gia,0,30012,,,,,,,,,,,,,,s==14|Đạt VIP10 Nhận,,,,,
30016,s==16|Cao Quan Hiển Vị,0,30016,,,,,,,,,,,,,,s==13|Đạt VIP5 Nhận,,,,,
30010,s==16|Thiên Hạ Vô Song,604800,30010,,,,,,,,,,,,,,s==34|Xếp Hạng Nhất Tuần Trường Đấu Nhận,,,,,
30015,s==21|Trục Lộc Trung Nguyên,604800,30015,,,,,,,,,,,,,,s==33|Xếp Hạng Nhì Tuần Trường Đấu Nhận,,,,,
30008,s==17|Thanh Mai Chử Tửu,604800,30008,,,,,,,,,,,,,,s==32|Xếp Hạng Ba Tuần Trường Đấu Nhận,,,,,
30021,s==17|Thanh Vũ Đạp Xuân,0,30021,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30101|1,,,,
30022,s==16|Ma Long Hiện Thế,0,30022,,,,,,,,,,,,,,s==26|Mua Tại Thương Thành Bỉ Võ,,,,,
30023,s==22|Thủy Thiên Thanh Thoại,0,30023,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30102|1,,,,
30024,s==19|Miêu Duyên Dữ Thành,0,30024,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30103|1,,,,
30025,s==20|Thịnh Hạ Dưỡng Phong,0,30025,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30104|1,,,,
30026,s==18|Phong Ma Chiêu Thế,0,30026,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30105|1,,,,
30027,s==19|Hoa Hảo Nguyệt Viên,0,30027,,,,,,,,,,,,,,s==23|Đoạt được qua hoạt động,2|30106|1,,,,
