id,showOpen,monsterType,heroSpType,name,nation,quality,star,sex,atkType,type,recTactics,chipId,upStarId,skills%1,skills%2,skills%3,skills%4,skills%5,skillsLabel%1,skillsLabel%2,skillsLabel%3,skillsLabel%4,deadSound,ardersound1,ardersound2,smallBody,smallBodyBlock,bodyArmature,bodyIconBlock,bodyIcon,employee,scale,coordinates,headIcon,armature,idleArmature,hurtArmature,deadArmature,runArmature,runAtkArmature,topPos,midPos,botPos,bombPos,property%1,property%2,property%3,property%4,property%5,property%6,property%7,property%8,property%9,property%10,property%11,property%12,property%13,property%14,property%15,property%16,property%17,property%18,property%19,property%20,property%21,property%22,property%23,property%24,property%25,heroDesc,heroTalent,palaceSkill,openTime,fieldSkillSlotId,
21101,0,,,s==2|魏兵,1,1,1,1,1,1,1,,,2110111,2110121,,,,s==11|101|204|317,s==3|103,,,,211011,211012,2110100,2110100,21101,211010,211010,s==3|0|0,s==3|1|1,s==3|0|0,21101,211010,2110101,2110102,2110103,2110104,2110105,0|250,0|90,0|0,0|100,715,105,24,42,0,3000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,s==5|魏兵(替),1,,1,,
21201,0,,,s==2|曹昂,1,2,2,1,1,2,2,,,2120111,2120121,2120131,,,s==11|101|204|317,s==3|103,,,,212011,212012,2120100,2120100,21201,212010,212010,s==3|0|0,s==3|1|1,s==3|0|0,21201,212010,2120101,2120102,2120103,2120104,2120105,0|265,0|90,0|0,0|120,1172,111,24,54,0,3000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,s==2|曹昂,1,,1,,
21301,0,,,s==2|乐进,1,3,3,1,1,1,1,21301,,2130111,2130121,2130131,,,s==7|101|204,s==3|103,,,,213011,213012,2130100,2130100,21301,213010,213010,s==3|0|0,s==3|1|1,s==3|0|0,21301,213010,2130101,2130102,2130103,2130104,2130105,0|270,0|90,0|0,0|115,915,121,36,72,0,3000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,s==2|乐进,1,,1,,
21401,1,,,s==2|荀攸,1,4,4,1,1,3,3,21401,214011,2140111,2140121,2140131,2140141,,s==11|102|204|317,s==3|103,s==7|103|301,,,214011,214012,2140100,2140100,21401,214010,214010,s==3|0|0,s==3|1|1,s==3|0|0,21401,214010,2140101,2140102,2140103,2140104,2140105,0|260,0|90,0|0,0|110,905,115,35,73,0,3000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,s==5|荀攸(替),1,,1,,
21402,1,,,s==2|杨修,1,4,4,1,2,3,3,21402,214021,2140211,2140221,2140231,2140241,,s==11|102|204|201,s==3|103,s==7|102|204,,,214021,214022,2140200,2140200,21402,214020,214020,s==3|0|0,s==3|1|1,s==3|0|0,21402,214020,2140201,2140202,2140203,2140204,2140205,0|260,0|90,0|0,0|110,1007,136,40,82,0,3000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,s==2|杨修,1,,1,,
21403,1,,,s==2|徐晃,1,4,4,1,1,2,2,21403,214031,2140311,2140321,2140331,2140341,,s==11|101|204|306,s==3|103,s==11|101|205|301,,,214031,214032,2140300,2140300,21403,214030,214030,s==3|0|0,s==3|1|1,s==3|0|0,21403,214030,2140301,2140302,2140303,2140304,2140305,0|280,0|90,0|0,0|115,1498,97,42,83,0,3000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,s==5|徐晃(替),1,,1,,
21404,1,,,s==3|夏侯渊,1,4,4,1,1,1,1,21404,214041,2140411,2140421,2140431,2140441,,s==11|102|204|301,s==3|103,s==7|101|204,,,214041,214042,2140400,2140400,21404,214040,214040,s==3|0|0,s==3|1|1,s==3|0|0,21404,214040,2140401,2140402,2140403,2140404,2140405,0|255,0|90,0|0,0|105,1018,143,41,81,0,3000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,s==3|夏侯渊,1,,1,,
21405,1,,,s==2|许攸,1,5,5,1,1,1,1,21405,214051,2140511,2140521,2140531,2140541,,s==11|101|204|317,s==3|103,s==11|102|204|317,,,214051,214052,2140500,2140500,21405,214050,214050,s==3|0|0,s==3|1|1,s==3|0|0,21405,214050,2140501,2140502,2140503,2140504,2140505,0|255,0|90,0|0,0|105,1403,220,53,118,0,3000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,s==2|许攸,1,,1,,
21501,1,,,s==2|庞德,1,5,5,1,1,1,1,21501,215011,2150111,2150121,2150131,2150141,,s==11|102|204|317,s==3|103,s==11|101|204|201,,,215011,215012,2150100,2150100,21501,215010,215010,s==3|0|0,s==3|1|1,s==3|0|0,21501,215010,2150101,2150102,2150103,2150104,2150105,0|260,0|90,0|0,0|110,1403,220,53,118,0,3000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,s==2|庞德,1,,1,,
21502,1,,,s==2|张郃,1,5,5,1,1,1,1,21502,215021,2150211,2150221,2150231,2150241,,s==11|102|204|306,s==3|103,s==11|101|204|301,,,215021,215022,2150200,2150200,21502,215020,215020,s==3|0|0,s==3|1|1,s==3|0|0,21502,215020,2150201,2150202,2150203,2150204,2150205,0|260,0|90,0|0,0|110,1375,223,51,121,0,3000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,s==2|张郃,1,,1,,
