id,dressType,isShow,itemId,heroId,changedHeroId,name,addPros-type-1,addPros-way-1,addPros-value-1,addPros-type-2,addPros-way-2,addPros-value-2,addPros-type-3,addPros-way-3,addPros-value-3,addPros-type-4,addPros-way-4,addPros-value-4,recovery-type-1,recovery-id-1,recovery-value-1,desc,addHp,addAtk,force-type-1,force-id-1,force-value-1,exSkillId,isclose,feeType,feeId,feeVal,serviceDay,textImg,frontDressId,addAllPros-type-1,addAllPros-way-1,addAllPros-value-1,addAllPros-type-2,addAllPros-way-2,addAllPros-value-2,
13001,1,,13001,25504,25504001,s==8|Ma·Lữ Bố,1,1,200,2,1,200,3,1,200,4,0,5,2,1026,90,s==147|Ma·Lữ Bố chuyên thuộc da， vĩnh viễn hữu hiệu， sử dụng hậu khả dĩ cho Ma·Lữ Bố trang bị， tùng giải khóa tương ứng hình tượng và đầu tượng thiết lập。,,,2,1026,30,,1,,,,,,,,,,,,,
13002,2,1,13002,22508,22508001,s==9|Triệu Vân,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==120|Triệu Vân giác tỉnh da， kỹ năng：【Thất tiến thất xuất】phản kích hiệu quả， kích hoạt hồi chiêu từ 2 lượt giảm xuống 1 lượt,4910,515,2,1083,50,22508001,1,,,,,,,,,,,,,
13003,2,1,13003,24504,24504001,s==16|Thần·Trương Giác,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==152|Thần·Trương Giác giác tỉnh da， kỹ năng：【Thiên Lôi Độ Thế】công kích giảm hiệu quả tăng thêm 15%， đồng thời đối với mục tiêu phụ tổn thương tỷ lệ tăng 10%,19585,2125,2,1083,250,24504001,1,,,,,,,,,,,,,
13004,2,1,13710,22504,22504001,s==7|Quan Vũ,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==333|Quan Vũ giác tỉnh da， kỹ năng： chiến đấu khai đầu， địch phương công kích cao nhất tướng liền bị gán【Hâm Chiến】， đối Quan Vũ tổn thương giảm 20%， tử vong thời sẽ tự thân【Công kích*20%】phó ban cho Quan Vũ（không thể khuếch tán， chí chiến đấu tận）。 Quan Vũ thường công kích ưu tiên【Hâm Chiến】mục tiêu； đối【Ma·Hoa Hùng】tổn thương tăng 50%,4910,515,2,1083,50,22504001,1,,,,,,,,,,,,,
13005,2,1,13712,23510,23510001,s==6|Chu Du,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==151|Chu Du giác tỉnh da， kỹ năng：【Liệt Diễm Trảm Hồn】ngoài ra cho mục tiêu gán 1 tầng【Điểm Nhiệt】， 50% xác suất giảm mục tiêu 10% phòng ngự， duy trì 2 lượt,4910,515,2,1083,50,23510001,1,,,,,,,,,,,,,
13006,2,1,13713,24508,24508001,s==18|Thần·Gia Cát Lượng,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==197|Thần·Gia Cát Lượng giác tỉnh da， kỹ năng：【Thất Tinh Đăng】khởi sinh mệnh thêm 10% tối đa sinh mệnh；【Thất Tinh Liên Châu】đoạt mục tiêu công kích， tăng đến 2.5 lần sau phân bình cho ta phương toàn thể,19585,2125,2,1083,250,24508001,1,,,,,,,,,,,,,
13007,2,1,13711,21503,21503001,s==7|Chân Cơ,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==171|Trinh Cơ giác tỉnh da， kỹ năng：【Thần Quang Li Hợp】ngoài ra cho mục tiêu gán 1 cái đối phương sinh mệnh tối đa 10%【Hộ Thủ】， đồng thời phòng ngự tăng 10%， đều duy trì 2 lượt,4910,515,2,1083,50,21503001,1,,,,,,,,,,,,,
13008,2,1,13714,23508,23508001,s==8|Đại Kiều,1,1,300,2,1,300,3,1,300,4,0,5,2,1083,50,s==183|Đại Kiều giác tỉnh da， kỹ năng：【Thánh Viêm Hộ Thủ】phản đòn tổn thương tăng thêm 10%， đồng thời chịu tổn thương thời có 20% xác suất cho mục tiêu gán 1 tầng【Điểm Nhiệt】， duy trì 2 lượt,4910,515,2,1083,50,23508001,1,,,,,,,,,,,,,
13009,2,1,13715,25509,25509001,s==18|Ma·Trương Xuân Hoa,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==293|Ma·Trương Xuân Hoa giác tỉnh da， kỹ năng： cùng Ma·Tư Mã Ý đồng thời xuất trận thời， Ma·Trương Xuân Hoa điều trị hiệu quả tăng 10%； phát động【Nguyệt Hoa Hiến Tế】thời， khuếch tán ta phương công kích cao nhất 3 tướng tất cả tiêu cực trạng thái， kỹ năng phát động thời bất chấp khống chế hiệu quả。,19585,2125,2,1083,250,25509001,1,,,,,,,,,,,,,
13010,2,1,13716,25504,25504002,s==8|Ma·Lữ Bố,1,1,500,2,1,500,3,1,500,4,0,10,2,1083,250,s==330|Ma·Lữ Bố giác tỉnh da， kỹ năng：【Thần Đ挡 Sát Thần】gây sát thương hạ sát thời， dư tổn thương sẽ chuyển sang địch phương công kích cao nhất mục tiêu， không quá bản thân công kích 1.5 lần（vật truy khi gây sát thương hạ sát cũng sẽ kích hoạt）； tử vong thời， đối hạ sát giả gây một lần bản thân công kích 100% công kích thực tổn thương。,19585,2125,2,1083,250,25504002,1,,,,,,,,,,,,,
