id,libId,dateStart,dateEnd,desc,heroId,odds,lockNum,openLimit,numSpace,limitAddPro,
1010,1,1,-1,s==4|1星武将,21101,3333,,,,,
1020,1,1,-1,,22101,3333,,,,,
1030,1,1,-1,,23101,3334,,,,,
2010,2,1,-1,s==4|2星武将,21201,3333,,,,,
2020,2,1,-1,,22201,3333,,,,,
2030,2,1,-1,,23201,3334,,,,,
3010,3,1,-1,s==4|3星武将,21301,2000,,,,,
3020,3,1,-1,,22301,2000,,,,,
3030,3,1,-1,,23301,2000,,,,,
3040,3,1,-1,,24301,2000,,,,,
3050,3,1,-1,,25301,2000,,,,,
4010,4,1,-1,s==4|4星武将,21401,500,,,,,
4020,4,1,-1,,21402,300,,,,,
4030,4,1,-1,,21403,300,,,,,
4040,4,1,-1,,21404,300,,,,,
4050,4,1,-1,,22402,300,,,,,
4060,4,1,-1,,22403,300,,,,,
4070,4,1,-1,,22404,300,,,,,
4080,4,1,-1,,22405,500,,,,,
4090,4,1,-1,,23401,300,,,,,
4100,4,1,-1,,23402,300,,,,,
4110,4,1,-1,,23403,300,,,,,
4120,4,1,-1,,23404,500,,,,,
4130,4,1,-1,,24401,500,,,,,
4140,4,1,-1,,24403,300,,,,,
4150,4,1,-1,,24404,500,,,,,
4160,4,1,-1,,25402,500,,,,,
4170,4,1,-1,,25403,300,,,,,
4180,4,1,-1,,25404,300,,,,,
5010,5,1,-1,s==8|5星武将（普通）,21501,450,,,,,
5011,5,1,-1,,21405,230,,,,,
5012,5,1,-1,,22401,230,,,,,
5013,5,1,-1,,23405,230,,,,,
5014,5,1,-1,,24402,230,,,,,
5015,5,1,-1,,25401,230,,,,,
5020,5,1,-1,,21502,458,,,,,
5030,5,1,-1,,21503,340,,,,,
5040,5,1,-1,,21504,340,,,,,
5050,5,1,-1,,21505,600,,,,,
5060,5,1,-1,,21507,340,,,,,
5070,5,1,-1,,21508,100,,,,,
5080,5,1,-1,,21510,280,,,,,
5090,5,1,-1,,22501,340,,,,,
5100,5,1,-1,,22502,320,,,,,
5110,5,1,-1,,22504,150,400,,,,
5120,5,1,-1,,22505,490,,,,,
5130,5,1,-1,,22507,100,300,,,,
5140,5,1,-1,,22508,340,,,,,
5150,5,1,-1,,22509,590,,,,,
5160,5,1,-1,,22510,472,,,,,
5170,5,1,-1,,22511,315,,,,,
5180,5,1,-1,,23502,463,,,,,
5190,5,1,-1,,23503,330,,,,,
5200,5,1,-1,,23504,600,,,,,
5210,5,1,-1,,23506,100,,,,,
5220,5,1,-1,,23507,290,,,,,
5230,5,1,-1,,23508,340,,,,,
5240,5,1,-1,,23510,150,,,,,
5250,5,1,-1,,23513,441,,,,,
5251,5,1,-1,,21512,200,,,,,
5260,5,1,-1,s==8|5星武将（稀有）,24501,180,,1000,50,650,
5270,5,1,-1,,24502,210,,1000,50,650,
5280,5,1,-1,,24503,180,,1000,50,650,
