id,type,quality,name,icon,
1001,1,1,s==3|破虏枪,275920,
1002,1,2,s==3|破虏枪,275920,
1003,1,3,s==3|破虏枪,275920,
1004,1,4,s==3|破虏枪,275920,
1005,1,5,s==3|虎贲枪,275921,
1006,1,6,s==3|霸王枪,275922,
1007,1,7,s==3|龙吟枪,275923,
1008,1,8,s==3|明月枪,275924,
1009,1,9,s==2|灭世,275925,
1010,1,10,s==2|灭世,275925,
1011,1,11,s==2|灭世,275925,
1012,1,12,s==2|灭世,275925,
1013,1,13,s==2|灭世,275925,
1014,1,14,s==2|灭世,275925,
2001,2,1,s==3|玄铁铠,275926,
2002,2,2,s==3|玄铁铠,275926,
2003,2,3,s==3|玄铁铠,275926,
2004,2,4,s==3|玄铁铠,275926,
2005,2,5,s==3|破军铠,275927,
2006,2,6,s==3|赤炎铠,275928,
2007,2,7,s==3|明光铠,275929,
2008,2,8,s==3|龙鳞铠,275930,
2009,2,9,s==2|真刚,275931,
2010,2,10,s==2|真刚,275931,
2011,2,11,s==2|真刚,275931,
2012,2,12,s==2|真刚,275931,
2013,2,13,s==2|真刚,275931,
2014,2,14,s==2|真刚,275931,
3001,3,1,s==4|寒铁肩铠,275932,
3002,3,2,s==4|寒铁肩铠,275932,
3003,3,3,s==4|寒铁肩铠,275932,
3004,3,4,s==4|寒铁肩铠,275932,
3005,3,5,s==4|虎贲肩铠,275933,
3006,3,6,s==4|炎舞肩铠,275934,
3007,3,7,s==4|丰泽肩铠,275935,
3008,3,8,s==4|雷霆肩铠,275936,
3009,3,9,s==2|飞鱼,275937,
3010,3,10,s==2|飞鱼,275937,
3011,3,11,s==2|飞鱼,275937,
3012,3,12,s==2|飞鱼,275937,
3013,3,13,s==2|飞鱼,275937,
3014,3,14,s==2|飞鱼,275937,
4001,4,1,s==3|玄铁腕,275938,
4002,4,2,s==3|玄铁腕,275938,
4003,4,3,s==3|玄铁腕,275938,
4004,4,4,s==3|玄铁腕,275938,
4005,4,5,s==3|玄武腕,275939,
4006,4,6,s==3|天雷腕,275940,
4007,4,7,s==3|龙鳞腕,275941,
4008,4,8,s==3|神舞腕,275942,
4009,4,9,s==2|却邪,275943,
4010,4,10,s==2|却邪,275943,
4011,4,11,s==2|却邪,275943,
4012,4,12,s==2|却邪,275943,
4013,4,13,s==2|却邪,275943,
4014,4,14,s==2|却邪,275943,
5001,5,1,s==4|束发金冠,275944,
5002,5,2,s==4|束发金冠,275944,
5003,5,3,s==4|束发金冠,275944,
5004,5,4,s==4|束发金冠,275944,
5005,5,5,s==4|紫电头盔,275945,
5006,5,6,s==4|破魔头盔,275946,
5007,5,7,s==4|龙吟头盔,275947,
5008,5,8,s==4|魔怒头盔,275948,
5009,5,9,s==2|千钧,275949,
5010,5,10,s==2|千钧,275949,
5011,5,11,s==2|千钧,275949,
5012,5,12,s==2|千钧,275949,
5013,5,13,s==2|千钧,275949,
5014,5,14,s==2|千钧,275949,
6001,6,1,s==4|金钩腰带,275950,
6002,6,2,s==4|金钩腰带,275950,
6003,6,3,s==4|金钩腰带,275950,
6004,6,4,s==4|金钩腰带,275950,
6005,6,5,s==4|紫电腰带,275951,
6006,6,6,s==4|炽焰腰带,275952,
6007,6,7,s==4|龙纹腰带,275953,
6008,6,8,s==4|狂魔腰带,275954,
6009,6,9,s==2|百裂,275955,
6010,6,10,s==2|百裂,275955,
6011,6,11,s==2|百裂,275955,
6012,6,12,s==2|百裂,275955,
6013,6,13,s==2|百裂,275955,
6014,6,14,s==2|百裂,275955,
7001,7,1,s==3|紫烟靴,275956,
7002,7,2,s==3|紫烟靴,275956,
7003,7,3,s==3|紫烟靴,275956,
7004,7,4,s==3|紫烟靴,275956,
7005,7,5,s==3|云步履,275957,
7006,7,6,s==3|疾风靴,275958,
7007,7,7,s==4|幻影战靴,275959,
7008,7,8,s==4|追风战靴,275960,
7009,7,9,s==2|神行,275961,
7010,7,10,s==2|神行,275961,
7011,7,11,s==2|神行,275961,
7012,7,12,s==2|神行,275961,
7013,7,13,s==2|神行,275961,
7014,7,14,s==2|神行,275961,
8001,8,1,s==4|紫晶手镯,275962,
8002,8,2,s==4|紫晶手镯,275962,
8003,8,3,s==4|紫晶手镯,275962,
8004,8,4,s==4|紫晶手镯,275962,
8005,8,5,s==4|寒霜手镯,275963,
8006,8,6,s==4|神木手镯,275964,
8007,8,7,s==4|幽冥手镯,275965,
8008,8,8,s==4|星魂手镯,275966,
8009,8,9,s==2|燎原,275967,
8010,8,10,s==2|燎原,275967,
8011,8,11,s==2|燎原,275967,
8012,8,12,s==2|燎原,275967,
8013,8,13,s==2|燎原,275967,
8014,8,14,s==2|燎原,275967,
9001,9,1,s==3|紫悦佩,275968,
9002,9,2,s==3|紫悦佩,275968,
9003,9,3,s==3|紫悦佩,275968,
9004,9,4,s==3|紫悦佩,275968,
9005,9,5,s==3|灵均佩,275969,
9006,9,6,s==3|望舒佩,275970,
9007,9,7,s==3|曦月佩,275971,
9008,9,8,s==3|神隐佩,275972,
9009,9,9,s==2|轮回,275973,
9010,9,10,s==2|轮回,275973,
9011,9,11,s==2|轮回,275973,
9012,9,12,s==2|轮回,275973,
9013,9,13,s==2|轮回,275973,
9014,9,14,s==2|轮回,275973,
10001,10,1,s==3|琥珀链,275974,
10002,10,2,s==3|琥珀链,275974,
10003,10,3,s==3|琥珀链,275974,
10004,10,4,s==3|琥珀链,275974,
10005,10,5,s==3|七玄链,275975,
10006,10,6,s==3|幽兰坠,275976,
10007,10,7,s==3|幻月链,275977,
10008,10,8,s==3|星辰坠,275978,
10009,10,9,s==2|鬼裂,275979,
10010,10,10,s==2|鬼裂,275979,
10011,10,11,s==2|鬼裂,275979,
10012,10,12,s==2|鬼裂,275979,
10013,10,13,s==2|鬼裂,275979,
10014,10,14,s==2|鬼裂,275979,
11001,11,1,s==3|琉璃戒,275980,
11002,11,2,s==3|琉璃戒,275980,
11003,11,3,s==3|琉璃戒,275980,
11004,11,4,s==3|琉璃戒,275980,
11005,11,5,s==3|星月戒,275981,
11006,11,6,s==3|冰霜戒,275982,
11007,11,7,s==3|时光戒,275983,
11008,11,8,s==3|幽冥戒,275984,
11009,11,9,s==2|永恒,275985,
11010,11,10,s==2|永恒,275985,
11011,11,11,s==2|永恒,275985,
11012,11,12,s==2|永恒,275985,
11013,11,13,s==2|永恒,275985,
11014,11,14,s==2|永恒,275985,
12001,12,1,s==4|暗影护符,275986,
12002,12,2,s==4|暗影护符,275986,
12003,12,3,s==4|暗影护符,275986,
12004,12,4,s==4|暗影护符,275986,
12005,12,5,s==4|星辰护符,275987,
12006,12,6,s==4|雷霆护符,275988,
12007,12,7,s==4|圣光护符,275989,
12008,12,8,s==4|龙魂护符,275990,
12009,12,9,s==2|羽化,275991,
12010,12,10,s==2|羽化,275991,
12011,12,11,s==2|羽化,275991,
12012,12,12,s==2|羽化,275991,
12013,12,13,s==2|羽化,275991,
12014,12,14,s==2|羽化,275991,
