id,name,class,exp,expTotal,taskId,baseAtt-type-1,baseAtt-way-1,baseAtt-num-1,baseAtt-type-2,baseAtt-way-2,baseAtt-num-2,baseAtt-type-3,baseAtt-way-3,baseAtt-num-3,baseAtt-type-4,baseAtt-way-4,baseAtt-num-4,
1,s==2|兵卒,1,50,0,,1,0,0,2,0,0,3,0,0,4,0,0,
2,s==2|兵卒,1,55,50,,1,0,0,2,0,0,3,0,0,4,0,0,
3,s==2|兵卒,1,60,105,,1,0,0,2,0,0,3,0,0,4,0,0,
4,s==2|兵卒,1,65,165,,1,0,0,2,0,0,3,0,0,4,0,0,
5,s==2|兵卒,1,70,230,s==20|420001|420002|420003,1,0,0,2,0,0,3,0,0,4,0,0,
6,s==4|左军校尉,2,75,300,,1,0,1000,2,0,100,3,0,1,4,0,1,
7,s==4|左军校尉,2,80,375,,1,0,1000,2,0,100,3,0,1,4,0,1,
8,s==4|左军校尉,2,85,455,,1,0,1000,2,0,100,3,0,1,4,0,1,
9,s==4|左军校尉,2,90,540,,1,0,1000,2,0,100,3,0,1,4,0,1,
10,s==4|左军校尉,2,95,630,s==20|420004|420005|420006,1,0,1000,2,0,100,3,0,1,4,0,1,
11,s==4|右军校尉,3,100,725,,1,0,2000,2,0,200,3,0,2,4,0,2,
12,s==4|右军校尉,3,105,825,,1,0,2000,2,0,200,3,0,2,4,0,2,
13,s==4|右军校尉,3,110,930,,1,0,2000,2,0,200,3,0,2,4,0,2,
14,s==4|右军校尉,3,115,1040,,1,0,2000,2,0,200,3,0,2,4,0,2,
15,s==4|右军校尉,3,120,1155,s==20|420007|420008|420009,1,0,2000,2,0,200,3,0,2,4,0,2,
16,s==4|上军校尉,4,125,1275,,1,0,3000,2,0,300,3,0,3,4,0,3,
17,s==4|上军校尉,4,130,1400,,1,0,3000,2,0,300,3,0,3,4,0,3,
18,s==4|上军校尉,4,135,1530,,1,0,3000,2,0,300,3,0,3,4,0,3,
19,s==4|上军校尉,4,140,1665,,1,0,3000,2,0,300,3,0,3,4,0,3,
20,s==4|上军校尉,4,145,1805,s==20|420010|420011|420012,1,0,3000,2,0,300,3,0,3,4,0,3,
21,s==4|左军都尉,5,150,1950,,1,0,4000,2,0,400,3,0,4,4,0,4,
22,s==4|左军都尉,5,155,2100,,1,0,4000,2,0,400,3,0,4,4,0,4,
23,s==4|左军都尉,5,160,2255,,1,0,4000,2,0,400,3,0,4,4,0,4,
24,s==4|左军都尉,5,165,2415,,1,0,4000,2,0,400,3,0,4,4,0,4,
25,s==4|左军都尉,5,170,2580,s==20|420013|420014|420015,1,0,4000,2,0,400,3,0,4,4,0,4,
