id,skip,goLevel,goChapter,savePoint,event,nextStep,heroId,uiName,switchover,nameSide,offset,name,dialog,order,musicName,background,
1001,,,,,,1002,22502,,1,1,s==3|0|0,s==14|Người được cứu,s==87|Tại hạ bị sơn tặc mai phục， đa tạ tráng sĩ ra tay cứu mạng! Dám hỏi tráng sĩ danh hiệu?,,,,
1002,,,,,,1003,22502,,1,1,s==3|0|0,s==6|Lưu Bị,s==90|Trung Sơn Tĩnh Vương Lưu Thắng chi hậu， Lưu Bị， tự Huyền Đức， gọi ta là Huyền Đức là được。,,,,
1003,,,,,,1004,22502,,1,1,s==3|0|0,s==19|Trướng quận Hiệu úy,s==129|Lần này đa tạ huynh Huyền Đức， ta vốn là Hiệu úy Trác quận， thụ mệnh vận chuyển lương thảo， không ngờ bị sơn tặc vây tại chỗ này。,,,,
1004,,,,,,1005,22502,,1,1,s==3|0|0,s==6|Lưu Bị,s==74|Trác quận? Trác quận vốn luôn thái bình， sao lại có nhiều sơn tặc đến vậy?,,,,
1005,,,,,,1006,22502,,1,1,s==3|0|0,s==19|Trướng quận Hiệu úy,s==113|Ai oán! Cũng bởi những Hoàng Cân ác tặc! Trương Giác dùng yêu thuật mê hoặc bách tính， khiến thiên hạ đại loạn...,,,,
1006,,,,,6,,22502,,1,1,s==3|0|0,s==6|Lưu Bị,s==65|Ừ? Đây là rương báu sơn tặc cướp được， mở ra xem thử có những gì。,,,,
1007,,,,,6,,22502,,1,1,s==3|0|0,s==6|Lưu Bị,s==74|Ừ? Ở đây còn có một tờ cáo thị， hình như là quan phủ phát bảng chiêu binh。,,,,
1008,,,,,,1009,22502,,1,1,s==3|0|0,s==6|Lưu Bị,s==78|Ai oán， đại trượng phu sinh tại loạn thế! Ta há chẳng muốn báo đáp quốc gia...,,,,
1009,,,,,,1010,22502,,1,1,s==3|0|0,s==10|Trương Phi,s==108|Muốn thành đại sự， sao có thể do dự chần chừ， ta Trương Phi tuy là người thô lỗ， nhưng cũng hiểu đạo lý này!,,,,
1010,,,,,,1011,22502,,1,1,s==3|0|0,s==6|Lưu Bị,s==117|Huynh Trương Phi nói chẳng sai， quyết đoán không ngập ngừng， kẻ loạn sẽ tự chịu， ta Lưu Bị sao có thể do dự? Đi thôi!,,,,
1011,,,,,,1012,22502,,1,1,s==3|0|0,s==7|Quan Vũ,s==94|Hai vị xin dừng bước， phía trước là doanh trại sơn tặc， đừng tiến thêm nữa， cẩn thận mất mạng!,,,,
1012,,,,,6,,22502,,1,1,s==3|0|0,s==7|Quan Vũ,s==101|Cứu vạn dân thoát khỏi lửa nước， ta đệ tử nghĩa bất dung từ， ta Quan Vũ nguyện cùng hai vị đồng hành!,,,,
1013,,,,,,1014,22502,,1,1,s==3|0|0,s==19|Trướng quận Hiệu úy,s==103|Ba vị trừ khử sơn tặc， cứu giúp Trác quận， đây có chút lòng thành của dân làng， mong nghĩa sĩ nhận lấy!,,,,
1014,,,,,,1015,22502,,1,1,s==3|0|0,s==10|Trương Phi,s==104|Đào viên phong cảnh thật đẹp， sao không ngay tại đây tế cáo thiên địa， ba ta kết nghĩa huynh đệ khác họ?,,,,
1015,,,,,,1016,22502,,1,1,s==3|0|0,s==7|Quan Vũ,s==63|Huynh Trương Phi lời nói hợp lý， ta Quan Vũ cũng chính có ý đó!,,,,
1016,,,,,,1017,22502,,1,1,s==3|0|0,s==6|Lưu Bị,s==90|Ta Lưu Bị， đời trọng nhất hai chữ trung nghĩa， hôm nay chúng ta ba người tại đào viên này。,,,,
1017,,,,,,1018,22502,,1,1,s==3|0|0,s==7|Quan Vũ,s==89|Kết làm huynh đệ， đồng tâm hiệp lực， cứu khốn phò nguy； báo đáp quốc gia， an dân yên dân。,,,,
1018,,,,,,1019,22502,,1,1,s==3|0|0,s==10|Trương Phi,s==12|Ta cũng vậy!,,,,
1019,,,,,,1020,22502,,1,1,s==3|0|0,s==7|Quan Vũ,s==90|Không cầu đồng năm đồng tháng đồng nhật sinh， chỉ nguyện đồng năm đồng tháng đồng nhật tử。,,,,
1020,,,,,,1021,22502,,1,1,s==3|0|0,s==10|Trương Phi,s==12|Ta cũng vậy!,,,,
1021,,,,,,1022,22502,,1,1,s==3|0|0,s==7|Quan Vũ,s==79|Hoàng thiên hậu thổ， thực giám chi tâm， phản nghĩa bội ân， thiên nhân cộng trừ!,,,,
1022,,,,,,1023,22502,,1,1,s==3|0|0,s==10|Trương Phi,s==12|Ta cũng vậy!,,,,
1023,,,,,,1024,22502,,1,1,s==3|0|0,s==7|Quan Vũ,s==7|Đại ca!,,,,
1024,,,,,6,,22502,,1,1,s==3|0|0,s==10|Trương Phi,s==7|Đại ca~,,,,
2001,,,,,,2002,2,,1,1,s==3|0|0,s==2|Ta,s==146|Bên ngoài trời đất đột biến， nội tâm ta cũng bồn chồn khó yên， luôn cảm thấy có đại sự sắp xảy ra， Gia Cát tiền bối， ngài có biết sự tình thế nào?,,,,
2002,,,,,,2003,24508,,1,1,s==3|0|0,s==13|Gia Cát Lượng,s==109|Xem ra chủ công cũng có cảm giác rồi， đúng như chủ công nói， sắp có đại sự xảy ra trên thân chủ công， chỉ là…,,,,
2003,,,,,,2004,23503,,1,1,s==3|0|0,s==9|Tiểu Kiều,s==211|Không hay rồi không hay rồi! Thủ thành quân đến báo， vừa rồi có một trận thiên lôi rơi tại đông ngoại thành， nơi rơi phát ra tử khí phun trào， thẳng lên mây trời。 Tướng sĩ đều không dám đến gần， nên đến báo cáo。,,,,
2004,,,,,,2005,2,,1,1,s==3|0|0,s==2|Ta,s==92|Dị tượng này không thể xem thường， truyền lệnh xuống， triệu tập tướng sĩ cùng ta đi xem xét!,,,,
2005,,,,,,2006,-1,,1,1,s==3|0|0,s==6|Bên lề,s==166|(Chốc lát sau， ngươi cùng tướng sĩ đến đông thành， thấy trên đất có một hố sâu， trong đó có tử khí u ám như mạch đập nhấp nhô， mọi người đều trầm trồ kinh ngạc⟪C_DOT⟩,,,,
2006,,,,,,2007,21507,,1,1,s==3|0|0,s==9|Quách Gia,s==222|Tàng long tụ linh， tử khí đông lai! Đây， chẳng phải là “Hiên Viên Long Mạch” trong cổ thư chăng? Nghe nói đây là khí vận thần châu đại địa， ai được Long Mạch có thể đoạt thiên hạ! Không ngờ lại ngay gần thành của chủ công!,,,,
2007,,,,,,2008,23503,,1,1,s==3|0|0,s==9|Tiểu Kiều,s==97|Mau xem! Khí tím của Long Mạch như kết thành。。。 một mảnh vụn? Còn bay đến trước mặt chủ công nữa!,,,,
2008,,,,,,2009,24508,,1,1,s==3|0|0,s==13|Gia Cát Lượng,s==154|Đây là mảnh vỡ Ấn Thiên Lý Giang Sơn! Ấn này là biểu tượng của đế vương。 Nay Long Mạch xuất thế， là điềm tân vương lập cơ。 Chủ công， đây chính là thiên ý!,,,,
2009,,,,,,2010,2,,1,1,s==3|0|0,s==2|Ta,s==79|Tân vương lập cơ... chẳng lẽ Gia Cát tiền bối ý tứ， là muốn ta tại đây xưng đế?,,,,
2010,,,,,,2011,22508,,1,1,s==3|0|0,s==9|Triệu Vân,s==203|Chủ công hiền minh hậu đức， trí dũng song toàn， nếu có thể lên ngôi đế vị， định có thể bình định loạn thế， phúc ban vạn dân。 Nay thiên thời địa lợi nhân hòa， thật là thời cơ tốt nhất để chủ công xưng đế!,,,,
2011,,,,,,2012,24508,,1,1,s==3|0|0,s==13|Gia Cát Lượng,s==192|Ấn Thiên Lý Giang Sơn duy trì sức mạnh Long Mạch， muốn xây cung điện tại đây， phải thu thập đủ mảnh vỡ để phục hồi ngọc ấn làm trận nhãn， mới có thể khiến sức mạnh Long Mạch phục vụ cung điện。,,,,
2012,,,,,,1,23503,,1,1,s==3|0|0,s==9|Tiểu Kiều,s==78|Nếu vậy， việc xây cung điện và tìm mảnh ngọc ấn giao cho Tiểu Kiều lo liệu đi!,,,,
1,,,,,6,,22502,,1,1,s==3|0|0,s==10|Trương Phi,s==69|Ta cũng đến giúp! Chủ công cứ yên tâm chờ đợi cung điện mới của ngài!,,,,
2013,,,,,,2014,23503,,1,1,s==3|0|0,s==9|Tiểu Kiều,s==119|Chủ công chủ công， công trình khai quật Long Mạch đang tiến hành， chúng ta lại phát hiện thêm một mảnh ngọc ấn mới rồi!,,,,
2014,,,,,,2015,2,,1,1,s==3|0|0,s==2|Ta,s==132|Gần đây ta luôn cảm thấy trong thân có một luồng sức mạnh không ngừng tuôn trào， chẳng lẽ là chịu ảnh hưởng của Hiên Viên Long Mạch?,,,,
2015,,,,,,2016,23503,,1,1,s==3|0|0,s==9|Tiểu Kiều,s==180|Đúng vậy， Gia Cát tiên sinh nói， chủ công hiện có khí vận đế vương của Long Mạch trong thân， nếu học được cách vận dụng， chủ công cũng có thể phát huy sức mạnh ngang bằng võ tướng!,,,,
2016,,,,,,2017,23503,,1,1,s==3|0|0,s==9|Tiểu Kiều,s==155|Vậy hôm nay Tiểu Kiều đặc biệt dẫn chủ công đến tham quan Tập Vũ điện sắp hoàn thành của Hiên Viên cung， sau này chủ công có thể luyện tập võ nghệ tại đây!,,,,
2017,,,,,,2018,2,,1,1,s==3|0|0,s==2|Ta,s==167|Thật tốt quá! Nhìn dáng vẻ dũng mãnh của các tướng sĩ chiến đấu， ta đã muốn cùng mọi người ra trận từ lâu rồi! Nhưng luyện võ chắc không phải chuyện một sớm một chiều?,,,,
2018,,,,,,2019,22504,,1,1,s==3|0|0,s==7|Quan Vũ,s==80|Đừng lo， nếu chủ công nguyện nhận truyền thừa， ta nhất định truyền thụ hết lòng!,,,,
2019,,,,,,2,23503,,1,1,s==3|0|0,s==9|Tiểu Kiều,s==135|Đúng vậy， Tập Vũ điện có sự gia trì của Long Mạch， lại có sự chỉ dạy của các võ tướng， sức mạnh chủ công nhất định thăng tiến vượt bậc。,,,,
2,,,,,6,,23503,,1,1,s==3|0|0,s==9|Tiểu Kiều,s==158|Như vậy， chủ công có thể ra trận cùng các võ tướng， cùng Tiểu Kiều sát cánh chiến đấu! Hình ảnh chủ công oai phong lẫm liệt， Tiểu Kiều vô cùng mong đợi! Hehe~,,,,
2020,,,,,,2021,25504,,1,1,s==3|0|0,s==5|Lữ Bố,s==139|Hừ! Ta Lữ Bố võ nghệ vô song thiên hạ， há phải bọn nhãi ranh các ngươi có thể so bì! Chủ công tất nhiên phải dùng kỹ năng do ta truyền thụ!,,,,
2021,,,,,,2022,23510,,1,1,s==3|0|0,s==6|Chu Du,s==153|Trận trường không chỉ dựa vào sức mạnh thô bạo， còn phải linh hoạt biến hóa và phối hợp đồng đội， theo ta chủ công dùng kỹ năng của ta mới thích hợp hơn。,,,,
2022,,,,,,2023,2,,1,1,s==3|0|0,s==2|Ta,s==57|Mấy vị tướng sĩ sao lại tranh cãi? Rốt cuộc vì chuyện gì?,,,,
2023,,,,,,2024,23503,,1,1,s==3|0|0,s==9|Tiểu Kiều,s==167|Hehe， mọi người đang tranh luận chủ công tương lai nên học kỹ năng của ai! Nói thật， chiêu múa quạt của ta Tiểu Kiều cũng không tệ đâu， chủ công có muốn xem xét không?,,,,
2024,,,,,6,,2,,1,1,s==3|0|0,s==2|Ta,s==8|À này。。。,,,,
